# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:24:18+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 1.63409684750146e-05
512 0.375 1.98930783653752e-05
1024 0.75 2.48057347515147e-05
1536 1.125 2.84956663594125e-05
2048 1.5 3.15316944868211e-05
2560 1.875 3.40523335594629e-05
3072 2.25 3.57158786966302e-05
3584 2.625 3.65060409078915e-05
4096 3 3.67551044720025e-05
4608 3.375 3.67948307759957e-05
5120 3.75 3.68461815056754e-05
5632 4.125 3.70745486173409e-05
6144 4.5 3.74957834268808e-05
6656 4.875 3.8015565593532e-05
7168 5.25 3.85394656474669e-05
7680 5.625 3.89936060540921e-05
8192 6 3.928926123702e-05
8704 6.375 3.9392909622622e-05
9216 6.75 3.94132437505127e-05
9728 7.125 3.95036870062938e-05
10240 7.5 3.9720179695391e-05
10752 7.875 4.00364533008081e-05
11264 8.25 4.04112398177233e-05
11776 8.625 4.07970363217976e-05
12288 9 4.11431425139381e-05
12800 9.375 4.14377632025465e-05
13312 9.75 4.17048308091198e-05
13824 10.125 4.19798695520916e-05
14336 10.5 4.23201024162437e-05
14848 10.875 4.27776294628879e-05
15360 11.25 4.33314961428143e-05
15872 11.625 4.38828328098883e-05
16384 12 4.4359937615788e-05
16896 12.375 4.47881815802393e-05
17408 12.75 4.52049247624734e-05
17920 13.125 4.56108291775591e-05
18432 13.5 4.60121668494764e-05
18944 13.875 4.64388681079725e-05
19456 14.25 4.68954727415099e-05
19968 14.625 4.73548360455811e-05
20480 15 4.78064767421487e-05
20992 15.375 4.82560127486048e-05
21504 15.75 4.87075243844579e-05
22016 16.125 4.91556255948377e-05
22528 16.5 4.95993049167019e-05
23040 16.875 5.00464334327601e-05
23552 17.25 5.0522629359838e-05
24064 17.625 5.10622543219042e-05
24576 18 5.1684962636752e-05
25088 18.375 5.23514172923961e-05
25600 18.75 5.29945024925585e-05
26112 19.125 5.36078620453264e-05
26624 19.5 5.42495111158048e-05
27136 19.875 5.49342021620138e-05
27648 20.25 5.56268014756543e-05
28160 20.625 5.63194724051011e-05
28672 21 5.70301224489949e-05
29184 21.375 5.77577974593441e-05
29696 21.75 5.84903158890187e-05
30208 22.125 5.92357150035499e-05
30720 22.5 5.99940538115829e-05
31232 22.875 6.07498045194352e-05
31744 23.25 6.15104056097076e-05
32256 23.625 6.23044522474991e-05
32768 24 6.31222985022463e-05
33280 24.375 6.39132240200014e-05
33792 24.75 6.46600402516778e-05
34304 25.125 6.5393907719182e-05
34816 25.5 6.61364473725645e-05
35328 25.875 6.68883926482606e-05
35840 26.25 6.76717364872059e-05
36352 26.625 6.85192286936768e-05
36864 27 6.9411035849507e-05
37376 27.375 7.02817676621994e-05
37888 27.75 7.1104251697714e-05
38400 28.125 7.19190543661139e-05
38912 28.5 7.2774260198399e-05
39424 28.875 7.36680289009865e-05
39936 29.25 7.45727648488427e-05
40448 29.625 7.54736112811659e-05
40960 30 7.6362374218094e-05
41472 30.375 7.72487979826458e-05
41984 30.75 7.81723070219864e-05
42496 31.125 7.91532109724879e-05
43008 31.5 8.01432815766218e-05
43520 31.875 8.10750314114182e-05
44032 32.25 8.19536285024038e-05
44544 32.625 8.28433605521046e-05
45056 33 8.37860502408596e-05
45568 33.375 8.47674506673738e-05
46080 33.75 8.57608417301851e-05
46592 34.125 8.67478811490401e-05
47104 34.5 8.77091543000425e-05
47616 34.875 8.8633886886744e-05
48128 35.25 8.95292063906098e-05
48640 35.625 9.04197222482138e-05
49152 36 9.13289152461316e-05
49664 36.375 9.22616278848831e-05
50176 36.75 9.32012840943085e-05
50688 37.125 9.41264424232762e-05
51200 37.5 9.50379616038392e-05
51712 37.875 9.59527446056024e-05
52224 38.25 9.68739049277341e-05
52736 38.625 9.77896872226969e-05
53248 39 9.86898393598286e-05
53760 39.375 9.95774599332823e-05
54272 39.75 0.000100466081515059
54784 40.125 0.000101374502631005
55296 40.5 0.000102302408027276
55808 40.875 0.000103218026897158
56320 41.25 0.00010409122315949
56832 41.625 0.000104930370172559
57344 42 0.000105764502851009
57856 42.375 0.000106607880290574
58368 42.75 0.000107465917170901
58880 43.125 0.000108347537436638
59392 43.5 0.000109249353912985
59904 43.875 0.000110155730402381
60416 44.25 0.000111051288081089
60928 44.625 0.000111931431336973
61440 45 0.000112803488240065
61952 45.375 0.000113677527522066
62464 45.75 0.000114548250527557
62976 46.125 0.000115400334156185
63488 46.5 0.000116245312177544
64000 46.875 0.000117119414261762
64512 47.25 0.000118036762379617
65024 47.625 0.000118971687674142
65536 48 0.000119898389907503
66048 48.375 0.000120814728086053
66560 48.75 0.000121722835720804
67072 49.125 0.000122622019415083
67584 49.5 0.000123511858219281
68096 49.875 0.000124389256208603
68608 50.25 0.00012525681985873
69120 50.625 0.000126137981256113
69632 51 0.000127057551595175
70144 51.375 0.000128003875647664
70656 51.75 0.000128938495850443
71168 52.125 0.00012984475223155
71680 52.5 0.000130739772991574
72192 52.875 0.000131640963705165
72704 53.25 0.000132545766912395
73216 53.625 0.000133443296489206
73728 54 0.000134328289143124
74240 54.375 0.000135205306619067
74752 54.75 0.000136092241173429
75264 55.125 0.000137009493509705
75776 55.5 0.000137950568569792
76288 55.875 0.000138879915488925
76800 56.25 0.000139776578215247
77312 56.625 0.000140660220047234
77824 57 0.000141553181629107
78336 57.375 0.000142451074519685
78848 57.75 0.000143341379697854
79360 58.125 0.0001442262796261
79872 58.5 0.000145114863176361
80384 58.875 0.000146010992789279
80896 59.25 0.000146915600859723
81408 59.625 0.000147826409096015
81920 60 0.000148732274754207
82432 60.375 0.000149619623157564
82944 60.75 0.000150488832180029
83456 61.125 0.000151357930777859
83968 61.5 0.00015223871284681
84480 61.875 0.000153126788508501
84992 62.25 0.000154015855496387
85504 62.625 0.000154904891648516
86016 63 0.00015578776718628
86528 63.375 0.000156661001452946
87040 63.75 0.000157537946435553
87552 64.125 0.000158429067414914
88064 64.5 0.000159318566321576
88576 64.875 0.000160191792154347
89088 65.25 0.00016107182528621
89600 65.625 0.000161992242689027
90112 66 0.000162948268023052
90624 66.375 0.000163913535725744
91136 66.75 0.000164882453139704
91648 67.125 0.000165865389727219
92160 67.5 0.000166859385630015
92672 67.875 0.00016784995209072
93184 68.25 0.000168832742405853
93696 68.625 0.0001698201993162
94208 69 0.000170834727652697
94720 69.375 0.000171887880390061
95232 69.75 0.000172959885732939
95744 70.125 0.000174017227413669
96256 70.5 0.000175054353681531
96768 70.875 0.000176099174271313
97280 71.25 0.000177167651934459
97792 71.625 0.000178242057089305
98304 72 0.000179304126910103
98816 72.375 0.000180366381294543
99328 72.75 0.000181450795397674
99840 73.125 0.000182554144884708
100352 73.5 0.000183656763908494
100864 73.875 0.0001847558634665
101376 74.25 0.000185865229948534
101888 74.625 0.000186981770638776
102400 75 0.000188084603901365
102912 75.375 0.000189168376229826
103424 75.75 0.000190255152277569
103936 76.125 0.000191366414498989
104448 76.5 0.000192499799155519
104960 76.875 0.000193639757181629
105472 77.25 0.000194772822639614
105984 77.625 0.000195891627301356
106496 78 0.000197001201531665
107008 78.375 0.000198120062270692
107520 78.75 0.000199259784285097
108032 79.125 0.000200411627195048
108544 79.5 0.000201562445021009
109056 79.875 0.000202709021257451
109568 80.25 0.000203851752544852
110080 80.625 0.000204991960002145
110592 81 0.000206140298125305
111104 81.375 0.000207305987967122
111616 81.75 0.000208474328355166
112128 82.125 0.0002096216549304
112640 82.5 0.000210747330110949
113152 82.875 0.000211868710273881
113664 83.25 0.000212994057248857
114176 83.625 0.000214123565066441
114688 84 0.000215259112927299
115200 84.375 0.000216392073823712
115712 84.75 0.00021750254694703
116224 85.125 0.000218591385141535
116736 85.5 0.000219685390076925
117248 85.875 0.0002207991108752
117760 86.25 0.000221916159070781
118272 86.625 0.000223019160982429
118784 87 0.000224109908280103
119296 87.375 0.000225192787411242
119808 87.75 0.000226265259429578
120320 88.125 0.000227327752394649
120832 88.5 0.00022838463746806
121344 88.875 0.000229433651663252
121856 89.25 0.000230471682276453
122368 89.625 0.000231506218755056
122880 90 0.000232542808460119
123392 90.375 0.000233569252986884
123904 90.75 0.000234568443922088
124416 91.125 0.00023554379845365
124928 91.5 0.000236514908236829
125440 91.875 0.000237489773919437
125952 92.25 0.000238455812910143
126464 92.625 0.000239398307181784
126976 93 0.000240318108184063
127488 93.375 0.000241227140283896
128000 93.75 0.000242133392881079
128512 94.125 0.000243033551423836
129024 94.5 0.000243919132976386
129536 94.875 0.000244785543542209
130048 95.25 0.000245634118394331
130560 95.625 0.000246469700615885
131072 96 0.000247289774357436
131584 96.375 0.000248093855848061
132096 96.75 0.000248890274887605
132608 97.125 0.000249687013658145
133120 97.5 0.000250476568337756
133632 97.875 0.000251242470516468
134144 98.25 0.000251979553152859
134656 98.625 0.000252699165707096
135168 99 0.000253415669538949
135680 99.375 0.000254135773473776
136192 99.75 0.000254857352203473
136704 100.125 0.000255569827065164
137216 100.5 0.000256258163086668
137728 100.875 0.000256915982439281
138240 101.25 0.000257556149127342
138752 101.625 0.000258192591550273
139264 102 0.000258827910513792
139776 102.375 0.000259457520661454
140288 102.75 0.000260080860035669
140800 103.125 0.000260698307355144
141312 103.5 0.000261303005444805
141824 103.875 0.000261885415370413
142336 104.25 0.000262447506642195
142848 104.625 0.000263005225244866
143360 105 0.000263568718707549
143872 105.375 0.000264134600271481
144384 105.75 0.000264685674326143
144896 106.125 0.000265210747661309
145408 106.5 0.000265718308999355
145920 106.875 0.000266224855439914
146432 107.25 0.000266733411071902
146944 107.625 0.000267234126874175
147456 108 0.00026771715901564
147968 108.375 0.000268183188422121
148480 108.75 0.000268638868835538
148992 109.125 0.00026909230358143
149504 109.5 0.000269549956172598
150016 109.875 0.000270008421654476
150528 110.25 0.00027045608531635
151040 110.625 0.000270884633691295
151552 111 0.000271301438746661
152064 111.375 0.000271716461371997
152576 111.75 0.000272128193026757
153088 112.125 0.000272530474500483
153600 112.5 0.000272927531976441
154112 112.875 0.000273328866009744
154624 113.25 0.000273732075952174
155136 113.625 0.00027412393433183
155648 114 0.000274501591505431
156160 114.375 0.000274874957593753
156672 114.75 0.000275247988332312
157184 115.125 0.000275614897058519
157696 115.5 0.00027597332374805
158208 115.875 0.000276328525638927
158720 116.25 0.000276684556397517
159232 116.625 0.000277041109313836
159744 117 0.000277400534194833
160256 117.375 0.000277757235817432
160768 117.75 0.000278105024356329
161280 118.125 0.000278443014140563
161792 118.5 0.000278780651636834
162304 118.875 0.000279127564354664
162816 119.25 0.000279480643903024
163328 119.625 0.000279828066761943
163840 120 0.000280165318199026
164352 120.375 0.000280501092155096
164864 120.75 0.000280846004130694
165376 121.125 0.000281199179773231
165888 121.5 0.000281548984450252
166400 121.875 0.000281885622915282
166912 122.25 0.000282210947325566
167424 122.625 0.000282536354991765
167936 123 0.000282871735039117
168448 123.375 0.00028321794709156
168960 123.75 0.000283567056589359
169472 124.125 0.000283908440935512
169984 124.5 0.000284237652535008
170496 124.875 0.000284559960441625
171008 125.25 0.000284884848719688
171520 125.625 0.00028521477834192
172032 126 0.000285542284612024
172544 126.375 0.000285860022988722
173056 126.75 0.000286170004508971
173568 127.125 0.000286480999942148
174080 127.5 0.000286798003569406
174592 127.875 0.000287115837311012
175104 128.25 0.000287424295076748
175616 128.625 0.000287719266747103
176128 129 0.000288007048336367
176640 129.375 0.000288296672970527
177152 129.75 0.000288590256833256
177664 130.125 0.000288882751804539
178176 130.5 0.000289169161903649
178688 130.875 0.000289448641120557
179200 131.25 0.000289722157442921
179712 131.625 0.000289989802133729
180224 132 0.000290252720512105
180736 132.375 0.000290516204819735
