# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:24:18+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.375 1.1637213750147e-07 1.16372137883161e-07 1.16372138368088e-07
1024 0.75 2.72746845278754e-07 2.72746846238085e-07 2.7274684935946e-07
1536 1.125 4.47429933339674e-07 4.47429934777162e-07 4.47429933687231e-07
2048 1.5 6.21291469615262e-07 6.2129147117709e-07 6.21291467820681e-07
2560 1.875 8.29271231141747e-07 8.29271227438652e-07 8.29271225154128e-07
3072 2.25 9.88383689421794e-07 9.88383692781747e-07 9.88383684520891e-07
3584 2.625 1.05797198396106e-06 1.05797198893194e-06 1.05797198466298e-06
4096 3 1.06204575430743e-06 1.06204573519345e-06 1.06204571247944e-06
4608 3.375 1.0803780121907e-06 1.08037803335047e-06 1.08037804605247e-06
5120 3.75 1.06334389150657e-06 1.06334391408722e-06 1.06334393578329e-06
5632 4.125 1.03694489553336e-06 1.03694493612162e-06 1.03694493263541e-06
6144 4.5 1.05149646707102e-06 1.05149644260698e-06 1.05149646377661e-06
6656 4.875 1.12708765933643e-06 1.1270876681299e-06 1.12708763195446e-06
7168 5.25 1.17234165888351e-06 1.17234162199505e-06 1.17234162135379e-06
7680 5.625 1.15808299795033e-06 1.15808302108811e-06 1.15808305696709e-06
8192 6 1.09919573559616e-06 1.09919576458048e-06 1.09919587450656e-06
8704 6.375 1.09059584345156e-06 1.09059588347796e-06 1.09059590056052e-06
9216 6.75 1.15213577406484e-06 1.15213576077417e-06 1.15213579012365e-06
9728 7.125 1.18256418815086e-06 1.18256419031397e-06 1.18256425369825e-06
10240 7.5 1.17797794280137e-06 1.17797795829651e-06 1.17797805435708e-06
10752 7.875 1.17707897166438e-06 1.17707903191902e-06 1.17707903468483e-06
11264 8.25 1.19420719471683e-06 1.19420725885702e-06 1.19420723954548e-06
11776 8.625 1.1906000259775e-06 1.19060006679479e-06 1.19060014059235e-06
12288 9 1.16667042471517e-06 1.16667048042674e-06 1.16667042444456e-06
12800 9.375 1.16331798681475e-06 1.16331803987311e-06 1.16331798306075e-06
13312 9.75 1.20114588313607e-06 1.20114597081137e-06 1.20114595041819e-06
13824 10.125 1.20189598564817e-06 1.20189599323128e-06 1.20189605922068e-06
14336 10.5 1.1838960143084e-06 1.18389603149686e-06 1.18389606219754e-06
14848 10.875 1.15096777164082e-06 1.15096782917694e-06 1.15096787001656e-06
15360 11.25 1.14194059085159e-06 1.1419406252466e-06 1.14194067182542e-06
15872 11.625 1.15185918567999e-06 1.151859125484e-06 1.15185924225083e-06
16384 12 1.15850519763291e-06 1.15850511528895e-06 1.15850527037222e-06
16896 12.375 1.15264301112514e-06 1.15264290317176e-06 1.15264304266897e-06
17408 12.75 1.14054312088303e-06 1.14054326291922e-06 1.14054336483753e-06
17920 13.125 1.13729285593815e-06 1.13729285656597e-06 1.13729301355507e-06
18432 13.5 1.12833285820125e-06 1.12833296084213e-06 1.12833309122107e-06
18944 13.875 1.10604959487953e-06 1.10604974076253e-06 1.10604991755056e-06
19456 14.25 1.09408693572217e-06 1.09408704442562e-06 1.09408728594404e-06
19968 14.625 1.09824942548425e-06 1.09824948385486e-06 1.09824948537379e-06
20480 15 1.11953522211732e-06 1.11953527272876e-06 1.11953493927772e-06
20992 15.375 1.10820482151061e-06 1.10820461168645e-06 1.10820496982502e-06
21504 15.75 1.07743177418167e-06 1.07743160087483e-06 1.07743157868895e-06
22016 16.125 1.07528008519878e-06 1.07528008876898e-06 1.07527946977135e-06
22528 16.5 1.09760745116562e-06 1.09760745602927e-06 1.09760728960596e-06
23040 16.875 1.11072047489165e-06 1.11072077666522e-06 1.11072151504457e-06
23552 17.25 1.12175418032718e-06 1.1217542767183e-06 1.12175568701975e-06
24064 17.625 1.15234402945429e-06 1.15234406493184e-06 1.15234487363824e-06
24576 18 1.2222038382089e-06 1.22220394201958e-06 1.22220423732756e-06
25088 18.375 1.25999235444473e-06 1.25999255271904e-06 1.25999288300189e-06
25600 18.75 1.26974709814141e-06 1.26974711972988e-06 1.26974768543097e-06
26112 19.125 1.27760342302949e-06 1.27760333573072e-06 1.27760396114286e-06
26624 19.5 1.31534474690872e-06 1.31534448325772e-06 1.31534439501361e-06
27136 19.875 1.3497719547435e-06 1.34977155231551e-06 1.34977061188239e-06
27648 20.25 1.37481564707213e-06 1.37481563230984e-06 1.37481467187412e-06
28160 20.625 1.37848070879072e-06 1.37848070807817e-06 1.37847982967492e-06
28672 21 1.40728869339586e-06 1.40728779200607e-06 1.40728831064914e-06
29184 21.375 1.45018923595272e-06 1.45018821938806e-06 1.45018932061046e-06
29696 21.75 1.47775505012115e-06 1.47775433912672e-06 1.47775527852362e-06
30208 22.125 1.48102630523269e-06 1.48102608776261e-06 1.48102572619498e-06
30720 22.5 1.47618861352731e-06 1.47618771930019e-06 1.47618669456612e-06
31232 22.875 1.47241667923134e-06 1.47241612261371e-06 1.47241636918585e-06
