# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:24:17+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.24.08-461160
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
5120 3.75 1700.42833910292 1683.46681684355 17.1823790073395 7.93917608261108 7.81097459793091 0 9.39895462989807 30 299406.383643052 299406.383643052 2377040 2377040 197743.441342552 197743.441342552 1569920 1569920 96.8904937117428 119438.341480201 2888.04098271841 116550.300497482 948 1126133 27269 1098864 0 0 0 0 17.0864548683167 1752351865.95716 6656
5632 4.125 1705.4010981686 1684.36598966245 17.9508318901062 8.70762896537781 8.54384922981262 0 9.4101939201355 33 300281.972325236 300281.972325236 2614744 2614744 198321.725336063 198321.725336063 1726912 1726912 103.1148918871 119846.930807972 3033.27868567683 116813.652122296 974 1127607 28743 1098864 0 0 0 0 17.8453011512756 1752351866.72561 7295
6144 4.5 1707.97721444398 1685.86694862878 18.7281069755554 9.48490405082703 9.25622034072876 0 9.52883291244507 36 300735.567246069 300735.567246069 2852448 2852448 198621.302851844 198621.302851844 1883904 1883904 113.388181405283 137021.382332428 3170.11817789239 133851.264154536 1156 1482418 30226 1452192 0 0 0 0 18.6131198406219 1752351867.50289 7934
6656 4.875 1700.8699849921 1686.35535656923 19.5614519119263 10.3182489871979 10.0247001647949 0 9.54178094863892 39 299484.147342639 299484.147342639 3090152 3090152 197794.800506578 197794.800506578 2040896 2040896 123.522141630073 155572.991657908 3299.76084461524 152273.230813292 1182 1483869 31677 1452192 0 0 0 0 19.4369249343872 1752351868.33623 8573
7168 5.25 1700.66969906245 1687.15637366386 20.3564720153809 11.1132690906525 10.7803726196289 0 9.60403609275818 42 299448.881589586 299448.881589586 3327856 3327856 197771.509181639 197771.509181639 2197888 2197888 129.489048594261 155751.411755567 3442.21573291341 152309.196022654 1280 1498320 33168 1465152 0 0 0 0 20.222240447998 1752351869.13125 9212
7680 5.625 1705.7937937092 1687.77189288334 21.1145088672638 11.8713059425354 11.5023617744446 0 9.61616826057434 45 300351.116992482 300351.116992482 3565560 3565560 198367.392045922 198367.392045922 2354880 2354880 135.453607547544 156009.4727556 3582.34218302007 152427.13057258 1306 1499793 34641 1465152 0 0 0 0 20.9711582660675 1752351869.88929 9851
8192 6 1707.08993262196 1688.79872875713 21.8963148593903 12.6531119346619 12.2167456150055 0 9.73557806015015 48 300579.337291829 300579.337291829 3803264 3803264 198518.120520138 198518.120520138 2511872 2511872 145.254397639196 172532.16107409 3711.42548733153 168820.735586758 1488 1854597 36117 1818480 0 0 0 0 21.7434735298157 1752351870.67109 10490
8704 6.375 1701.68277644023 1689.09927510192 22.7298529148102 13.4866499900818 12.9865257740021 0 9.74566340446472 51 299627.261252555 299627.261252555 4040968 4040968 197889.320325115 197889.320325115 2668864 2668864 154.97786107126 190468.099159614 3829.59531798142 186638.503841633 1514 1856002 37522 1818480 0 0 0 0 22.5678873062134 1752351871.50463 11129
9216 6.75 1704.76463926273 1689.70690229822 23.4973700046539 14.2541670799255 13.7189781665802 0 9.80807280540466 54 300169.906526896 300169.906526896 4278672 4278672 198247.711294174 198247.711294174 2825856 2825856 160.762631118868 190585.530919685 3968.34169079934 186617.189228886 1612 1870446 39006 1831440 0 0 0 0 23.325873374939 1752351872.27215 11768
9728 7.125 1688.37228682024 1689.24393925732 24.4353499412537 15.1921470165253 14.6193108558655 0 9.81860423088074 57 297283.589678754 297283.589678754 4516376 4516376 196341.438557394 196341.438557394 2982848 2982848 166.462254865337 190678.437984844 4102.16378008723 186576.274204757 1638 1871914 40474 1831440 0 0 0 0 24.2547359466553 1752351873.21013 12407
