# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:53:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
35840 35 -8.20917438544401e-05 -8.21040084500621e-05 -8.2117196395667e-05
36352 35.5 -8.348917702838e-05 -8.34947975322126e-05 -8.35137471275488e-05
36864 36 -8.40543375385184e-05 -8.40578491371005e-05 -8.40745621619295e-05
37376 36.5 -8.65979839232777e-05 -8.66053895713807e-05 -8.66296825283637e-05
37888 37 -8.89601793299328e-05 -8.89735062434029e-05 -8.89986652068067e-05
38400 37.5 -8.9806635532866e-05 -8.98270678735823e-05 -8.98588559093581e-05
38912 38 -9.11692831740649e-05 -9.1191583915519e-05 -9.12271771626314e-05
39424 38.5 -9.20844458702609e-05 -9.20980740114784e-05 -9.21228165165369e-05
39936 39 -9.3284726934509e-05 -9.33043864457967e-05 -9.33320461009099e-05
40448 39.5 -9.49219758451935e-05 -9.49708887352775e-05 -9.5021121101846e-05
40960 40 -9.45884245565992e-05 -9.46423512942881e-05 -9.46959717915065e-05
41472 40.5 -9.52360502966629e-05 -9.52889673462431e-05 -9.53563039807541e-05
41984 41 -9.51771344257297e-05 -9.52211749626008e-05 -9.52772538660121e-05
42496 41.5 -9.45503447617873e-05 -9.45852920958064e-05 -9.46294481341875e-05
43008 42 -9.35959464648473e-05 -9.36205563088671e-05 -9.36490341989987e-05
43520 42.5 -9.0362249284154e-05 -9.03537806804292e-05 -9.03322228646016e-05
44032 43 -8.64941053495643e-05 -8.64369943027382e-05 -8.63800214982048e-05
44544 43.5 -8.28554679360389e-05 -8.27899283619018e-05 -8.27565528539332e-05
45056 44 -7.87839727526495e-05 -7.87762618046304e-05 -7.87393014325256e-05
45568 44.5 -7.39445937499611e-05 -7.39471804419553e-05 -7.39398359360328e-05
46080 45 -7.06986789351544e-05 -7.07152947799642e-05 -7.06122895328955e-05
46592 45.5 -7.65955596401355e-05 -7.70108154624796e-05 -7.65572121825968e-05
47104 46 -9.01611805367506e-05 -9.05615265817667e-05 -9.00226197655276e-05
47616 46.5 -0.000104942014637164 -0.000105408321051129 -0.000105029123825536
48128 47 -0.000119229903986969 -0.000119744383501048 -0.000119450027477306
48640 47.5 -0.00013265977241335 -0.00013313804705256 -0.000132893829961795
49152 48 -0.00014436122803617 -0.000144797443833935 -0.000144587174939857
49664 48.5 -0.00015412674062586 -0.000154314725791445 -0.000154173117069785
50176 49 -0.000162479446328604 -0.000162507199513283 -0.00016260028116069
50688 49.5 -0.000169894937243321 -0.000170146663293746 -0.000170277333163711
51200 50 -0.000176596160844262 -0.000177114013164251 -0.000177100735129023
51712 50.5 -0.00018918303922226 -0.000189563611003162 -0.000189918507653168
52224 51 -0.000199571647225645 -0.000200147300977896 -0.000200653211009072
52736 51.5 -0.000207829864269904 -0.00020869917036682 -0.000209110738998293
53248 52 -0.000212969157011827 -0.000213952790395376 -0.000214356419024486
53760 52.5 -0.000215074924004544 -0.000216442003270616 -0.000216792042207617
54272 53 -0.000214624670457141 -0.000216378672960353 -0.000216823386990555
54784 53.5 -0.000212303790448635 -0.000214102403472229 -0.000214640173460674
55296 54 -0.000208632396372635 -0.000210645749131823 -0.000211214912913265
55808 54.5 -0.000207842778955017 -0.000209389606191345 -0.000210039975607393
56320 55 -0.000208025723334483 -0.000209973025160566 -0.0002106511369731
56832 55.5 -0.000205739804027368 -0.000207839273871069 -0.000208476789311634
57344 56 -0.000201214875958994 -0.000203431004896133 -0.000204035453956791
57856 56.5 -0.000195359771017247 -0.00019688261871524 -0.000197530196848008
58368 57 -0.000190333330896911 -0.000192015148943195 -0.00019231317824508
58880 57.5 -0.000183402857429676 -0.000185357123354818 -0.000185676050966952
59392 58 -0.000174216133640748 -0.000176278224057286 -0.000176615861746102
59904 58.5 -0.000163381145084442 -0.000165442112138783 -0.000165775728868121
60416 59 -0.000151073686991446 -0.000153228417580726 -0.000153601808662344
60928 59.5 -0.000137569864163288 -0.000139684338649802 -0.000140123412809673
61440 60 -0.000123297729523492 -0.000125431247401074 -0.000125839302769993
61952 60.5 -0.000107599027524329 -0.000109814051115609 -0.000110225804996246
62464 61 -9.04718730179281e-05 -9.25603952866511e-05 -9.29670827295229e-05
62976 61.5 -7.35927703020815e-05 -7.52906694659052e-05 -7.56066036221665e-05
63488 62 -5.90268439840709e-05 -6.0432925893203e-05 -6.06928036719363e-05
64000 62.5 -4.80331435551853e-05 -4.90253715140872e-05 -4.91549721825928e-05
64512 63 -4.16317984303214e-05 -4.23157678582124e-05 -4.23639057730113e-05
65024 63.5 -3.8474374679544e-05 -3.89564469343445e-05 -3.89525555939039e-05
65536 64 -3.62619148701484e-05 -3.65000399328993e-05 -3.65548804735067e-05
66048 64.5 -3.62799084107854e-05 -3.63267015664174e-05 -3.6548020310472e-05
66560 65 -3.61509890741336e-05 -3.61698447523687e-05 -3.63585910503103e-05
67072 65.5 -3.55110501291432e-05 -3.55116648405798e-05 -3.57310416062102e-05
67584 66 -3.40927982485561e-05 -3.41420693305499e-05 -3.44081689459864e-05
68096 66.5 -3.19318590076976e-05 -3.20474713536365e-05 -3.23217959567416e-05
68608 67 -2.91783809187642e-05 -2.92982024993385e-05 -2.96031021347558e-05
69120 67.5 -2.52328392361081e-05 -2.53606691627306e-05 -2.57061835111967e-05
69632 68 -2.27214458741413e-05 -2.28137042730327e-05 -2.3060269013417e-05
70144 68.5 -2.04161390444272e-05 -2.05491284320462e-05 -2.08085348226576e-05
70656 69 -1.72822698658446e-05 -1.73891132928904e-05 -1.7645653409419e-05
71168 69.5 -1.33311409603906e-05 -1.34716294705955e-05 -1.37531599438854e-05
71680 70 -8.82202485903396e-06 -9.00808215526652e-06 -9.30206282571551e-06
72192 70.5 -4.71199799517011e-06 -4.78047417582443e-06 -4.88414849866054e-06
72704 71 -2.24460471087184e-06 -2.33174291475103e-06 -2.43135170380143e-06
73216 71.5 -2.52782579707088e-07 -3.46321646279282e-07 -4.4726324355619e-07
73728 72 -2.16607734366793e-07 -2.21239641158472e-07 -2.27544355659821e-07
74240 72.5 -2.43367763838928e-07 -2.4967935556565e-07 -2.55499872019645e-07
74752 73 -2.6887127214527e-07 -2.74508570356356e-07 -2.79671496460324e-07
75264 73.5 -2.92685498063416e-07 -2.99190137281912e-07 -3.04000186896966e-07
75776 74 -3.0922749764592e-07 -3.17557362916415e-07 -3.21830668891144e-07
76288 74.5 -3.26469652767617e-07 -3.31646508659232e-07 -3.36215781862077e-07
76800 75 -3.3872911360353e-07 -3.4305233384322e-07 -3.47769787421667e-07
77312 75.5 -3.33442500170693e-07 -3.38264466864916e-07 -3.42626584484166e-07
77824 76 -3.20138670384533e-07 -3.25956664495454e-07 -3.30159180815985e-07
78336 76.5 -3.08625392927794e-07 -3.12612700212789e-07 -3.15971297671967e-07
78848 77 -2.18382796396047e-05 -2.53470361993371e-05 -2.86960462335577e-05
79360 77.5 -6.10364738563655e-05 -6.4857408019618e-05 -6.85068581013649e-05
79872 78 -9.69694229329306e-05 -0.000101487051881666 -0.000105484094503114
80384 78.5 -0.000128017277390355 -0.000132795222089862 -0.000137009761153579
80896 79 -0.000166232626115182 -0.000169980409303556 -0.000173775713006928
81408 79.5 -0.000202486051951034 -0.000205770027334091 -0.00020910406404824
81920 80 -0.000234292862611028 -0.00023713566532677 -0.000239964548415445
82432 80.5 -0.000262532086155033 -0.000265408207363817 -0.000268932120859615
82944 81 -0.000289109274456499 -0.000292570155182556 -0.000295696955449868
83456 81.5 -0.000313205476125047 -0.00031628604384612 -0.000319055901567042
83968 82 -0.000334383341297156 -0.000336926266310786 -0.000339213280448027
84480 82.5 -0.000352576107243001 -0.000354798065441536 -0.000356670418513615
84992 83 -0.000366366603270533 -0.000368450010643004 -0.000370056841436118
85504 83.5 -0.000376437151724306 -0.000378109643519364 -0.000379270150517334
86016 84 -0.00038425129637055 -0.00038536239722881 -0.000386061112287023
86528 84.5 -0.000388549038377522 -0.000389439478944323 -0.000389836171512585
87040 85 -0.000388506520242572 -0.000389319279854773 -0.000389437101416549
87552 85.5 -0.000385544932076507 -0.000385989256797573 -0.000385745777772554
88064 86 -0.000379254052863128 -0.000379484284344482 -0.000379027107266706
88576 86.5 -0.000369614769470755 -0.000369981352166267 -0.000369542824614695
89088 87 -0.000358826600521908 -0.000359056861144704 -0.000358395114448427
89600 87.5 -0.000345396664888808 -0.000345355068783209 -0.000344411326098073
90112 88 -0.000329179002099743 -0.000329208372924123 -0.00032824752218329
90624 88.5 -0.00031269777747139 -0.000313439229773949 -0.000313836147112781
