# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:53:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
21504 21 1.81929466308136e-05 1.81933478505189e-05 1.81937911731273e-05
22016 21.5 1.82859315890412e-05 1.82863198538672e-05 1.82868268525543e-05
22528 22 1.6612994623734e-05 1.66134688048207e-05 1.66137499161489e-05
23040 22.5 1.41970155249099e-05 1.41975968372989e-05 1.41980722675628e-05
23552 23 1.28122346020167e-05 1.28054798919748e-05 1.28045582496685e-05
24064 23.5 1.3180619167938e-05 1.31754541449433e-05 1.31766445999282e-05
24576 24 1.28569219061279e-05 1.2854397766745e-05 1.28594068171246e-05
25088 24.5 1.41177934853624e-05 1.41185739648886e-05 1.41280347965533e-05
25600 25 1.57121026671657e-05 1.57173042318606e-05 1.57327657583879e-05
26112 25.5 1.7919580561962e-05 1.81441507661565e-05 1.81613335452242e-05
26624 26 2.07872445985361e-05 2.10391184381186e-05 2.10659904225886e-05
27136 26.5 2.5033174836987e-05 2.53072358376057e-05 2.53464639368105e-05
27648 27 2.97125150389219e-05 2.99988238899285e-05 3.00525061949765e-05
28160 27.5 3.47726472742364e-05 3.50464864858222e-05 3.51166584008627e-05
28672 28 4.01039069841802e-05 4.03439828090984e-05 4.04373149933042e-05
29184 28.5 4.5375710762469e-05 4.56046257122412e-05 4.57068000773862e-05
29696 29 5.00944796072834e-05 5.03509308708984e-05 5.04678569692261e-05
30208 29.5 5.53680880333729e-05 5.56068118458261e-05 5.57388157653985e-05
30720 30 6.18447069751587e-05 6.20842273711011e-05 6.22311550977572e-05
31232 30.5 7.32371375093552e-05 7.39147729963487e-05 7.41083568044413e-05
31744 31 9.10098503361973e-05 9.17551875241115e-05 9.19678784047462e-05
32256 31.5 0.000110768792331014 0.000111518899682457 0.000111754843080713
32768 32 0.000130521218956418 0.000131263099346197 0.00013152670741218
33280 32.5 0.000148415471006866 0.000149042763203757 0.000149331233006792
33792 33 0.000165349409918186 0.000165932123150382 0.000166236389134892
34304 33.5 0.000183345194765687 0.000183939227568434 0.000184299668362717
34816 34 0.000203741909107977 0.000204314360357721 0.000204740553831391
35328 34.5 0.000229548500193721 0.00023021036448966 0.000231007221495423
35840 35 0.000266864111164893 0.000267632607356098 0.000268540358309802
36352 35.5 0.0003043627030786 0.000306114081840923 0.0003066790530007
36864 36 0.000348699951360332 0.000351207235911555 0.000351883307006496
37376 36.5 0.000406088738819672 0.000407686140686153 0.000409431430940592
37888 37 0.000470587215061278 0.000472457620158365 0.000474441237500937
38400 37.5 0.000534062725936095 0.000536095139814397 0.000538141088423129
38912 38 0.000600494697208089 0.000602750995174306 0.000604728266815042
39424 38.5 0.00067178724572506 0.000674106888290362 0.000676267546610129
39936 39 0.000733559607861487 0.000735415265521158 0.000737358989890189
40448 39.5 0.000774576259500593 0.000776709686659453 0.000779522828878712
40960 40 0.000822278706729091 0.000825601891014602 0.00082766836495076
41472 40.5 0.00086690333946792 0.000868821871977566 0.000868134199149216
41984 41 0.000916835412006012 0.000920812103503565 0.000922159107212188
42496 41.5 0.000985916681102561 0.00098536731972628 0.000982822361873702
43008 42 0.00104026018204596 0.00103524392891718 0.00102969513920197
43520 42.5 0.00108300274779629 0.00107394364814546 0.00106533106487455
44032 43 0.00110764494970708 0.00109590888430474 0.00108581794638765
44544 43.5 0.00112022161387367 0.00110682328778666 0.00109553689510064
45056 44 0.00112511693562791 0.00111061456872731 0.00109879414590346
45568 44.5 0.00112185430363386 0.00111113060545332 0.00110202250700442
46080 45 0.0011485276502867 0.00113594391308559 0.00112553008087838
46592 45.5 0.00116824236477941 0.00115361111680163 0.00114166645474039
47104 46 0.00117337630112552 0.00115705980444333 0.00114392093763991
47616 46.5 0.00115877943656391 0.00114191124587251 0.00112852744739998
48128 47 0.00113896883108763 0.00112112264377416 0.00110713039690588
48640 47.5 0.0011329347388175 0.00111959621234051 0.00110892493462464
49152 48 0.00113868908758208 0.00112384226036152 0.00111191035801118
49664 48.5 0.00113393626075992 0.00111744871976988 0.00110439311659087
50176 49 0.00112273901077392 0.00110499296549255 0.00109113807314064
50688 49.5 0.00110752441146961 0.00108954089185732 0.00107535126763718
51200 50 0.00109204290787069 0.00108026261168489 0.00107065578817569
51712 50.5 0.001095103865783 0.00108189372771319 0.00107124997451823
52224 51 0.00109085378099262 0.0010765443863859 0.00106501457273585
52736 51.5 0.00108081538313611 0.00106562436329153 0.001053519137507
53248 52 0.00106674031031533 0.00105149803562195 0.00103935837114542
53760 52.5 0.00105299811804961 0.00104253625485046 0.00103402408924108
54272 53 0.00105364469316209 0.00104236674079213 0.00103317089102503
54784 53.5 0.00104790743817004 0.00103596690803747 0.00102618610648564
55296 54 0.0010371220729939 0.00102470534246332 0.00101462767828341
55808 54.5 0.00102313006790173 0.00101070308567388 0.00100405681097745
56320 55 0.00102725019168243 0.00101844687807547 0.00101110564571042
56832 55.5 0.00102803586437112 0.0010186977055371 0.00101083550092132
57344 56 0.00102379566761972 0.00101410279717064 0.00100592441357241
57856 56.5 0.00101544288968919 0.00100535028357526 0.000996890573076382
58368 57 0.00101500789939823 0.00100794667954066 0.0010018118724138
58880 57.5 0.00102000086694372 0.00101222888799542 0.0010055336489969
59392 58 0.00101878331105965 0.00101054807358506 0.00100345058699445
59904 58.5 0.00101435606354873 0.00100589298162844 0.000998480535598146
60416 59 0.00100931445211502 0.00100340380328382 0.000998270288791065
60928 59.5 0.00102165313789077 0.00101515628044891 0.00100946182925749
61440 60 0.00102776546451173 0.00102096480706997 0.00101494541550379
61952 60.5 0.00102956244306548 0.00102241036439457 0.00101609032922281
62464 61 0.00102711924227442 0.00101964803584318 0.00101306213177635
62976 61.5 0.00102615350549891 0.00102096209152751 0.00101622805423586
63488 62 0.00103466410004642 0.00102878886436851 0.00102353979222653
64000 62.5 0.00103811692303968 0.00103192535514051 0.00102632455100102
64512 63 0.00103697108462499 0.00103054339927887 0.00102465828458959
65024 63.5 0.00103133034342965 0.00102466736775242 0.00101864812520135
65536 64 0.00102134748933197 0.00101571038072383 0.00101133034375996
66048 64.5 0.0010244660172245 0.0010193194529658 0.00101464804266326
66560 65 0.00102335586554358 0.00101810766192774 0.00101326641409871
67072 65.5 0.00101740223291118 0.00101202481945027 0.00100690520635842
67584 66 0.00100511789783287 0.000999447662743969 0.000994154436369599
68096 66.5 0.000987603347848273 0.000981785254398167 0.000976488413799305
68608 67 0.000966307362486243 0.000960674717307169 0.000955443284631761
69120 67.5 0.000943051563923873 0.000938056829620717 0.000933470719795621
69632 68 0.000924371006706279 0.000919426803954347 0.000914732693293451
70144 68.5 0.000899875832643949 0.00089481892226619 0.000890044882154251
70656 69 0.000869030595264014 0.000863752223818077 0.000858924407972966
71168 69.5 0.000832405064054665 0.000827163966180763 0.000822239732965673
71680 70 0.000791521305529032 0.000786350389758076 0.000781386414728301
72192 70.5 0.000745298656672121 0.000740109091092062 0.000735277694280651
72704 71 0.000694831225604505 0.000689708883961352 0.000684973324893991
73216 71.5 0.000642752845020351 0.000637882699689719 0.000633241996971616
73728 72 0.000589301097878344 0.000584649173117248 0.000580098642708413
74240 72.5 0.000539931914548721 0.000535984600320041 0.000530338512864209
74752 73 0.000526869588798596 0.000523502569440403 0.000518770842675357
75264 73.5 0.000516373715274891 0.000512910611230596 0.000508210297594016
75776 74 0.000506356629334664 0.000503620579789364 0.000499906743820067
76288 74.5 0.000498665807659006 0.0004957642325677 0.000492019358236039
76800 75 0.000488122664154792 0.000485053289216928 0.000481227594250292
77312 75.5 0.000474534397438531 0.000472169641478184 0.000469142192688668
77824 76 0.000466191761821806 0.000463433835388168 0.000460464627984945
78336 76.5 0.000469310289197753 0.000454401382083879 0.000451500125896593
78848 77 0.000472860415606013 0.00045639176536802 0.00044582410449781
79360 77.5 0.000474071669892845 0.000457901745425402 0.000447282093711505
79872 78 0.000473876346272668 0.00045834809849241 0.000449111193805365
80384 78.5 0.000474115568413548 0.000459598738650716 0.000449305837345343
80896 79 0.000471324283402001 0.000458044728966859 0.000450852353430287
81408 79.5 0.000467324102876872 0.000455929788286737 0.000451455495681176
81920 80 0.00046201216752174 0.000451906539952315 0.000448380730145584
82432 80.5 0.000455118707547103 0.000446271338902814 0.00044383207194358
82944 81 0.000447477627455903 0.000440779508527037 0.000439257382935224
83456 81.5 0.000436627396998379 0.000432923654421239 0.000432241469733158
83968 82 0.000423833167261453 0.000423642618860132 0.000423965932508099
84480 82.5 0.000411086919380068 0.000413212691865076 0.00041442173540392
84992 83 0.000396854187855989 0.000401414892993978 0.000403278502693352
85504 83.5 0.000382849522235183 0.000389632934382934 0.000392015319324182
86016 84 0.000368214452208902 0.000375437366885627 0.00037817356364263
86528 84.5 0.000353333294037655 0.000360757256261118 0.000363919485696577
