# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
50176 49 1
50688 49.5 1
51200 50 1
51712 50.5 1
52224 51 1
52736 51.5 1
53248 52 1
53760 52.5 1
54272 53 1
54784 53.5 1
55296 54 1
55808 54.5 1
56320 55 1
56832 55.5 1
57344 56 1
57856 56.5 1
58368 57 1
58880 57.5 1
59392 58 1
59904 58.5 1
60416 59 1
60928 59.5 1
61440 60 1
61952 60.5 1
62464 61 1
62976 61.5 1
63488 62 1
64000 62.5 1
64512 63 1
65024 63.5 1
65536 64 1
66048 64.5 1
66560 65 1
67072 65.5 1
67584 66 1
68096 66.5 1
68608 67 1
69120 67.5 1
69632 68 1
70144 68.5 1
70656 69 1
71168 69.5 1
71680 70 1
72192 70.5 1
72704 71 1
73216 71.5 1
73728 72 1
74240 72.5 1
74752 73 1
75264 73.5 1
75776 74 1
76288 74.5 1
76800 75 1
77312 75.5 1
77824 76 1
78336 76.5 1
78848 77 1
79360 77.5 1
79872 78 1
80384 78.5 1
80896 79 1
81408 79.5 1
81920 80 1
82432 80.5 1
82944 81 1
83456 81.5 1
83968 82 1
84480 82.5 1
84992 83 1
85504 83.5 1
86016 84 1
86528 84.5 1
87040 85 1
87552 85.5 1
88064 86 1
88576 86.5 1
89088 87 1
89600 87.5 1
90112 88 1
90624 88.5 1
91136 89 1
91648 89.5 1
92160 90 1
92672 90.5 1
93184 91 1
93696 91.5 1
94208 92 1
94720 92.5 1
95232 93 1
95744 93.5 1
96256 94 1
96768 94.5 1
97280 95 1
97792 95.5 1
98304 96 1
98816 96.5 1
99328 97 1
99840 97.5 1
100352 98 1
100864 98.5 1
101376 99 1
101888 99.5 1
102400 100 1
102912 100.5 1
103424 101 1
103936 101.5 1
104448 102 1
104960 102.5 1
105472 103 1
105984 103.5 1
106496 104 1
107008 104.5 1
107520 105 1
108032 105.5 1
108544 106 1
109056 106.5 1
109568 107 1
110080 107.5 1
110592 108 1
111104 108.5 1
111616 109 1
112128 109.5 1
112640 110 1
113152 110.5 1
113664 111 1
114176 111.5 1
114688 112 1
115200 112.5 1
115712 113 1
116224 113.5 1
116736 114 1
117248 114.5 1
117760 115 1
118272 115.5 1
118784 116 1
119296 116.5 1
119808 117 1
120320 117.5 1
120832 118 1
121344 118.5 1
121856 119 1
122368 119.5 1
122880 120 1
123392 120.5 1
123904 121 1
124416 121.5 1
124928 122 1
125440 122.5 1
125952 123 1
126464 123.5 1
126976 124 1
127488 124.5 1
128000 125 1
128512 125.5 1
129024 126 1
129536 126.5 1
130048 127 1
130560 127.5 1
131072 128 1
131584 128.5 1
132096 129 1
132608 129.5 1
133120 130 1
133632 130.5 1
134144 131 1
134656 131.5 1
135168 132 1
135680 132.5 1
136192 133 1
136704 133.5 1
137216 134 1
137728 134.5 1
138240 135 1
138752 135.5 1
139264 136 1
139776 136.5 1
140288 137 1
140800 137.5 1
141312 138 1
141824 138.5 1
142336 139 1
142848 139.5 1
143360 140 1
143872 140.5 1
144384 141 1
144896 141.5 1
145408 142 1
145920 142.5 1
146432 143 1
146944 143.5 1
147456 144 1
147968 144.5 1
148480 145 1
148992 145.5 1
149504 146 1
150016 146.5 1
150528 147 1
151040 147.5 1
151552 148 1
152064 148.5 1
152576 149 1
153088 149.5 1
153600 150 1
154112 150.5 1
154624 151 1
155136 151.5 1
155648 152 1
156160 152.5 1
156672 153 1
157184 153.5 1
157696 154 1
158208 154.5 1
158720 155 1
159232 155.5 1
159744 156 1
160256 156.5 1
160768 157 1
161280 157.5 1
161792 158 1
162304 158.5 1
162816 159 1
163328 159.5 1
163840 160 1
164352 160.5 1
164864 161 1
165376 161.5 1
165888 162 1
166400 162.5 1
166912 163 1
167424 163.5 1
167936 164 1
168448 164.5 1
168960 165 1
169472 165.5 1
169984 166 1
170496 166.5 1
171008 167 1
171520 167.5 1
172032 168 1
172544 168.5 1
173056 169 1
173568 169.5 1
174080 170 1
174592 170.5 1
175104 171 1
175616 171.5 1
176128 172 1
176640 172.5 1
177152 173 1
177664 173.5 1
178176 174 1
178688 174.5 1
179200 175 1
179712 175.5 1
180224 176 1
180736 176.5 1
181248 177 1
181760 177.5 1
182272 178 1
182784 178.5 1
183296 179 1
183808 179.5 1
184320 180 1
184832 180.5 1
185344 181 1
185856 181.5 1
186368 182 1
186880 182.5 1
187392 183 1
187904 183.5 1
188416 184 1
188928 184.5 1
189440 185 1
189952 185.5 1
190464 186 1
190976 186.5 1
191488 187 1
192000 187.5 1
192512 188 1
193024 188.5 1
193536 189 1
194048 189.5 1
194560 190 1
195072 190.5 1
195584 191 1
196096 191.5 1
196608 192 1
197120 192.5 1
197632 193 1
198144 193.5 1
198656 194 1
199168 194.5 1
199680 195 1
200192 195.5 1
200704 196 1
201216 196.5 1
201728 197 1
202240 197.5 1
202752 198 1
203264 198.5 1
203776 199 1
204288 199.5 1
204800 200 1
205312 200.5 1
205824 201 1
206336 201.5 1
206848 202 1
207360 202.5 1
207872 203 1
208384 203.5 1
208896 204 1
209408 204.5 1
209920 205 1
210432 205.5 1
210944 206 1
211456 206.5 1
211968 207 1
212480 207.5 1
212992 208 1
213504 208.5 1
214016 209 1
214528 209.5 1
215040 210 1
215552 210.5 1
216064 211 1
216576 211.5 1
217088 212 1
217600 212.5 1
218112 213 1
218624 213.5 1
219136 214 1
219648 214.5 1
220160 215 1
220672 215.5 1
221184 216 1
221696 216.5 1
222208 217 1
222720 217.5 1
223232 218 1
223744 218.5 1
224256 219 1
224768 219.5 1
225280 220 1
225792 220.5 1
226304 221 1
226816 221.5 1
227328 222 1
227840 222.5 1
228352 223 1
228864 223.5 1
229376 224 1
229888 224.5 1
230400 225 1
230912 225.5 1
231424 226 1
