# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:53:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.75230441709729e-07 1.75230481305638e-07 1.75230529338348e-07
1024 1 4.74412653328448e-07 4.74412690997448e-07 4.7441272454608e-07
1536 1.5 7.87210466719989e-07 7.87210648352742e-07 7.87211174153216e-07
2048 2 8.36110092758227e-07 8.36110642991703e-07 8.36111468886175e-07
2560 2.5 8.44914759615661e-07 8.44915349738933e-07 8.44916109850322e-07
3072 3 8.02198033710102e-07 8.02198613349182e-07 8.02199335607427e-07
3584 3.5 9.26319920055335e-07 9.26324641462727e-07 9.26328369179806e-07
4096 4 8.30401003206271e-07 8.30404639871511e-07 8.30408032673689e-07
4608 4.5 8.94607764354553e-07 8.94608315857198e-07 8.94609372887725e-07
5120 5 8.99300298647577e-07 8.99299399809619e-07 8.99298805598729e-07
5632 5.5 9.19394573995256e-07 9.19395771911594e-07 9.19397317147209e-07
6144 6 8.80155598196739e-07 8.8015393763982e-07 8.80152719364696e-07
6656 6.5 9.35614472666172e-07 9.3561430409138e-07 9.35614227810945e-07
7168 7 9.21238065677416e-07 9.21237664641426e-07 9.21237454709463e-07
7680 7.5 8.80726756828937e-07 8.80728207782221e-07 8.80730005644501e-07
8192 8 9.36323480211911e-07 9.36325021866622e-07 9.36326438741204e-07
8704 8.5 9.50590197875789e-07 9.50592548310488e-07 9.50594458560747e-07
9216 9 9.50521881230026e-07 9.50524637774197e-07 9.50526917513618e-07
9728 9.5 9.98977059242509e-07 9.98980884287802e-07 9.98984170580026e-07
10240 10 9.89685468727605e-07 9.89687107290695e-07 9.89688742966057e-07
10752 10.5 1.00017519228036e-06 1.00017344090009e-06 1.00017214778005e-06
11264 11 9.98340235784579e-07 9.98340871455797e-07 9.98340295503029e-07
11776 11.5 9.92437181172954e-07 9.92437193294121e-07 9.92436822111178e-07
12288 12 9.92244339802337e-07 9.92243869748163e-07 9.92243559648024e-07
12800 12.5 9.80837684896603e-07 9.80837711472762e-07 9.80839190353493e-07
13312 13 9.74852244346702e-07 9.74850768781485e-07 9.74851062851839e-07
13824 13.5 9.73085718304404e-07 9.73086094809107e-07 9.73089661523529e-07
14336 14 9.72420582945334e-07 9.72418677712702e-07 9.7241725811608e-07
14848 14.5 9.76515096730974e-07 9.76516070359906e-07 9.7651565092265e-07
15360 15 9.78059767032303e-07 9.78062728602258e-07 9.78064138096136e-07
15872 15.5 9.91427442304851e-07 9.91429980788105e-07 9.91436425088694e-07
16384 16 1.01946695392964e-06 1.0194684454606e-06 1.01946897524515e-06
16896 16.5 1.02259260749015e-06 1.02259522561153e-06 1.02259893066879e-06
17408 17 1.06344123418968e-06 1.06344648336929e-06 1.06344934914416e-06
17920 17.5 1.08558410693349e-06 1.08559321275206e-06 1.08560198944519e-06
18432 18 1.08139415860402e-06 1.08140379809437e-06 1.08141403726946e-06
18944 18.5 1.09353413371738e-06 1.09354276407647e-06 1.09355210615618e-06
19456 19 1.08879919714584e-06 1.08880929071067e-06 1.08882003173934e-06
19968 19.5 1.10166345887737e-06 1.10167337193562e-06 1.10168284094381e-06
20480 20 1.0809229690679e-06 1.08093453285473e-06 1.08095262348757e-06
20992 20.5 1.07008669416759e-06 1.07009757561766e-06 1.07011324574712e-06
21504 21 1.05023999651969e-06 1.05025241974498e-06 1.05026253538725e-06
22016 21.5 1.03968023136612e-06 1.03968905221339e-06 1.03970130343483e-06
22528 22 1.04785048730942e-06 1.04785840099563e-06 1.04787136327296e-06
23040 22.5 1.06365838440446e-06 1.06365761346261e-06 1.06366443382439e-06
23552 23 1.06031511310822e-06 1.06030962595379e-06 1.06030924123355e-06
24064 23.5 1.05993293923746e-06 1.05993493032897e-06 1.05994153293972e-06
24576 24 1.07090398151269e-06 1.07090593024039e-06 1.07091125898875e-06
25088 24.5 1.07228839578154e-06 1.07228807142428e-06 1.07229066702253e-06
25600 25 1.08099728301223e-06 1.08099499579308e-06 1.08099304737725e-06
26112 25.5 1.06416565582349e-06 1.06415116258265e-06 1.06413554336948e-06
26624 26 1.03720565648868e-06 1.03720501077452e-06 1.03721184086463e-06
27136 26.5 9.98030768892735e-07 9.98046793796364e-07 9.98074136813244e-07
27648 27 9.30986406702002e-07 9.30978104154941e-07 9.30986471611105e-07
28160 27.5 8.86632780860644e-07 8.86608173370735e-07 8.86600089389388e-07
28672 28 8.79940461241958e-07 8.79969383610569e-07 8.80007562690336e-07
29184 28.5 8.76189369647053e-07 8.76236694390906e-07 8.76317477596238e-07
29696 29 8.70065261017962e-07 8.70130048566605e-07 8.70222448942034e-07
30208 29.5 8.60495365410472e-07 8.605290176155e-07 8.6062539885445e-07
30720 30 8.58154851221792e-07 8.5822837057217e-07 8.58548420939353e-07
31232 30.5 8.75198874747655e-07 8.75221868541024e-07 8.75438724433444e-07
31744 31 8.87925697610064e-07 8.88012991108271e-07 8.88122568280194e-07
32256 31.5 8.89668976871827e-07 8.89764603412904e-07 8.89821216907309e-07
32768 32 8.96560588820145e-07 8.9651458512102e-07 8.96464414404104e-07
33280 32.5 9.06126148781738e-07 9.06079080535435e-07 9.06192184693379e-07
33792 33 9.34140453649209e-07 9.34180536549174e-07 9.34235045334614e-07
34304 33.5 9.64052055248673e-07 9.64088837697778e-07 9.64044327602143e-07
34816 34 9.68106877103114e-07 9.68109757618837e-07 9.68195447558542e-07
35328 34.5 9.70342163526471e-07 9.70240877721914e-07 9.7022899519277e-07
35840 35 1.00179231271622e-06 1.00185736970358e-06 1.00186913018099e-06
36352 35.5 1.0352938632673e-06 1.03535423133466e-06 1.03544327642915e-06
36864 36 1.04727934929429e-06 1.0475437459617e-06 1.04779121965647e-06
37376 36.5 1.0717701071232e-06 1.07231233821499e-06 1.07292922251934e-06
37888 37 1.11828978448592e-06 1.11872415786131e-06 1.1192839659368e-06
38400 37.5 1.15563581585588e-06 1.15604860281225e-06 1.15643290370228e-06
38912 38 1.1770050380475e-06 1.17738817939282e-06 1.17743773762904e-06
39424 38.5 1.21436641862515e-06 1.21479374033952e-06 1.2154230868769e-06
39936 39 1.23528133109868e-06 1.2359592605771e-06 1.23660248254358e-06
40448 39.5 1.23689688627331e-06 1.23749807534882e-06 1.23782749193348e-06
40960 40 1.25155656713482e-06 1.25119001144192e-06 1.25187755690241e-06
41472 40.5 1.25369804372064e-06 1.25383188136123e-06 1.25510637111308e-06
