# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.90805808937861e-05 1.908058089379e-05 1.90805808937941e-05
1024 1 3.15892467193426e-05 3.15892467193371e-05 3.15892467193321e-05
1536 1.5 4.14141612000251e-05 4.1414161200028e-05 4.14141612000337e-05
2048 2 2.20730793168042e-05 2.20730793168088e-05 2.20730793167103e-05
2560 2.5 2.78415893421403e-05 2.78415893420029e-05 2.78415893418934e-05
3072 3 4.05521721384065e-05 4.05521721367371e-05 4.05521721715173e-05
3584 3.5 5.00213358492101e-05 5.00213358463111e-05 5.00213359480839e-05
4096 4 3.45171377333822e-05 3.45171377309155e-05 3.45171371734114e-05
4608 4.5 3.8418574633244e-05 3.84185746526885e-05 3.84185739664483e-05
5120 5 2.91620055797958e-05 2.91620056332676e-05 2.91620018746675e-05
5632 5.5 4.03633910498873e-05 4.03633906456473e-05 4.03633896033116e-05
6144 6 5.0110268563734e-05 5.01102674952782e-05 5.01102662017799e-05
6656 6.5 3.23158205819713e-05 3.23158205824626e-05 3.23158205872551e-05
7168 7 3.23609644772127e-05 3.23609644764605e-05 3.23609644863732e-05
7680 7.5 3.10712390238909e-05 3.10712390198595e-05 3.10712390113226e-05
8192 8 3.65053190906218e-05 3.6505327666877e-05 3.6505320276984e-05
8704 8.5 4.35972695895996e-05 4.3597273416056e-05 4.3597262428254e-05
9216 9 2.99260446332071e-05 2.9926041579627e-05 2.99260384027157e-05
9728 9.5 2.91245290724269e-05 2.91245250481486e-05 2.91245240623019e-05
10240 10 2.35347637871489e-05 2.35347643197892e-05 2.35347621742638e-05
10752 10.5 2.72910514862687e-05 2.72910472975221e-05 2.72910639083317e-05
11264 11 3.62647966563131e-05 3.62647966315577e-05 3.62647957890795e-05
11776 11.5 3.52118357074039e-05 3.52118356781097e-05 3.52118359148623e-05
12288 12 3.86511128636892e-05 3.8651113111663e-05 3.86511128445243e-05
12800 12.5 3.77725717452866e-05 3.77725714357684e-05 3.77725707575389e-05
13312 13 4.24054278766737e-05 4.24054281502439e-05 4.24054268722173e-05
13824 13.5 3.62187144528187e-05 3.62187146266691e-05 3.62187104432095e-05
14336 14 2.1813719661541e-05 2.18140271839669e-05 2.18135921780837e-05
14848 14.5 2.32480410293768e-05 2.3248019747293e-05 2.32479666841634e-05
15360 15 2.87177248412685e-05 2.87178235164031e-05 2.8717714396455e-05
15872 15.5 3.32312644765246e-05 3.32314391064011e-05 3.32312558419056e-05
16384 16 2.6947022240226e-05 2.69472450374918e-05 2.69470341891156e-05
16896 16.5 3.46598291477513e-05 3.46598491636257e-05 3.465981851067e-05
17408 17 3.88038854283782e-05 3.88039184975888e-05 3.88038826173603e-05
17920 17.5 5.12922948700201e-05 5.12923074176578e-05 5.12922995642842e-05
18432 18 5.77321590290744e-05 5.77321704830374e-05 5.77321702340652e-05
18944 18.5 5.0042642430231e-05 5.00426498469525e-05 5.0042653937923e-05
19456 19 3.22461820527859e-05 3.22461864316549e-05 3.22461856698871e-05
19968 19.5 2.51837844953981e-05 2.5183779886932e-05 2.51838019679094e-05
20480 20 3.39143245316907e-05 3.39149996116251e-05 3.39145630386026e-05
20992 20.5 3.75264602131047e-05 3.75264289598263e-05 3.7526961507122e-05
21504 21 3.95826485445241e-05 3.95826570844565e-05 3.9582592335097e-05
22016 21.5 4.98963647654973e-05 4.989639225859e-05 4.98964541468606e-05
22528 22 5.75066844015756e-05 5.75066441926049e-05 5.75069249238425e-05
23040 22.5 5.84389911483916e-05 5.84388446754891e-05 5.84391957097648e-05
23552 23 4.92420465478189e-05 4.92418890997735e-05 4.92420368398398e-05
24064 23.5 3.85108993134208e-05 3.85110536698866e-05 3.85107772040155e-05
24576 24 4.66306262393729e-05 4.66350181962219e-05 4.6621774866575e-05
25088 24.5 5.23071738240869e-05 5.23127825890833e-05 5.23016893394826e-05
25600 25 3.83345506843628e-05 3.83463026515419e-05 3.83322116664893e-05
26112 25.5 3.74087713360599e-05 3.74085076514529e-05 3.74090599918603e-05
26624 26 3.53023948585479e-05 3.53033928924631e-05 3.5302573271737e-05
27136 26.5 3.7047488960022e-05 3.70485383089954e-05 3.70482254562454e-05
27648 27 4.29404934823774e-05 4.29422165638474e-05 4.29413928984924e-05
28160 27.5 4.94935244818511e-05 4.94951827151112e-05 4.94937499744449e-05
28672 28 5.1490917884641e-05 5.14915130813511e-05 5.14900148414488e-05
29184 28.5 4.92324816898439e-05 4.92327573193244e-05 4.9230134954028e-05
29696 29 4.81765104867235e-05 4.81767828214526e-05 4.8173415258316e-05
30208 29.5 4.99310497410217e-05 4.99304458383729e-05 4.99284228409191e-05
30720 30 4.8507348355875e-05 4.85055656064893e-05 4.8506302733159e-05
31232 30.5 3.9976756183018e-05 3.99748921818853e-05 3.99777118934021e-05
31744 31 4.27867288499941e-05 4.27682854393438e-05 4.27886127899966e-05
32256 31.5 5.19430042748095e-05 5.19237409016136e-05 5.19479347108037e-05
32768 32 4.4624522660455e-05 4.4603570083568e-05 4.46323357110776e-05
33280 32.5 4.27364394390912e-05 4.27356118925942e-05 4.27385397504052e-05
33792 33 4.07647069724538e-05 4.07630264622138e-05 4.07648466357815e-05
34304 33.5 3.94463521343138e-05 3.94433056879228e-05 3.94437105617851e-05
34816 34 4.33475788514996e-05 4.33429671087667e-05 4.33423304281521e-05
35328 34.5 4.83762497547693e-05 4.83702931940115e-05 4.83710051587949e-05
35840 35 4.93689212258975e-05 4.93624128745726e-05 4.93675766610861e-05
36352 35.5 4.78231067486627e-05 4.78172179283606e-05 4.78271465387064e-05
36864 36 4.86273723050702e-05 4.86227149097905e-05 4.86344478740609e-05
37376 36.5 5.25307738029553e-05 5.25274777436671e-05 5.25373890447928e-05
37888 37 5.53218589393403e-05 5.5321260175545e-05 5.53259193973605e-05
38400 37.5 5.32702309288367e-05 5.32732347880792e-05 5.32713402904843e-05
38912 38 4.69309447610059e-05 4.69368260845863e-05 4.6929512846007e-05
39424 38.5 4.06011530216808e-05 4.06035958017429e-05 4.06000575400363e-05
39936 39 3.80201805283465e-05 3.80213109067236e-05 3.80184108489273e-05
40448 39.5 4.09998265186815e-05 4.10015537172292e-05 4.09986736278695e-05
40960 40 4.596368459187e-05 4.59690043657173e-05 4.59675181496798e-05
41472 40.5 5.23282090159598e-05 5.23282011180069e-05 5.23353049299285e-05
41984 41 5.76040136493845e-05 5.75991208547801e-05 5.76124744192596e-05
42496 41.5 6.28593578599295e-05 6.28506737703997e-05 6.28673673335446e-05
43008 42 6.55424632561471e-05 6.55306312679848e-05 6.55483375230558e-05
43520 42.5 5.97197110906457e-05 5.97045872161692e-05 5.97221602628473e-05
44032 43 4.53654521971553e-05 4.53475263385095e-05 4.53654099622188e-05
44544 43.5 4.90247135203837e-05 4.90296311861115e-05 4.90210076815946e-05
45056 44 4.91335610096958e-05 4.91386036184857e-05 4.91306044767662e-05
45568 44.5 3.98796019045702e-05 3.98699871051539e-05 3.98826003257444e-05
46080 45 3.92199439549193e-05 3.92109579718699e-05 3.92209666816303e-05
46592 45.5 4.71804844760493e-05 4.71699201199201e-05 4.71900224631122e-05
47104 46 5.86956523473005e-05 5.86850373160024e-05 5.87045498463209e-05
47616 46.5 6.43660928919759e-05 6.43544366843271e-05 6.43690911736284e-05
48128 47 5.98718924535053e-05 5.98569520004923e-05 5.98683433083256e-05
48640 47.5 4.73686888185031e-05 4.73500650478718e-05 4.73658404309957e-05
49152 48 3.52811806512869e-05 3.5280088482398e-05 3.52782795609417e-05
49664 48.5 3.67477629447064e-05 3.6738013935531e-05 3.67448821046721e-05
50176 49 3.75400481231342e-05 3.75294105663501e-05 3.75376644292838e-05
50688 49.5 3.47228014267277e-05 3.47153039754453e-05 3.47239787309665e-05
51200 50 3.90162007177377e-05 3.90128654937632e-05 3.90157914461032e-05
51712 50.5 4.67760390944408e-05 4.67666121892222e-05 4.67735390305083e-05
52224 51 4.87215818519596e-05 4.87076981928827e-05 4.87201365505746e-05
52736 51.5 4.89595327466001e-05 4.89460809067231e-05 4.89579499076994e-05
53248 52 4.86146560075666e-05 4.86014351281785e-05 4.86089038909122e-05
53760 52.5 4.33184774079716e-05 4.33034235108329e-05 4.33084384811404e-05
54272 53 3.37021640182574e-05 3.37004687512212e-05 3.36997024726135e-05
54784 53.5 3.84578860692123e-05 3.84487097096457e-05 3.84543387391327e-05
55296 54 4.0538733725152e-05 4.05237115795422e-05 4.0537246411623e-05
55808 54.5 3.43937319544636e-05 3.43938899296994e-05 3.43958528169167e-05
56320 55 3.29486369299453e-05 3.29559936888078e-05 3.29413056732929e-05
56832 55.5 3.65762643434607e-05 3.65827870041805e-05 3.6564755327269e-05
57344 56 4.35256280148452e-05 4.35276181963809e-05 4.35145348764097e-05
57856 56.5 5.21140121233101e-05 5.21131732217105e-05 5.21050404983775e-05
58368 57 5.62922020064028e-05 5.62948872756117e-05 5.62858312454339e-05
58880 57.5 5.26900656188458e-05 5.26958546494756e-05 5.26868975562962e-05
59392 58 4.43231145748584e-05 4.43211900579446e-05 4.43218732345052e-05
59904 58.5 3.79861132233343e-05 3.79832897281794e-05 3.79866030211517e-05
60416 59 3.93999557625791e-05 3.93931845874818e-05 3.94013666251893e-05
60928 59.5 3.67477128142441e-05 3.67529212595772e-05 3.6738069644852e-05
61440 60 3.55582551801529e-05 3.55705194239706e-05 3.55459201428473e-05
61952 60.5 3.23905629107174e-05 3.23901077828467e-05 3.23724376909578e-05
62464 61 3.20255922986956e-05 3.20159171203694e-05 3.20006269774862e-05
62976 61.5 3.64465021426312e-05 3.6446068263243e-05 3.64206233306583e-05
63488 62 4.07604667609173e-05 4.07670689948237e-05 4.07415685279248e-05
64000 62.5 3.98874004015135e-05 3.98820476594444e-05 3.98774841729736e-05
64512 63 3.67750927138789e-05 3.67589510834241e-05 3.67702005152666e-05
65024 63.5 3.86021935875821e-05 3.85997055930562e-05 3.85990416376241e-05
65536 64 4.52770931619534e-05 4.53016041786734e-05 4.52779293046424e-05
66048 64.5 4.80715748331092e-05 4.8110047753884e-05 4.80802934070067e-05
66560 65 4.16437381485079e-05 4.16750058666184e-05 4.16574000409722e-05
67072 65.5 3.3858546901789e-05 3.38439561499137e-05 3.38607263512246e-05
67584 66 3.76078458538843e-05 3.76106717164629e-05 3.76193502632535e-05
68096 66.5 3.79199273349169e-05 3.79250870373347e-05 3.79360067027095e-05
68608 67 3.80261672203475e-05 3.79809842113012e-05 3.7996491038944e-05
69120 67.5 4.42042573883852e-05 4.41619133163105e-05 4.41767851922864e-05
69632 68 4.90399524720943e-05 4.90210080962218e-05 4.90215813353123e-05
70144 68.5 5.22583649761965e-05 5.2268904728319e-05 5.22361385823251e-05
70656 69 5.12622442452048e-05 5.12873444429999e-05 5.12267847896025e-05
71168 69.5 4.32090672323373e-05 4.32273229917128e-05 4.31829158650613e-05
71680 70 3.52990456222817e-05 3.53161530646111e-05 3.52883538958315e-05
72192 70.5 3.72174859950106e-05 3.72114465530036e-05 3.71985044719871e-05
72704 71 3.43565163058277e-05 3.43395207266582e-05 3.43361615219566e-05
