# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
5120 5 2878.0387388599 2922.77536739937 15.5375421047211 6.25425910949707 6.1049976348877 0 9.46611952781677 30 288277.151367492 288277.151367492 1802960 1802960 173500.966461759 173500.966461759 1085120 1085120 96.262466920131 110250.42111658 2821.50803371406 107428.913082866 948 1045606 26806 1018800 0 0 0 0 15.442051410675 1752359192.7591 6656
5632 5.5 2892.92029756867 2918.18712256036 16.1275780200958 6.84429502487183 6.65439462661743 0 9.47636723518372 33 289767.754428023 289767.754428023 1983256 1983256 174398.092960984 174398.092960984 1193632 1193632 102.394301863487 110501.291542677 2955.60624523276 107545.685297444 974 1047000 28200 1018800 0 0 0 0 16.0229444503784 1752359193.34913 7295
6144 6 2892.63499295575 2914.89495228965 16.7505230903625 7.46724009513855 7.20703983306885 0 9.59866738319397 36 289739.177049972 289739.177049972 2163552 2163552 174380.893530897 174380.893530897 1302144 1302144 112.537526503144 130842.163844703 3085.03710922306 127757.12673548 1156 1375651 29635 1346016 0 0 0 0 16.6365010738373 1752359193.97208 7934
6656 6.5 2849.27723333261 2906.44848644827 17.4958920478821 8.21260905265808 7.89001536369324 0 9.60802245140076 39 285396.271144965 285396.271144965 2343848 2343848 171767.09507966 171767.09507966 1410656 1410656 122.633262817018 143333.715939355 3209.49362703623 140124.222312319 1182 1377047 31031 1346016 0 0 0 0 17.3728270530701 1752359194.71745 8573
7168 7 2877.6886066778 2903.55659364028 18.0403110980988 8.75702810287476 8.40125155448914 0 9.66925239562988 42 288242.080571989 288242.080571989 2524144 2524144 173479.858937679 173479.858937679 1519168 1519168 128.643255536488 143707.380759811 3348.45944814169 140358.92131167 1280 1390868 32468 1358400 0 0 0 0 17.9080452919006 1752359195.26187 9212
7680 7.5 2888.82333584174 2901.06659008144 18.6296489238739 9.3463659286499 8.95335650444031 0 9.67837047576904 45 289357.384532735 289357.384532735 2704440 2704440 174151.109899366 174151.109899366 1627680 1627680 134.555669006561 143863.676257263 3479.32850110897 140384.347756154 1306 1392267 33867 1358400 0 0 0 0 18.4882781505585 1752359195.8512 9851
8192 8 2899.37303039151 2900.35405912695 19.2164649963379 9.93318200111389 9.47125101089478 0 9.79799032211304 48 290414.088826371 290414.088826371 2884736 2884736 174787.092374358 174787.092374358 1736192 1736192 144.27594941478 163563.160581283 3602.79415643879 159960.366424845 1488 1720919 35303 1685616 0 0 0 0 19.065746307373 1752359196.43802 10490
8704 8.5 2881.77816808512 2898.61032712707 19.9017269611359 10.6184439659119 10.0952653884888 0 9.80854940414429 51 288651.709218375 288651.709218375 3065032 3065032 173726.39587514 173726.39587514 1844704 1844704 153.980106770805 175609.824934555 3721.52582556327 171888.299108992 1514 1722311 36695 1685616 0 0 0 0 19.7419993877411 1752359197.12328 11129
9216 9 2896.81828532927 2897.86587918346 20.4679679870605 11.1846849918365 10.6252443790436 0 9.87124562263489 54 290158.194206515 290158.194206515 3245328 3245328 174633.080987583 174633.080987583 1953216 1953216 159.711890997284 175811.398238443 3854.11614820736 171957.282090236 1612 1736128 38128 1698000 0 0 0 0 20.2988176345825 1752359197.68952 11768
9728 9.5 2902.90966486167 2897.55005781792 21.0645658969879 11.7812829017639 11.1859183311462 0 9.88073754310608 57 290768.333853277 290768.333853277 3425624 3425624 175000.296418594 175000.296418594 2061728 2061728 165.40725733045 175866.583803162 3980.70684654995 171885.876956612 1638 1737525 39525 1698000 0 0 0 0 20.8863003253937 1752359198.28612 12407
