# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 0.0303868252815002 0.0303868252815002 0.0303868252815002
1024 1 0.028017974393709 0.028017974393709 0.028017974393709
1536 1.5 0.0257190129972205 0.0257190129972205 0.0257190129972205
2048 2 0.0234940756657946 0.0234940756657946 0.0234940756657945
2560 2.5 0.0217101408196624 0.0217101408196628 0.0217101408234797
3072 3 0.0203286054446677 0.0203286054446672 0.0203286054803781
3584 3.5 0.0189706258371816 0.0189706258371808 0.0189706259253281
4096 4 0.0176412676849297 0.0176412676849347 0.0176412678172554
4608 4.5 0.01629097739224 0.0162909773922895 0.0162909776150907
5120 5 0.0148389973745329 0.0148389973747367 0.0148389978177356
5632 5.5 0.0131972382009288 0.0131972382016423 0.0131972389617349
6144 6 0.0114272340651145 0.0114272340668276 0.011427235170597
6656 6.5 0.00957231146208333 0.00957231146481232 0.0095723128690726
7168 7 0.00887919227660711 0.00887919227594494 0.0088791923475568
7680 7.5 0.00923916069066355 0.00923916069079981 0.00923916075565285
8192 8 0.00957402332686199 0.0095740233541778 0.00957402338978912
8704 8.5 0.00987726289971869 0.00987726311283082 0.00987726304290358
9216 9 0.0101471147423877 0.0101471154209532 0.0101471151136893
9728 9.5 0.0103850549843057 0.0103850564650496 0.0103850557432576
10240 10 0.010591542359206 0.0105915450003289 0.0105915436413914
10752 10.5 0.0107651006072246 0.0107651047941913 0.0107651025177661
11264 11 0.0109043943044364 0.0109044004525053 0.0109043969174017
11776 11.5 0.011010707086563 0.0110107156142813 0.0110107104291778
12288 12 0.0110866918559209 0.0110867033818341 0.0110866958320614
12800 12.5 0.0111333939073658 0.01113340969826 0.0111333982452796
13312 13 0.0111513987253778 0.0111514216801822 0.0111514026941048
13824 13.5 0.0111431128764758 0.0111431446947236 0.0111431161277723
