# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:26:26+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.26.16-517696
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
75776 74 1.06953990770641e-10
76288 74.5 1.06954154248677e-10
76800 75 1.0695431266108e-10
77312 75.5 1.06954473226749e-10
77824 76 1.06954638206761e-10
78336 76.5 1.06954802588737e-10
78848 77 1.06954958150839e-10
79360 77.5 1.06955100473881e-10
79872 78 1.06955232808148e-10
80384 78.5 1.06955363510845e-10
80896 79 1.06955499465915e-10
81408 79.5 1.06955641252667e-10
81920 80 1.06955783905852e-10
82432 80.5 1.06955921939982e-10
82944 81 1.06956053782845e-10
83456 81.5 1.0695618189994e-10
83968 82 1.06956309173108e-10
84480 82.5 1.06956435279846e-10
84992 83 1.06956556180779e-10
85504 83.5 1.0695666653493e-10
86016 84 1.06956762388304e-10
86528 84.5 1.06956841960182e-10
87040 85 1.06956904739393e-10
87552 85.5 1.069569506815e-10
88064 86 1.06956980628918e-10
88576 86.5 1.06956997256393e-10
89088 87 1.06957005017159e-10
89600 87.5 1.06957008558294e-10
90112 88 1.06957010694231e-10
90624 88.5 1.0695701152632e-10
91136 89 1.0695701152632e-10
91648 89.5 1.0695701152632e-10
92160 90 1.0695701152632e-10
92672 90.5 1.0695701152632e-10
93184 91 1.0695701152632e-10
93696 91.5 1.0695701152632e-10
94208 92 1.0695701152632e-10
94720 92.5 1.0695701152632e-10
95232 93 1.0695701152632e-10
95744 93.5 1.0695701152632e-10
96256 94 1.0695701152632e-10
96768 94.5 1.0695701152632e-10
97280 95 1.0695701152632e-10
97792 95.5 1.0695701152632e-10
98304 96 1.0695701152632e-10
98816 96.5 1.0695701152632e-10
99328 97 1.0695701152632e-10
99840 97.5 1.0695701152632e-10
100352 98 1.0695701152632e-10
100864 98.5 1.0695701152632e-10
101376 99 1.0695701152632e-10
