# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
7680 7.5 1232.65477470365 1205.66633775168 30.8945109844208 21.9039430618286 21.1083528995514 0 9.78960704803467 105 335095.830886772 335095.830886772 7339920 7339920 197137.108501939 197137.108501939 4318080 4318080 179.641487982714 236897.76722332 3444.76348201664 233453.003741303 1762 2318520 33912 2284608 0 0 0 0 30.7178635597229 1752356516.27975 23019
8192 8 1233.18928526397 1207.14640185408 32.3446469306946 23.3540790081024 22.4336709976196 0 9.97137951850891 112 335241.136988692 335241.136988692 7829248 7829248 197222.592181949 197222.592181949 4605952 4605952 195.742580054687 276951.030709282 3547.48111966121 273403.549589621 2022 2871815 35351 2836464 0 0 0 0 32.1563520431519 1752356517.72988 24527
8704 8.5 1232.73893893113 1208.13721545705 33.8133418560028 24.8227739334106 23.8297305107117 0 9.98820829391479 119 335118.710838496 335118.710838496 8318576 8318576 197150.568793324 197150.568793324 4893824 4893824 204.735533997332 287773.822581253 3661.80119954719 284112.021381706 2048 2873223 36759 2836464 0 0 0 0 33.6137266159058 1752356519.19858 26035
9216 9 1222.96852838437 1208.64452851071 35.4834818840027 26.4929139614105 25.4376585483551 0 10.0716378688812 126 332462.635587371 332462.635587371 8807904 8807904 195587.997890592 195587.997890592 5181696 5181696 213.222941359034 287512.024002143 3783.36336705546 283728.660635088 2182 2893956 38196 2855760 0 0 0 0 35.2720551490784 1752356520.86872 27543
9728 9.5 1226.76622429566 1209.16860440402 36.8687400817871 27.8781721591949 26.7858994007111 0 10.0874574184418 133 333495.035001193 333495.035001193 9297232 9297232 196195.359178023 196195.359178023 5469568 5469568 218.589192243865 287137.235584191 3907.52975735756 283229.705826834 2208 2895360 39600 2855760 0 0 0 0 36.6455976963043 1752356522.25398 29051
10240 10 1226.80210365419 1209.92499071812 38.3351540565491 29.3445861339569 28.1344878673553 0 10.2604670524597 140 333504.788764944 333504.788764944 9786560 9786560 196201.097323967 196201.097323967 5757440 5757440 233.906291583941 325635.104452188 4004.34630860405 321630.758143584 2468 3448663 41047 3407616 0 0 0 0 38.0989847183228 1752356523.72039 30559
10752 10.5 1225.51816940799 1210.39759771126 39.8346638679504 30.8440959453583 29.5632522106171 0 10.2778046131134 147 333155.752666708 333155.752666708 10275888 10275888 195995.759146566 195995.759146566 6045312 6045312 242.420427013286 335874.767275723 4117.44767037988 331757.319605344 2494 3450115 42499 3407616 0 0 0 0 39.5877583026886 1752356525.2199 32067
11264 11 1227.81366507599 1210.97712550839 41.2430188655853 32.2524509429932 30.9008097648621 0 10.3735694885254 154 333779.780613502 333779.780613502 10765216 10765216 196362.875218197 196362.875218197 6333184 6333184 250.236673305997 335057.139751474 4234.20176226543 330822.937989208 2628 3470903 43991 3426912 0 0 0 0 40.9846866130829 1752356526.62825 33575
11776 11.5 1229.87417296603 1211.53289404141 42.6525480747223 33.6619801521301 32.2681427001953 0 10.3899154663086 161 334339.927393957 334339.927393957 11254544 11254544 196692.409955599 196692.409955599 6621056 6621056 255.190345948981 334362.139648093 4356.53254744601 330005.607100647 2654 3472361 45449 3426912 0 0 0 0 42.3828444480896 1752356528.03778 35083
12288 12 1229.72151555547 1212.20440051197 44.12047290802 35.1299049854279 33.601361989975 0 10.5747067928314 168 334298.427646515 334298.427646515 11743872 11743872 196667.995625547 196667.995625547 6908928 6908928 269.224273996563 370634.175300109 4443.53143190232 366190.643868207 2914 4025709 46941 3978768 0 0 0 0 43.8392381668091 1752356529.50571 36591
12800 12.5 1200.43468193611 1211.40067284947 46.476989030838 37.4864211082458 35.8903605937958 0 10.5902621746063 175 326336.834468017 326336.834468017 12233200 12233200 191984.184865728 191984.184865728 7196800 7196800 277.330976283917 380381.065033872 4551.49628482307 375829.568749049 2940 4027161 48393 3978768 0 0 0 0 46.1842994689941 1752356531.86223 38099
13312 13 1204.06488741997 1210.98326607624 47.8589050769806 38.8683371543884 37.2099857330322 0 10.6767768859863 182 327323.701795243 327323.701795243 12722528 12722528 192564.7595952 192564.7595952 7484672 7484672 284.911539096611 379595.325069034 4666.01336672129 374929.311702312 3074 4047953 49889 3998064 0 0 0 0 47.5546660423279 1752356533.24414 39607
13824 13.5 1205.67539193215 1210.62675339613 49.2999250888824 40.3093571662903 38.6115601062775 0 10.6927466392517 189 327761.51565743 327761.51565743 13211856 13211856 192822.325792384 192822.325792384 7772544 7772544 289.660767108782 378841.385617908 4783.79996222194 374057.585655686 3100 4049404 51340 3998064 0 0 0 0 48.9839427471161 1752356534.68516 41115
14336 14 1206.51489175173 1210.4097549536 50.7637779712677 41.7732100486755 39.9565036296844 0 10.8615653514862 196 327989.732750606 327989.732750606 13701184 13701184 192956.586065752 192956.586065752 8060416 8060416 303.314221180377 414145.126563365 4869.682987273 409275.443576092 3360 4602749 52829 4549920 0 0 0 0 50.4363117218018 1752356536.14901 42623
14848 14.5 1207.34978873208 1210.14314572172 52.2257599830627 43.2351920604706 41.3527238368988 0 10.8770265579224 203 328216.69856705 328216.69856705 14190512 14190512 193090.110212156 193090.110212156 8348288 8348288 311.044675519927 423432.327282781 4973.31189495566 418459.015387826 3386 4604203 54283 4549920 0 0 0 0 51.8865678310394 1752356537.611 44131
15360 15 1209.85138531928 1210.03355850038 53.6241490840912 44.633581161499 42.6810541152954 0 10.9698622226715 210 328896.754819729 328896.754819729 14679840 14679840 193490.187774795 193490.187774795 8636160 8636160 318.008754371886 422121.165280203 5077.90530544166 417043.259974761 3520 4624982 55766 4569216 0 0 0 0 53.2732689380646 1752356539.00939 45639
