# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
42496 41.5 1.10577600969918e-10
43008 42 1.10577984300921e-10
43520 42.5 1.10578392799757e-10
44032 43 1.10578799303756e-10
44544 43.5 1.10579227145802e-10
45056 44 1.10579707119299e-10
45568 44.5 1.10580211492615e-10
46080 45 1.10580710021295e-10
46592 45.5 1.10581220418458e-10
47104 46 1.10581739599724e-10
47616 46.5 1.10582218092023e-10
48128 47 1.10582646638941e-10
48640 47.5 1.10583070235108e-10
49152 48 1.10583501508106e-10
49664 48.5 1.10583909664254e-10
50176 49 1.10584286376881e-10
50688 49.5 1.10584653012106e-10
51200 50 1.10585018102192e-10
51712 50.5 1.10585369972707e-10
52224 51 1.10585700064288e-10
52736 51.5 1.10586012246467e-10
53248 52 1.10586312937947e-10
53760 52.5 1.10586601306061e-10
54272 53 1.1058686802973e-10
54784 53.5 1.10587103370869e-10
55296 54 1.10587312720285e-10
55808 54.5 1.10587514087678e-10
56320 55 1.10587708741797e-10
56832 55.5 1.10587879999772e-10
57344 56 1.10588032681404e-10
57856 56.5 1.10588191151929e-10
58368 57 1.10588352619579e-10
58880 57.5 1.10588495075999e-10
59392 58 1.10588623419249e-10
59904 58.5 1.10588750252797e-10
60416 59 1.10588849121456e-10
60928 59.5 1.10588874365996e-10
61440 60 1.10588874365996e-10
61952 60.5 1.10588874365996e-10
62464 61 1.10588874365996e-10
62976 61.5 1.10588874365996e-10
63488 62 1.10588874365996e-10
64000 62.5 1.10588874365996e-10
64512 63 1.10588874365996e-10
65024 63.5 1.10588874365996e-10
65536 64 1.10588874365996e-10
66048 64.5 1.10588874365996e-10
66560 65 1.10588874365996e-10
67072 65.5 1.10588874365996e-10
67584 66 1.10588874365996e-10
68096 66.5 1.10588874365996e-10
68608 67 1.10588874365996e-10
69120 67.5 1.10588874365996e-10
69632 68 1.10588874365996e-10
70144 68.5 1.10588874365996e-10
70656 69 1.10588874365996e-10
71168 69.5 1.10588874365996e-10
71680 70 1.10588874365996e-10
72192 70.5 1.10588874365996e-10
72704 71 1.10588874365996e-10
73216 71.5 1.10588874365996e-10
73728 72 1.10588874365996e-10
74240 72.5 1.10588874365996e-10
74752 73 1.10588874365996e-10
75264 73.5 1.10588874365996e-10
75776 74 1.10588874365996e-10
76288 74.5 1.10588874365996e-10
76800 75 1.10588874365996e-10
77312 75.5 1.10588874365996e-10
77824 76 1.10588874365996e-10
78336 76.5 1.10588874365996e-10
78848 77 1.10588874365996e-10
79360 77.5 1.10588874365996e-10
79872 78 1.10588874365996e-10
80384 78.5 1.10588874365996e-10
80896 79 1.10588874365996e-10
81408 79.5 1.10588874365996e-10
81920 80 1.10588874365996e-10
82432 80.5 1.10588874365996e-10
82944 81 1.10588874365996e-10
83456 81.5 1.10588874365996e-10
83968 82 1.10588874365996e-10
84480 82.5 1.10588874365996e-10
84992 83 1.10588874365996e-10
85504 83.5 1.10588874365996e-10
86016 84 1.10588874365996e-10
86528 84.5 1.10588874365996e-10
87040 85 1.10588874365996e-10
87552 85.5 1.10588874365996e-10
88064 86 1.10588874365996e-10
88576 86.5 1.10588874365996e-10
89088 87 1.10588874365996e-10
89600 87.5 1.10588874365996e-10
90112 88 1.10588874365996e-10
90624 88.5 1.10588874365996e-10
91136 89 1.10588874365996e-10
91648 89.5 1.10588874365996e-10
92160 90 1.10588874365996e-10
92672 90.5 1.10588874365996e-10
93184 91 1.10588874365996e-10
93696 91.5 1.10588874365996e-10
94208 92 1.10588874365996e-10
94720 92.5 1.10588874365996e-10
95232 93 1.10588874365996e-10
95744 93.5 1.10588874365996e-10
96256 94 1.10588874365996e-10
96768 94.5 1.10588874365996e-10
97280 95 1.10588874365996e-10
97792 95.5 1.10588874365996e-10
98304 96 1.10588874365996e-10
98816 96.5 1.10588874365996e-10
99328 97 1.10588874365996e-10
99840 97.5 1.10588874365996e-10
100352 98 1.10588874365996e-10
100864 98.5 1.10588874365996e-10
101376 99 1.10588874365996e-10
101888 99.5 1.10588874365996e-10
102400 100 1.10588874365996e-10
102912 100.5 1.10588874365996e-10
103424 101 1.10588874365996e-10
103936 101.5 1.10588874365996e-10
104448 102 1.10588874365996e-10
104960 102.5 1.10588874365996e-10
105472 103 1.10588874365996e-10
105984 103.5 1.10588874365996e-10
106496 104 1.10588874365996e-10
107008 104.5 1.10588874365996e-10
107520 105 1.01986766313923e-10
108032 105.5 9.41567482230638e-11
108544 106 8.72150726433271e-11
109056 106.5 8.87907530385435e-11
109568 107 8.55042786843162e-11
110080 107.5 8.19744783287828e-11
110592 108 7.94582115924381e-11
111104 108.5 7.6223295546324e-11
111616 109 7.38629987150523e-11
112128 109.5 7.47164550677613e-11
112640 110 6.34987851079006e-11
113152 110.5 -nan
113664 111 -nan
114176 111.5 -nan
114688 112 -nan
