# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
15360 15 -0.113096518732132 -0.113094915183219 -0.113093007142071
15872 15.5 -0.115695278545251 -0.115693207170991 -0.11569067070468
16384 16 -0.119989485349407 -0.120055261163134 -0.119200722300702
16896 16.5 -0.126827242087555 -0.126899632586852 -0.126037387497876
17408 17 -0.134040068157983 -0.134121067294378 -0.133274591278435
17920 17.5 -0.141619358634057 -0.141711094715471 -0.140906535011736
18432 18 -0.14957434289957 -0.149679847161113 -0.148928223206138
18944 18.5 -0.157925383035252 -0.158047420510498 -0.157353956399411
19456 19 -0.16669394261987 -0.166835357083441 -0.166219241088758
19968 19.5 -0.175904224951707 -0.176067380448267 -0.175522462170273
20480 20 -0.185649585291729 -0.185775754666723 -0.185331695145599
20992 20.5 -0.195854909410177 -0.195952072381221 -0.195625281005271
21504 21 -0.206387815974895 -0.206472617688407 -0.20625416083896
22016 21.5 -0.217266691142581 -0.217318656700823 -0.217204909151351
22528 22 -0.228660645865178 -0.22867402563998 -0.228678705769955
23040 22.5 -0.240439229438242 -0.240435559493284 -0.240579470872443
23552 23 -0.252476435534577 -0.252483096360161 -0.252772705681597
24064 23.5 -0.264642602874737 -0.264702009096217 -0.265125648599746
24576 24 -0.2767962204025 -0.277029691371493 -0.277494846955799
25088 24.5 -0.288788223916168 -0.289244216978948 -0.28972638806855
25600 25 -0.300837151596162 -0.301351630091868 -0.301656439785568
26112 25.5 -0.312568378961492 -0.313122234515555 -0.313135485293083
26624 26 -0.323609833903963 -0.324193494388259 -0.324024830493317
27136 26.5 -0.334100765679044 -0.334704915082076 -0.33414263415062
27648 27 -0.343585879609451 -0.344204189831163 -0.343388868907274
28160 27.5 -0.351892849379416 -0.352523602649698 -0.351694870805024
28672 28 -0.359197622181084 -0.359845599150319 -0.359004838275472
29184 28.5 -0.365455985828399 -0.366128285955211 -0.365286262576886
29696 29 -0.370567087912013 -0.371269242321019 -0.37054826773048
30208 29.5 -0.37454124914683 -0.375276545970859 -0.374835517466417
30720 30 -0.377477972147191 -0.38132341264688 -0.378200298679938
31232 30.5 -0.408724564609721 -0.422500798489345 -0.414281954472623
31744 31 -0.452722120325962 -0.470731336527013 -0.461280535523697
32256 31.5 -0.503390254521936 -0.525592430509219 -0.515692796970603
32768 32 -0.558262861507353 -0.580676501691965 -0.573332176170438
