# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000163839998067005
512 0.5 0.000163476792407791
1024 1 0.000163121013871225
1536 1.5 0.000162812619610573
2048 2 0.000162575503531954
2560 2.5 0.000162421923236608
3072 3 0.000162351681170912
3584 3.5 0.000162356042719985
4096 4 0.00016242009848692
4608 4.5 0.000162526403713678
5120 5 0.000162657789547269
5632 5.5 0.000162798173599249
6144 6 0.000162933790464251
6656 6.5 0.00016305455880869
7168 7 0.000163153975157128
7680 7.5 0.000163228959258337
8192 8 0.000163280118246496
8704 8.5 0.000163311860763942
9216 9 0.000163329951612317
9728 9.5 0.000163338708416167
10240 10 0.00016334228126822
10752 10.5 0.000163344876816721
11264 11 0.000163347530925635
11776 11.5 0.000163353665002658
12288 12 0.000163368813859619
12800 12.5 0.000163388331240107
13312 13 0.000163407085593976
13824 13.5 0.000163431293645016
14336 14 0.000163459851027885
14848 14.5 0.000163484312536143
15360 15 0.000163507949834102
15872 15.5 0.000163533644820153
16384 16 0.000163552531793528
16896 16.5 0.000163567819497582
17408 17 0.000163585180576946
17920 17.5 0.000163594104037997
18432 18 0.000163601357402601
18944 18.5 0.000163610001894467
19456 19 0.000163611847134296
19968 19.5 0.000163613101854863
20480 20 0.000163616397695087
20992 20.5 0.000163617567459944
21504 21 0.000163620329349543
22016 21.5 0.000163627976418209
22528 22 0.000163633951130489
23040 22.5 0.000163642185363841
23552 23 0.00016365153758951
24064 23.5 0.000163655684107952
24576 24 0.000163655581393593
25088 24.5 0.000163648251739095
25600 25 0.000163634189271049
26112 25.5 0.000163616259849788
26624 26 0.00016359384023564
27136 26.5 0.000163568873381842
27648 27 0.000163540122478715
28160 27.5 0.000163505225024365
28672 28 0.000163467020051824
29184 28.5 0.000163424913344132
29696 29 0.000163375987354704
30208 29.5 0.000163321329583048
30720 30 0.000163261372867003
31232 30.5 0.000163194359536323
31744 31 0.000163119557436946
32256 31.5 0.000163037431404299
32768 32 0.000162948941475432
33280 32.5 0.000162853890609232
33792 33 0.000162751360158924
34304 33.5 0.000162641055992731
34816 34 0.000162523636822372
35328 34.5 0.000162400818442709
35840 35 0.000162273534024796
36352 35.5 0.000162141302182909
36864 36 0.000162005195486889
37376 36.5 0.000161867900391468
37888 37 0.000161731443840056
38400 37.5 0.000161597192566493
38912 38 0.000161466070976965
39424 38.5 0.000161337874841655
39936 39 0.000161213250602585
40448 39.5 0.000161093716764452
40960 40 0.00016098004994402
41472 40.5 0.000160873426253025
41984 41 0.000160773777370684
42496 41.5 0.000160681671956192
43008 42 0.000160598088291071
43520 42.5 0.000160522440770571
44032 43 0.0001604562210671
44544 43.5 0.000160400042082078
45056 44 0.000160353632686416
45568 44.5 0.000160317942854
46080 45 0.000160292430884636
46592 45.5 0.000160277775788158
47104 46 0.000160275420749804
47616 46.5 0.000160284013795527
48128 47 0.000160302839355917
48640 47.5 0.000160334276908547
49152 48 0.000160377735046755
49664 48.5 0.000160430862254015
50176 49 0.000160495549834278
50688 49.5 0.000160574241117227
51200 50 0.000160663382488671
51712 50.5 0.000160762288208028
52224 51 0.000160875755502668
52736 51.5 0.000160999285134075
53248 52 0.000161130816255818
53760 52.5 0.000161275200319028
54272 53 0.000161430112762134
54784 53.5 0.000161594747783553
55296 54 0.0001617725392441
55808 54.5 0.00016196009424135
56320 55 0.000162155706697978
56832 55.5 0.000162360713530277
57344 56 0.000162566644168663
57856 56.5 0.000162769919485966
58368 57 0.000162973578605824
58880 57.5 0.000163181863741199
59392 58 0.000163399676157043
59904 58.5 0.000163625643545778
60416 59 0.000163863135964234
60928 59.5 0.000164113648735951
61440 60 0.000164369644101684
61952 60.5 0.000164624987221008
62464 61 0.000164885294713485
62976 61.5 0.000165150865915477
63488 62 0.000165400256076606
64000 62.5 0.000165620666544105
64512 63 0.000165840198159868
65024 63.5 0.000166075845061353
65536 64 0.000166299404970642
66048 64.5 0.000166517931123153
66560 65 0.000166773419372866
67072 65.5 0.000167058036887093
67584 66 0.00016735659776778
68096 66.5 0.000167682605789996
68608 67 0.000168070581992615
69120 67.5 0.000168516079119131
69632 68 0.000169030051970342
70144 68.5 0.00016964113366932
70656 69 0.000170357499611448
71168 69.5 0.000171223222022631
71680 70 0.000172243509639494
72192 70.5 0.000173366876281568
72704 71 0.000174590568785131
73216 71.5 0.000175838392163474
73728 72 0.000177072682510705
74240 72.5 0.000178272762802146
74752 73 0.000179387471721723
75264 73.5 0.000180415952819455
75776 74 0.000181351167626834
76288 74.5 0.000182172217655565
76800 75 0.00018285836247941
77312 75.5 0.000183383018035969
77824 76 0.000183736326333941
78336 76.5 0.000183935832862985
78848 77 0.000183961690326622
79360 77.5 0.000183796504761225
79872 78 0.000183509937111952
80384 78.5 0.00018314953456893
80896 79 0.000182761941362445
81408 79.5 0.000182370666521019
81920 80 0.00018198595587058
82432 80.5 0.000181625006536407
82944 81 0.000181302007313531
83456 81.5 0.00018105437902777
83968 82 0.000180910437477032
84480 82.5 0.000180929805904824
84992 83 0.00018113717614888
85504 83.5 0.000181512416017551
