# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.57799309975242e-07 2.5781265425887e-07 2.57819610993853e-07
1024 1 6.08065219121731e-07 6.08077928099385e-07 6.08083813177137e-07
1536 1.5 9.27049629798766e-07 9.27062878961246e-07 9.27083898565615e-07
2048 2 9.87798644871423e-07 9.87789566115509e-07 9.87796105911625e-07
2560 2.5 1.03299619098417e-06 1.03298808266629e-06 1.03298738863908e-06
3072 3 1.02210557675096e-06 1.0221247893828e-06 1.02212987735143e-06
3584 3.5 1.15122233999418e-06 1.15126073356151e-06 1.15130434824631e-06
4096 4 1.07030226122926e-06 1.07032842264319e-06 1.07036069755721e-06
4608 4.5 1.13075953187331e-06 1.13078259220223e-06 1.13081468075317e-06
5120 5 1.14092328744867e-06 1.14090245697151e-06 1.14088505694528e-06
5632 5.5 1.15937475037431e-06 1.15934761519128e-06 1.15932975544252e-06
6144 6 1.12753504185416e-06 1.12750354535908e-06 1.1275004582638e-06
6656 6.5 1.19120292740329e-06 1.19123756393635e-06 1.19127985899607e-06
7168 7 1.1664248594008e-06 1.16646111279545e-06 1.16649924269886e-06
7680 7.5 1.15772113234758e-06 1.15774867193245e-06 1.15779253840261e-06
8192 8 1.23268863791855e-06 1.23271260793532e-06 1.23273218213291e-06
8704 8.5 1.25188252040793e-06 1.25194176853414e-06 1.25199525797133e-06
9216 9 1.24499244500425e-06 1.24500394625334e-06 1.24505818188374e-06
9728 9.5 1.31728415110757e-06 1.31724751850935e-06 1.31725281564326e-06
10240 10 1.32547712396396e-06 1.32549177945804e-06 1.32553308050068e-06
10752 10.5 1.34467837462703e-06 1.34469301998205e-06 1.34470771998822e-06
11264 11 1.34095650299258e-06 1.34096551543169e-06 1.34100700188074e-06
11776 11.5 1.33660861988082e-06 1.33660094725638e-06 1.33663585829673e-06
12288 12 1.32130917986841e-06 1.32129476055392e-06 1.32132767948795e-06
12800 12.5 1.25033571117696e-06 1.25030435338674e-06 1.25030910173487e-06
13312 13 1.25742795715467e-06 1.25741735186089e-06 1.25746763768025e-06
13824 13.5 1.28424584017164e-06 1.28426650453749e-06 1.28433516697406e-06
14336 14 1.29289078238957e-06 1.29300198578455e-06 1.29314326566943e-06
14848 14.5 1.27479894717321e-06 1.27494407132727e-06 1.27507597478594e-06
15360 15 1.25266467715794e-06 1.25270256772387e-06 1.25276168564722e-06
15872 15.5 1.28410754752413e-06 1.28415598656926e-06 1.28423421398656e-06
16384 16 1.32968717700737e-06 1.32978905622392e-06 1.32989445995856e-06
16896 16.5 1.35860032796676e-06 1.35866351890993e-06 1.35871855325981e-06
17408 17 1.37555537781338e-06 1.37562905577734e-06 1.37565732390046e-06
17920 17.5 1.37454615637385e-06 1.37457126923026e-06 1.3745796227456e-06
18432 18 1.40424938941951e-06 1.40436420812464e-06 1.40446255808528e-06
18944 18.5 1.41810157413752e-06 1.41820267713382e-06 1.41827004906403e-06
19456 19 1.35918674624928e-06 1.35928353020944e-06 1.35936277350719e-06
19968 19.5 1.42934090368306e-06 1.42927115227424e-06 1.42918878570602e-06
20480 20 1.43677610492413e-06 1.43676388125837e-06 1.43674746257863e-06
20992 20.5 1.39465651582717e-06 1.39471009664951e-06 1.39474859752937e-06
21504 21 1.37779525088302e-06 1.37779726068989e-06 1.37776336837577e-06
22016 21.5 1.40631053842088e-06 1.40615066077068e-06 1.40603780010693e-06
22528 22 1.4057284727536e-06 1.40574697846832e-06 1.4057771639279e-06
23040 22.5 1.35472311719978e-06 1.35474668147311e-06 1.35480731425347e-06
23552 23 1.3648968112951e-06 1.36478979209157e-06 1.36473885480069e-06
24064 23.5 1.40542735382707e-06 1.40538672742364e-06 1.40543815866005e-06
24576 24 1.43496162686166e-06 1.43500332240028e-06 1.43509681173083e-06
25088 24.5 1.4237504583699e-06 1.42384420546496e-06 1.42396520696356e-06
25600 25 1.43437912600408e-06 1.43459550973877e-06 1.43487216444863e-06
26112 25.5 1.41995690731582e-06 1.42012320599027e-06 1.42034049914549e-06
26624 26 1.3894736134399e-06 1.38962810919916e-06 1.38984167433688e-06
27136 26.5 1.37127532636092e-06 1.37131278727309e-06 1.37140594069784e-06
27648 27 1.28843934282861e-06 1.28852948963299e-06 1.28859856106034e-06
28160 27.5 1.25198830713859e-06 1.25218386989518e-06 1.2523566563678e-06
28672 28 1.26020136448851e-06 1.26033040241777e-06 1.26047718331618e-06
29184 28.5 1.25091849449194e-06 1.25101825632388e-06 1.25112035737587e-06
29696 29 1.25337902754135e-06 1.25350188758672e-06 1.25365142358888e-06
30208 29.5 1.26662571687479e-06 1.26667860995539e-06 1.26677274044639e-06
30720 30 1.27723867915614e-06 1.27722129147629e-06 1.27726108494652e-06
31232 30.5 1.28914083782439e-06 1.28870741235578e-06 1.28827006225619e-06
31744 31 1.29400729583334e-06 1.29341764209306e-06 1.29281993408736e-06
32256 31.5 1.30628591484119e-06 1.30615491675573e-06 1.30591110613254e-06
32768 32 1.32544216720586e-06 1.32501410332309e-06 1.32456556033271e-06
33280 32.5 1.30735680986667e-06 1.30662655022712e-06 1.30587789761891e-06
33792 33 1.30723219711514e-06 1.30646360022653e-06 1.30565192474319e-06
34304 33.5 1.32363838766493e-06 1.32251254186557e-06 1.32129852503978e-06
34816 34 1.32373106699659e-06 1.32265804128809e-06 1.32134317637519e-06
35328 34.5 1.30817503157411e-06 1.30679899822772e-06 1.30534405138814e-06
35840 35 1.30007078170773e-06 1.29864570040704e-06 1.29688718799753e-06
36352 35.5 1.31505133056887e-06 1.31338841956601e-06 1.31132212518733e-06
