# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 9.84054432916959e-07 9.84054432916961e-07 9.84054432916958e-07
1024 1 1.71103234175461e-06 1.71103234175463e-06 1.71103234175464e-06
1536 1.5 2.48189346489235e-06 2.48189346489233e-06 2.48189346489232e-06
2048 2 2.70282003571509e-06 2.70282003571504e-06 2.70282003571499e-06
2560 2.5 2.69401791454653e-06 2.69401791454656e-06 2.69401791454664e-06
3072 3 2.90250776223264e-06 2.90250776223263e-06 2.90250776223268e-06
3584 3.5 2.89279133840395e-06 2.89279133840403e-06 2.89279133840394e-06
4096 4 2.81213958304957e-06 2.81213958304971e-06 2.81213958304969e-06
4608 4.5 2.86780024492897e-06 2.86780024492847e-06 2.86780024492852e-06
5120 5 2.90585557076731e-06 2.90585557076712e-06 2.90585557076729e-06
5632 5.5 2.93903592863142e-06 2.93903592863182e-06 2.9390359286313e-06
6144 6 2.9886331829618e-06 2.98863318296147e-06 2.98863318296237e-06
6656 6.5 3.00458010964704e-06 3.00458010964721e-06 3.00458010964959e-06
7168 7 2.94271538504114e-06 2.94271538504185e-06 2.94271538504223e-06
7680 7.5 2.86877228442575e-06 2.86877228442789e-06 2.86877228442631e-06
8192 8 2.8360537425534e-06 2.83605374255222e-06 2.83605374255382e-06
8704 8.5 2.84368195855522e-06 2.84368195855245e-06 2.84368195855379e-06
9216 9 2.85248494563495e-06 2.85248494563371e-06 2.85248494563239e-06
9728 9.5 2.85019172273553e-06 2.85019172273655e-06 2.85019172273337e-06
10240 10 2.83473775798092e-06 2.83473775798023e-06 2.83473775797828e-06
10752 10.5 2.79910713858666e-06 2.79910713857925e-06 2.7991071385783e-06
11264 11 2.77270811254607e-06 2.77270811254334e-06 2.77270811254105e-06
11776 11.5 2.79830112620954e-06 2.7983011262122e-06 2.7983011262059e-06
12288 12 2.7820740089509e-06 2.78207400894209e-06 2.78207400893878e-06
12800 12.5 2.65533816182957e-06 2.65533816182675e-06 2.6553381618217e-06
13312 13 2.55873962206291e-06 2.55873962206971e-06 2.55873962206485e-06
13824 13.5 2.49777887734659e-06 2.49777887735042e-06 2.4977788773551e-06
14336 14 2.37106611024057e-06 2.37106611023468e-06 2.37106611024169e-06
14848 14.5 2.24681878207886e-06 2.24681878207854e-06 2.2468187820782e-06
15360 15 2.22715277603422e-06 2.22715277603521e-06 2.22715277602474e-06
15872 15.5 2.27533254851895e-06 2.27533254851949e-06 2.27533254851604e-06
16384 16 2.33490875826897e-06 2.33490875827133e-06 2.33490875827141e-06
16896 16.5 2.39201346304626e-06 2.3920134630645e-06 2.39201346304033e-06
17408 17 2.44936831588818e-06 2.4493683159005e-06 2.44936831587997e-06
17920 17.5 2.54362809609679e-06 2.54362809609733e-06 2.54362809610287e-06
18432 18 2.62563546969751e-06 2.62563546970242e-06 2.62563546970098e-06
18944 18.5 2.65618331478964e-06 2.65618331479825e-06 2.65618331478717e-06
19456 19 2.74015164468668e-06 2.7401516446892e-06 2.74015164469221e-06
19968 19.5 2.83119938118691e-06 2.83119938119411e-06 2.83119938119696e-06
20480 20 2.81982754975311e-06 2.8198275497593e-06 2.81982754974415e-06
20992 20.5 2.78688781683409e-06 2.78688781682846e-06 2.78688781682362e-06
21504 21 2.79479411070547e-06 2.79479411069566e-06 2.79479411071073e-06
22016 21.5 2.83903983220043e-06 2.83903983220293e-06 2.83903983219971e-06
