# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
29184 28.5 -9.39673666929161e-06 -9.39673666932294e-06 -9.39673666941051e-06
29696 29 -9.13695298510185e-06 -9.13695298505523e-06 -9.13695298517441e-06
30208 29.5 -8.87963584129789e-06 -8.87963584131268e-06 -8.87963584133734e-06
30720 30 -8.56767998815904e-06 -8.56767998808234e-06 -8.56767998804815e-06
31232 30.5 -8.2702911547634e-06 -8.27029115481237e-06 -8.27029115474429e-06
31744 31 -7.94596280976892e-06 -7.94596280980974e-06 -7.94596280981107e-06
32256 31.5 -7.66995511713533e-06 -7.66995511713697e-06 -7.66995511718339e-06
32768 32 -7.36674656537144e-06 -7.36674656538587e-06 -7.36674656540373e-06
33280 32.5 -7.06459354167579e-06 -7.06459354172271e-06 -7.064593541661e-06
33792 33 -6.91077864618055e-06 -6.91077864616273e-06 -6.9107786461558e-06
34304 33.5 -6.78070532971056e-06 -6.78070532964763e-06 -6.78070532969568e-06
34816 34 -6.58543691789234e-06 -6.58543691783199e-06 -6.58543691787123e-06
35328 34.5 -6.38619608324154e-06 -6.3861960832554e-06 -6.38619608326104e-06
35840 35 -6.11830833570852e-06 -6.11830833570991e-06 -6.11830833559111e-06
36352 35.5 -5.92137207941381e-06 -5.92137207941261e-06 -5.92137207930659e-06
36864 36 -5.69608224475392e-06 -5.69608224470673e-06 -5.69608224470185e-06
37376 36.5 -5.49938426929484e-06 -5.4993842692521e-06 -5.49938426921673e-06
37888 37 -5.17643582290025e-06 -5.17643582288219e-06 -5.17643582285892e-06
38400 37.5 -4.86918537585209e-06 -4.86918537581144e-06 -4.86918537585991e-06
38912 38 -4.80507087884077e-06 -4.80507087870173e-06 -4.80507087851374e-06
39424 38.5 -5.14032066885477e-06 -5.14032066943899e-06 -5.1403206694456e-06
39936 39 -6.81712132847101e-06 -6.81712132847915e-06 -6.81712132890328e-06
40448 39.5 -7.18971718781356e-06 -7.18971718750889e-06 -7.18971718824763e-06
40960 40 -7.965123723486e-06 -7.96512372277753e-06 -7.96512372318722e-06
41472 40.5 -9.04967960660303e-06 -9.04967960605021e-06 -9.04967960634639e-06
41984 41 -8.70904123382957e-06 -8.70904123321801e-06 -8.70904123353193e-06
42496 41.5 -8.75438208333322e-06 -8.75438208300942e-06 -8.75438208275225e-06
43008 42 -8.44396145546134e-06 -8.44396145529073e-06 -8.44396145511511e-06
43520 42.5 -7.5207294698985e-06 -7.52072946993325e-06 -7.52072946971348e-06
44032 43 -4.91094966704602e-06 -4.91094966715421e-06 -4.91094966695859e-06
44544 43.5 -3.05683677907081e-06 -3.05683677913663e-06 -3.05683677907701e-06
45056 44 -3.01417758666185e-06 -3.0141775866086e-06 -3.01417758658558e-06
