# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
7680 7.5 1235.30835665272 1231.36307589323 31.3598599433899 21.8568909168243 21.5910067558289 0 9.77237606048584 105 335817.204191201 335817.204191201 7339920 7339920 197561.492914628 197561.492914628 4318080 4318080 179.959711364944 237317.314068348 3450.76329357922 233866.550774768 1762 2318519 33911 2284608 0 0 0 0 31.1830048561096 1752354697.31226 23019
8192 8 1235.47237275188 1231.38634841218 32.8138909339905 23.3109219074249 22.9289762973785 0 9.93950963020325 112 335861.791785517 335861.791785517 7829248 7829248 197587.723827127 197587.723827127 4605952 4605952 196.258649803064 277681.103065226 3556.73278854439 274124.370276682 2022 2871814 35350 2836464 0 0 0 0 32.6256055831909 1752354698.76629 24527
8704 8.5 1231.95394505355 1231.03280417936 34.3415598869324 24.8385908603668 24.390652179718 0 9.95437097549438 119 334905.311125091 334905.311125091 8318576 8318576 197025.025594698 197025.025594698 4893824 4893824 205.408396916204 288719.188694422 3673.43372841239 285045.75496601 2048 2873219 36755 2836464 0 0 0 0 34.1415746212006 1752354700.29396 26035
9216 9 1234.29263122698 1230.92125593341 35.7528219223022 26.2498528957367 25.7397713661194 0 10.0423443317413 126 335541.080362798 335541.080362798 8807904 8807904 197399.049075874 197399.049075874 5181696 5181696 213.920821430124 288452.054026287 3794.74764326817 284657.306383019 2182 2893950 38190 2855760 0 0 0 0 35.5413239002228 1752354701.70522 27543
9728 9.5 1230.61316622766 1230.52038383726 37.2939929962158 27.7910239696503 27.2407374382019 0 10.0570476055145 133 334540.821891026 334540.821891026 9297232 9297232 196810.596326827 196810.596326827 5469568 5469568 219.232465272714 287981.239837491 3918.03428975813 284063.205547733 2208 2895350 39590 2855760 0 0 0 0 37.0708451271057 1752354703.24639 29051
10240 10 1229.91073310372 1230.38963613155 38.7733860015869 29.2704169750214 28.6032917499542 0 10.2273423671722 140 334349.866226764 334349.866226764 9786560 9786560 196698.256977796 196698.256977796 5757440 5757440 234.609428483611 326613.000608794 4015.40034827544 322597.600260519 2468 3448654 41038 3407616 0 0 0 0 38.5384697914124 1752354704.72579 30559
10752 10.5 1139.18478371226 1221.21133867433 42.6845920085907 33.1816229820251 32.4459359645844 0 10.2449598312378 147 309686.117691307 309686.117691307 10275888 10275888 182188.556698231 182188.556698231 6045312 6045312 243.195980927363 336948.715258342 4130.03423674477 332818.681021598 2494 3450109 42493 3407616 0 0 0 0 42.4371430873871 1752354708.63699 32067
11264 11 1145.30833725781 1217.93839936924 44.0788109302521 34.5758419036865 33.7680230140686 0 10.343444108963 154 311350.798918716 311350.798918716 10765216 10765216 183167.889812822 183167.889812822 6333184 6333184 250.999246714983 336077.710856713 4246.62017645373 331831.090680259 2628 3470898 43986 3426912 0 0 0 0 43.8198041915894 1752354710.03121 33575
11776 11.5 1149.6639138141 1214.98652150401 45.5134930610657 36.0105240345001 35.1586761474609 0 10.3585162162781 161 312534.857566013 312534.857566013 11254544 11254544 183864.47233194 183864.47233194 6621056 6621056 255.919541804576 335316.889614736 4368.30514507411 330948.584469662 2654 3472354 45442 3426912 0 0 0 0 45.2431149482727 1752354711.46589 35083
12288 12 1152.95203368682 1212.45648074034 46.9720039367676 37.469034910202 36.4998893737793 0 10.5246787071228 168 313428.729299948 313428.729299948 11743872 11743872 184390.337689718 184390.337689718 6908928 6908928 270.432488392475 372296.34727062 4462.3270418716 367834.020228748 2914 4025699 46931 3978768 0 0 0 0 46.6896891593933 1752354712.9244 36591
12800 12.5 1145.24186373369 1209.03719732118 48.7959790229797 39.2930099964142 38.2576622962952 0 10.544310092926 175 311332.728165045 311332.728165045 12233200 12233200 183157.25877597 183157.25877597 7196800 7196800 278.602368494545 382124.024589542 4571.50807377152 377552.516515771 2940 4027153 48385 3978768 0 0 0 0 48.5022051334381 1752354714.74838 38099
13312 13 1149.05754018981 1206.78488350677 50.231999874115 40.7290308475494 39.625821352005 0 10.6334075927734 182 312370.015569999 312370.015569999 12722528 12722528 183767.495671956 183767.495671956 7484672 7484672 286.059676788885 381123.605601524 4683.40221659008 376440.203384934 3074 4047936 49872 3998064 0 0 0 0 49.9264483451843 1752354716.1844 39607
