# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.71329956310108e-07 2.71343192771363e-07 2.71350886523001e-07
1024 1 6.36380618499789e-07 6.36395687319369e-07 6.36405412850714e-07
1536 1.5 9.66567204025725e-07 9.66573661850398e-07 9.6658661017058e-07
2048 2 1.0397683305599e-06 1.03975874269547e-06 1.03976520861487e-06
2560 2.5 1.09295677795495e-06 1.09294214604915e-06 1.09293471021324e-06
3072 3 1.09064559086803e-06 1.09069382646331e-06 1.09071974527658e-06
3584 3.5 1.22795168631888e-06 1.22799913125276e-06 1.22803239587938e-06
4096 4 1.15192619033788e-06 1.15193466688882e-06 1.15193310158223e-06
4608 4.5 1.21424217002935e-06 1.21425291130917e-06 1.21426485172526e-06
5120 5 1.22280511704978e-06 1.22279579467448e-06 1.22278752110173e-06
5632 5.5 1.24205690400951e-06 1.24206696991881e-06 1.24207886398744e-06
6144 6 1.20973723014855e-06 1.20975715780509e-06 1.20977521761295e-06
6656 6.5 1.27243813979204e-06 1.27247737326157e-06 1.27249873110833e-06
7168 7 1.24796588221923e-06 1.24799504829195e-06 1.24800482579927e-06
7680 7.5 1.23677248063725e-06 1.23676494336998e-06 1.23673339981599e-06
8192 8 1.3072377545041e-06 1.30725065900992e-06 1.30722584244301e-06
8704 8.5 1.32328993110811e-06 1.32334083302724e-06 1.32336488843736e-06
9216 9 1.32462244865308e-06 1.32466271460411e-06 1.32468586742727e-06
9728 9.5 1.3916960617026e-06 1.39173341046698e-06 1.39174170848341e-06
10240 10 1.40310449145221e-06 1.40311449825657e-06 1.40309872324299e-06
10752 10.5 1.42475021064594e-06 1.4248218588656e-06 1.42485225709218e-06
11264 11 1.4179272530173e-06 1.41796118688347e-06 1.41796372542615e-06
11776 11.5 1.41483739464881e-06 1.41483718571045e-06 1.4148096490557e-06
12288 12 1.39150297333631e-06 1.391533862146e-06 1.39153172488175e-06
12800 12.5 1.30764047730863e-06 1.30762855680261e-06 1.30757910476387e-06
13312 13 1.33165021707754e-06 1.33166667185641e-06 1.33168651406748e-06
13824 13.5 1.35296848727363e-06 1.35302028833972e-06 1.35306423433095e-06
14336 14 1.33137242594785e-06 1.33153041017417e-06 1.33167877777201e-06
14848 14.5 1.27390698714794e-06 1.27409403079973e-06 1.27424228148455e-06
15360 15 1.25130671208401e-06 1.25147541868141e-06 1.25159447576957e-06
15872 15.5 1.27641869427876e-06 1.27651652654681e-06 1.27659194576172e-06
16384 16 1.32279450079968e-06 1.32286069642724e-06 1.32287268458748e-06
16896 16.5 1.35528114134334e-06 1.35529924204286e-06 1.35528679347711e-06
17408 17 1.3831931753557e-06 1.38310132664911e-06 1.38298104084335e-06
17920 17.5 1.41566577223678e-06 1.41564429047415e-06 1.41556673294332e-06
18432 18 1.43306019488197e-06 1.43301034465527e-06 1.43292269350908e-06
18944 18.5 1.50731479992691e-06 1.50722938527692e-06 1.50710269582133e-06
19456 19 1.53104346995942e-06 1.53095771784524e-06 1.53084898658448e-06
19968 19.5 1.63938208350588e-06 1.6392937939219e-06 1.63913193238962e-06
20480 20 1.68933368996533e-06 1.68921226845135e-06 1.68902623573719e-06
20992 20.5 1.69531197559274e-06 1.69522044225464e-06 1.69506677442871e-06
21504 21 1.72601189365503e-06 1.72590601688085e-06 1.72569865580525e-06
22016 21.5 1.78731623256407e-06 1.78723497775525e-06 1.78703729657427e-06
22528 22 1.79508668964328e-06 1.79512014317749e-06 1.79501988159627e-06
23040 22.5 1.76812124651596e-06 1.76811102048971e-06 1.76802974899044e-06
23552 23 1.78367977825358e-06 1.78366647636209e-06 1.78358850075716e-06
24064 23.5 1.80354761467985e-06 1.80363013321779e-06 1.8036365874986e-06
24576 24 1.78836148162875e-06 1.78842296841482e-06 1.78835429250562e-06
25088 24.5 1.76904004270431e-06 1.76904573020935e-06 1.76899689173206e-06
25600 25 1.75147546814092e-06 1.75149409053225e-06 1.75150462735427e-06
26112 25.5 1.71713511137322e-06 1.71715610459698e-06 1.71717292965764e-06
26624 26 1.66517710220389e-06 1.6650312921796e-06 1.664805629623e-06
27136 26.5 1.6378727840433e-06 1.63772764376429e-06 1.63735792051671e-06
27648 27 1.58304670704774e-06 1.58306039255037e-06 1.58316451873806e-06
28160 27.5 1.59755875910656e-06 1.59721740145309e-06 1.59709427845227e-06
28672 28 1.64028314451257e-06 1.64044551750463e-06 1.64070226994373e-06
29184 28.5 1.66391239628565e-06 1.66408502872801e-06 1.66350887899693e-06
29696 29 1.68245500820713e-06 1.68193418429785e-06 1.68229151941414e-06
30208 29.5 1.7072603024354e-06 1.70766365045886e-06 1.70690558691661e-06
30720 30 1.72738715606457e-06 1.72807537324761e-06 1.72680457503829e-06
31232 30.5 1.75842242935823e-06 1.75817181395816e-06 1.75731904892533e-06
31744 31 1.79536122008223e-06 1.79638160009754e-06 1.79546573906395e-06
32256 31.5 1.81488205988346e-06 1.81614576302982e-06 1.81627850389194e-06
32768 32 1.83980814616235e-06 1.84133081316713e-06 1.8414997067323e-06
33280 32.5 1.85691102624845e-06 1.8583051479036e-06 1.858942369287e-06
33792 33 1.86713030190211e-06 1.86797925482633e-06 1.86826109431036e-06
34304 33.5 1.86521567159207e-06 1.86576687001687e-06 1.86585599843917e-06
34816 34 1.86479117204804e-06 1.86363011897506e-06 1.86297601719491e-06
35328 34.5 1.84869369287971e-06 1.84781438234949e-06 1.84667414866256e-06
35840 35 1.83282176544712e-06 1.8311158459309e-06 1.82973477887684e-06
36352 35.5 1.81079392830216e-06 1.80900291322667e-06 1.80699158007477e-06
36864 36 1.76657188179884e-06 1.76673595412267e-06 1.76802759859337e-06
37376 36.5 1.71377658134409e-06 1.71297918550806e-06 1.7137076234041e-06
37888 37 1.66542706506749e-06 1.66337187388708e-06 1.66367587054727e-06
