# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
38912 57 7.27045749386583e-05 7.27045749377853e-05 7.27045749392304e-05
39424 57.75 6.67217977171507e-05 6.67217977165972e-05 6.67217977163556e-05
39936 58.5 7.44899981976119e-05 7.44899981963619e-05 7.44899981980208e-05
40448 59.25 7.02954495420945e-05 7.02954495412125e-05 7.02954495426744e-05
40960 60 6.25201001772123e-05 6.25201001765409e-05 6.25201001765489e-05
41472 60.75 6.48066757629154e-05 6.4806675762294e-05 6.48066757639649e-05
41984 61.5 7.69534623008275e-05 7.6953462300953e-05 7.69534623011782e-05
42496 62.25 8.24926201090162e-05 8.24926201078405e-05 8.24926201061408e-05
43008 63 8.01144536282192e-05 8.01144536267915e-05 8.01144536261666e-05
43520 63.75 8.3383648960617e-05 8.33836489604393e-05 8.33836489585923e-05
44032 64.5 9.60739524652723e-05 9.60739524637258e-05 9.6073952463542e-05
44544 65.25 0.000101251963314745 0.000101251963313083 0.000101251963315102
45056 66 0.000101118639924998 0.000101118639924524 0.000101118639925843
45568 66.75 9.63367146792679e-05 9.63367146802485e-05 9.6336714678591e-05
46080 67.5 9.32581610548325e-05 9.3258161055907e-05 9.3258161053709e-05
46592 68.25 9.41120104396652e-05 9.41120104400142e-05 9.41120104400108e-05
47104 69 9.70921799871417e-05 9.70921799874933e-05 9.70921799884898e-05
47616 69.75 9.74528769202204e-05 9.74528769205316e-05 9.74528769205582e-05
48128 70.5 9.41617812508794e-05 9.41617812498632e-05 9.41617812500434e-05
48640 71.25 8.97059291937635e-05 8.97059291919439e-05 8.97059291935089e-05
49152 72 8.86202802946827e-05 8.86202802946503e-05 8.86202802955479e-05
49664 72.75 9.26657743287447e-05 9.2665774330984e-05 9.26657743293971e-05
50176 73.5 9.93432857870723e-05 9.93432857890228e-05 9.93432857864939e-05
50688 74.25 0.000102057974950209 0.00010205797494992 0.000102057974949035
51200 75 9.98197846807509e-05 9.98197846792691e-05 9.9819784680052e-05
51712 75.75 9.61101753463595e-05 9.6110175345389e-05 9.61101753467914e-05
52224 76.5 9.2674936024072e-05 9.2674936023959e-05 9.26749360256537e-05
52736 77.25 8.74190849882816e-05 8.7419084988804e-05 8.74190849897051e-05
53248 78 7.88604147945077e-05 7.88604147951841e-05 7.88604147940303e-05
53760 78.75 7.5148710241434e-05 7.51487102427582e-05 7.514871024336e-05
54272 79.5 7.61881231550286e-05 7.61881231553533e-05 7.6188123153702e-05
54784 80.25 8.1768909084706e-05 8.17689090847963e-05 8.17689090846929e-05
55296 81 8.78919801196934e-05 8.7891980118593e-05 8.78919801191411e-05
55808 81.75 9.28671412816097e-05 9.28671412798729e-05 9.2867141280939e-05
56320 82.5 9.75955952891205e-05 9.75955952885561e-05 9.75955952901412e-05
56832 83.25 0.000103375916694516 0.000103375916694955 0.000103375916697083
