# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:40:06+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.39.55-524101
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.39.55-524101
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
35840 35 -0.00010501650800717 -0.000105016508007111 -0.000105016508008231
36352 35.5 -8.51587533322878e-05 -8.51587533387255e-05 -8.51587533351931e-05
36864 36 -7.86106016565171e-05 -7.86106016559402e-05 -7.86106016583442e-05
37376 36.5 -7.09004337319713e-05 -7.09004337318435e-05 -7.09004337364911e-05
37888 37 -6.41105147202534e-05 -6.41105147167691e-05 -6.41105147178129e-05
38400 37.5 -5.90392362328375e-05 -5.90392362310182e-05 -5.90392362240661e-05
38912 38 -6.42922995389061e-05 -6.42922995420727e-05 -6.42922995393904e-05
39424 38.5 -5.51063724987747e-05 -5.51063725021364e-05 -5.51063724988125e-05
39936 39 -6.92465893959533e-05 -6.92465893972008e-05 -6.92465893919513e-05
40448 39.5 -5.92714502253902e-05 -5.92714502234974e-05 -5.92714502224053e-05
40960 40 -7.34628816408807e-05 -7.34628816394129e-05 -7.34628816402182e-05
41472 40.5 -8.43113534643823e-05 -8.43113534649268e-05 -8.43113534656506e-05
41984 41 -8.48661701578281e-05 -8.48661701571097e-05 -8.48661701587285e-05
42496 41.5 -0.000103479709718612 -0.000103479709719305 -0.000103479709711337
43008 42 -0.000117143319984599 -0.000117143319978355 -0.000117143319974841
43520 42.5 -9.03778022944447e-05 -9.03778022930627e-05 -9.03778022959185e-05
44032 43 -0.000100192488942827 -0.000100192488943179 -0.000100192488940446
44544 43.5 -0.000113700495991887 -0.0001137004959887 -0.000113700495990878
45056 44 -0.000128389442961089 -0.000128389442964897 -0.000128389442959239
45568 44.5 -8.77201216929602e-05 -8.77201216937374e-05 -8.77201216923399e-05
46080 45 -8.69269721730488e-05 -8.69269721705652e-05 -8.6926972176556e-05
46592 45.5 -5.74390128952674e-05 -5.74390128969216e-05 -5.74390128963708e-05
47104 46 -8.17776071535292e-05 -8.17776071474807e-05 -8.17776071542081e-05
47616 46.5 -8.78725865608348e-05 -8.78725865562419e-05 -8.78725865589289e-05
48128 47 -6.79018050441548e-05 -6.79018050462062e-05 -6.79018050422771e-05
48640 47.5 -7.55755682339645e-05 -7.55755682388213e-05 -7.5575568235192e-05
49152 48 -9.6943543489661e-05 -9.69435434920915e-05 -9.69435434989083e-05
49664 48.5 -7.40291655686146e-05 -7.40291655654182e-05 -7.40291655709356e-05
50176 49 -6.77814259653621e-05 -6.77814259682467e-05 -6.77814259687369e-05
50688 49.5 -5.33160533138993e-05 -5.33160533104648e-05 -5.33160533134923e-05
51200 50 -6.99266148452545e-05 -6.99266148458529e-05 -6.99266148484615e-05
51712 50.5 -7.01459731816849e-05 -7.01459731796715e-05 -7.01459731810858e-05
52224 51 -6.25345894771631e-05 -6.2534589478326e-05 -6.25345894760696e-05
52736 51.5 -6.89200843275479e-05 -6.89200843236406e-05 -6.89200843276365e-05
53248 52 -7.50180039638337e-05 -7.50180039569903e-05 -7.50180039616131e-05
53760 52.5 -6.88649373241731e-05 -6.88649373242732e-05 -6.88649373259502e-05
54272 53 -6.68294991047057e-05 -6.6829499104672e-05 -6.68294991063083e-05
54784 53.5 -5.6582872283165e-05 -5.65828722826336e-05 -5.65828722834439e-05
55296 54 -5.06995004912034e-05 -5.06995004865452e-05 -5.06995004919558e-05
55808 54.5 -5.99586066685613e-05 -5.99586066672266e-05 -5.99586066678762e-05
56320 55 -5.74571629101818e-05 -5.74571629195527e-05 -5.74571629198903e-05
56832 55.5 -4.87336047744108e-05 -4.87336047756604e-05 -4.87336047755187e-05
57344 56 -5.41643259583497e-05 -5.41643259586862e-05 -5.41643259596986e-05
57856 56.5 -5.52399765547636e-05 -5.52399765560509e-05 -5.52399765541419e-05
58368 57 -5.72079743123809e-05 -5.72079743141096e-05 -5.72079743129646e-05
58880 57.5 -5.36459549529061e-05 -5.36459549515071e-05 -5.36459549523002e-05
59392 58 -4.62544368649672e-05 -4.62544368624534e-05 -4.62544368638886e-05
59904 58.5 -4.15960926032084e-05 -4.15960926036271e-05 -4.15960926033193e-05
60416 59 -4.27532890787951e-05 -4.27532890797109e-05 -4.27532890782727e-05
60928 59.5 -4.09396094776284e-05 -4.09396094794777e-05 -4.09396094783835e-05
61440 60 -4.07934822254944e-05 -4.07934822259365e-05 -4.07934822257749e-05
61952 60.5 -4.10582690432095e-05 -4.1058269044836e-05 -4.10582690445581e-05
62464 61 -3.92560246038468e-05 -3.92560246053905e-05 -3.92560246057334e-05
62976 61.5 -3.73182827887076e-05 -3.73182827901412e-05 -3.73182827896513e-05
63488 62 -4.11394576187341e-05 -4.11394576145938e-05 -4.11394576153529e-05
64000 62.5 -3.8048766947079e-05 -3.80487669476561e-05 -3.80487669439e-05
64512 63 -3.89849649770295e-05 -3.89849649748612e-05 -3.89849649732702e-05
65024 63.5 -4.01405642003229e-05 -4.0140564198836e-05 -4.01405641973595e-05
65536 64 -3.94283118138996e-05 -3.94283118116699e-05 -3.94283118153594e-05
66048 64.5 -4.14750817075562e-05 -4.14750817080486e-05 -4.14750817103165e-05
66560 65 -4.40474595170823e-05 -4.40474595201236e-05 -4.40474595199142e-05
67072 65.5 -4.35998294920873e-05 -4.35998294948981e-05 -4.35998294938268e-05
67584 66 -3.83564427660507e-05 -3.83564427665696e-05 -3.83564427651316e-05
68096 66.5 -3.47949238666643e-05 -3.47949238630368e-05 -3.47949238628634e-05
68608 67 -3.80138090389912e-05 -3.80138090368881e-05 -3.80138090370407e-05
69120 67.5 -3.41306077913353e-05 -3.41306077897693e-05 -3.41306077902095e-05
69632 68 -4.0719423670678e-05 -4.07194236705051e-05 -4.07194236712662e-05
70144 68.5 -4.41852120953171e-05 -4.41852120970273e-05 -4.41852120969986e-05
70656 69 -4.39423414463477e-05 -4.39423414484089e-05 -4.3942341447167e-05
71168 69.5 -4.32395791198332e-05 -4.32395791191235e-05 -4.32395791177711e-05
71680 70 -4.40789448250393e-05 -4.40789448220798e-05 -4.40789448215348e-05
72192 70.5 -4.51613222167958e-05 -4.51613222151245e-05 -4.51613222157669e-05
72704 71 -4.45989604465338e-05 -4.45989604477957e-05 -4.45989604494974e-05
73216 71.5 -4.26672555629599e-05 -4.26672555651242e-05 -4.26672555664972e-05
73728 72 -4.11178674392474e-05 -4.11178674410705e-05 -4.11178674406191e-05
74240 72.5 -4.08488565585533e-05 -4.08488565599031e-05 -4.08488565569631e-05
74752 73 -4.1246989364136e-05 -4.12469893642532e-05 -4.12469893606903e-05
75264 73.5 -4.15568714952975e-05 -4.15568714934078e-05 -4.15568714914807e-05
75776 74 -4.20070540434312e-05 -4.20070540405952e-05 -4.20070540410693e-05
76288 74.5 -4.31260384230905e-05 -4.31260384210046e-05 -4.31260384236075e-05
76800 75 -4.43610590835197e-05 -4.43610590834576e-05 -4.43610590865486e-05
77312 75.5 -4.43072776541728e-05 -4.43072776552099e-05 -4.43072776574068e-05
77824 76 -4.26528410519832e-05 -4.26528410527888e-05 -4.26528410528799e-05
