# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:53:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.121599999282678
512 0.6 0.121196313516055
1024 1.2 0.120823440865373
1536 1.8 0.120487080525136
2048 2.4 0.120191844385483
2560 3 0.119934322404558
3072 3.6 0.119715824279356
3584 4.2 0.11954252605919
4096 4.8 0.119419345788873
4608 5.4 0.119383169899711
5120 6 0.119452705721238
5632 6.6 0.119606081768943
6144 7.2 0.119813358660292
6656 7.8 0.120067678913958
7168 8.4 0.12036193959095
7680 9 0.120688638709668
8192 9.6 0.121041309810703
8704 10.2 0.121415150233342
9216 10.8 0.121805932249747
9728 11.4 0.122208279925816
10240 12 0.122615443822405
10752 12.6 0.123021067447449
11264 13.2 0.123421084588375
11776 13.8 0.123811286163836
12288 14.4 0.124173697051755
12800 15 0.124504968990035
13312 15.6 0.124804387477216
13824 16.2 0.12507087744155
14336 16.8 0.125311088646658
14848 17.4 0.125532955812403
15360 18 0.125744249502988
15872 18.6 0.125952027551039
16384 19.2 0.126162322397964
16896 19.8 0.126380133069662
17408 20.4 0.12660993371444
17920 21 0.126856057010686
18432 21.6 0.127120641712304
18944 22.2 0.127401318872228
19456 22.8 0.127696376970864
19968 23.4 0.128002183709508
20480 24 0.128315353019687
20992 24.6 0.128634088968935
21504 25.2 0.12895716610833
22016 25.8 0.129281357070336
22528 26.4 0.129601683644476
23040 27 0.129912724237491
23552 27.6 0.13021029655129
24064 28.2 0.130491312134594
24576 28.8 0.130753432635139
25088 29.4 0.130995077641077
25600 30 0.131215484161536
26112 30.6 0.131414841851338
26624 31.2 0.131594812138963
27136 31.8 0.131758585349481
27648 32.4 0.131910292864367
28160 33 0.132053722953884
28672 33.6 0.132191379701384
29184 34.2 0.132324741238827
29696 34.8 0.132454404349749
30208 35.4 0.132579127174371
30720 36 0.132701605373599
31232 36.6 0.132825210756573
31744 37.2 0.132952091664175
32256 37.8 0.133082667489416
32768 38.4 0.133216719194861
33280 39 0.133354918714404
33792 39.6 0.133499142246133
34304 40.2 0.133651225687841
34816 40.8 0.133811572361868
35328 41.4 0.133979179483585
35840 42 0.134152981018559
36352 42.6 0.13433290200112
36864 43.2 0.134519486072997
37376 43.8 0.134712747496035
37888 44.4 0.134911741057892
38400 45 0.135115263452265
38912 45.6 0.135322675214989
39424 46.2 0.135533828539115
39936 46.8 0.135748382227504
40448 47.4 0.13596551415565
40960 48 0.136184351148798
41472 48.6 0.136404465411156
41984 49.2 0.136625795462189
42496 49.8 0.136848137570984
43008 50.4 0.137070870272087
43520 51 0.137293255835022
44032 51.6 0.137514934064703
44544 52.2 0.137735932548121
45056 52.8 0.137956085591558
45568 53.4 0.138174578168037
46080 54 0.138390294532648
46592 54.6 0.138602568680335
47104 55.2 0.138811325196078
47616 55.8 0.139016415009036
48128 56.4 0.139217109572701
48640 57 0.139412485269003
49152 57.6 0.139602132205312
49664 58.2 0.139786155493099
50176 58.8 0.139964535122064
50688 59.4 0.140136867892725
51200 60 0.140302851221837
51712 60.6 0.140462649527578
52224 61.2 0.140616468512801
52736 61.8 0.140763995970449
53248 62.4 0.140904698426723
53760 63 0.141038647849968
54272 63.6 0.141166606010039
54784 64.2 0.141289091372455
55296 64.8 0.141405685432132
55808 65.4 0.141515570561493
56320 66 0.141618572322641
56832 66.6 0.141715316189038
57344 67.2 0.141806393825836
57856 67.8 0.141891727317523
58368 68.4 0.14197085298447
58880 69 0.142043524403684
59392 69.6 0.142109807981368
59904 70.2 0.142169743406482
60416 70.8 0.142223201476156
60928 71.4 0.142270088671672
61440 72 0.142310445397594
61952 72.6 0.142344218898699
62464 73.2 0.142371034535807
62976 73.8 0.142390295224221
63488 74.4 0.142401502828177
64000 75 0.142404507871471
64512 75.6 0.142399489685482
65024 76.2 0.142386636838261
65536 76.8 0.142365780267235
66048 77.4 0.142336388597487
66560 78 0.142298062605697
67072 78.6 0.142251052311048
67584 79.2 0.142196141507157
68096 79.8 0.142133943997111
68608 80.4 0.142064433749868
69120 81 0.14198728634953
69632 81.6 0.141902584919209
70144 82.2 0.141811005172167
70656 82.8 0.141713307310078
71168 83.4 0.141609821784309
71680 84 0.141500518902099
72192 84.6 0.141385463666292
72704 85.2 0.141265061668035
73216 85.8 0.141139879036948
73728 86.4 0.141010336096566
74240 87 0.140876628812834
74752 87.6 0.140738904906159
75264 88.2 0.140597457155393
75776 88.8 0.140452726114028
76288 89.4 0.140305132461459
76800 90 0.140154945199255
77312 90.6 0.140002342064784
77824 91.2 0.139847580390662
78336 91.8 0.139691057336316
78848 92.4 0.13953318329469
79360 93 0.139374238578332
79872 93.6 0.139214404150427
80384 94.2 0.139053919397408
80896 94.8 0.138893142071199
81408 95.4 0.138732419378605
81920 96 0.138571951254609
82432 96.6 0.138411847931257
82944 97.2 0.138252307292475
83456 97.8 0.138093656430297
83968 98.4 0.137936186321659
84480 99 0.137780002525111
84992 99.6 0.13762510270349
85504 100.2 0.137471594034333
86016 100.8 0.137319771503367
86528 101.4 0.137169937890082
87040 102 0.137022171091859
87552 102.6 0.136876337089494
88064 103.2 0.136732367309291
88576 103.8 0.136590477784552
89088 104.4 0.136451048741887
89600 105 0.136314301460713
90112 105.6 0.136180181321779
90624 106.2 0.13604859614428
91136 106.8 0.135919691927322
91648 107.4 0.135793809355696
92160 108 0.135671196331246
92672 108.6 0.135551848013089
93184 109.2 0.135435627319869
93696 109.8 0.135322448823564
94208 110.4 0.135212298967335
94720 111 0.135105140688981
95232 111.6 0.135000866460879
95744 112.2 0.134899319134739
96256 112.8 0.134800298921848
96768 113.4 0.134703559855942
97280 114 0.13460885937005
97792 114.6 0.134516028907929
98304 115.2 0.134424965161345
98816 115.8 0.134335545846115
99328 116.4 0.134247587873025
99840 117 0.134160903766532
100352 117.6 0.134075378646035
100864 118.2 0.133990984572397
101376 118.8 0.133907743781371
101888 119.4 0.133825692301361
102400 120 0.133744863545936
102912 120.6 0.13366529035413
103424 121.2 0.133587023940207
103936 121.8 0.133510154690786
104448 122.4 0.133434815033302
104960 123 0.133361169512187
105472 123.6 0.133289404070832
105984 124.2 0.133219700078002
106496 124.8 0.133152188518508
107008 125.4 0.13308693699403
107520 126 0.133024016198123
108032 126.6 0.132963583422884
108544 127.2 0.132905861371477
109056 127.8 0.132851008486877
109568 128.4 0.132799036960843
110080 129 0.132749895105177
110592 129.6 0.132703617142532
111104 130.2 0.132660346438537
111616 130.8 0.132620205133691
112128 131.4 0.132583187589265
112640 132 0.132549211795737
113152 132.6 0.132518241990765
113664 133.2 0.132490315225891
114176 133.8 0.132465459707725
114688 134.4 0.132443636456315
115200 135 0.132424772372627
115712 135.6 0.132408812644428
116224 136.2 0.132395717044042
116736 136.8 0.132385427705581
117248 137.4 0.13237786780945
117760 138 0.132372964635285
118272 138.6 0.132370654057494
118784 139.2 0.132370862851857
119296 139.8 0.132373500511333
119808 140.4 0.13237847242152
120320 141 0.132385699459233
120832 141.6 0.132395128177325
121344 142.2 0.132406719414568
121856 142.8 0.132420413973178
122368 143.4 0.132436110583813
122880 144 0.132453702454159
123392 144.6 0.132473146844011
123904 145.2 0.132494469623723
124416 145.8 0.132517673249692
124928 146.4 0.132542662808693
125440 147 0.1325693069917
125952 147.6 0.132597567218978
126464 148.2 0.132627513556286
126976 148.8 0.132659190752332
127488 149.4 0.132692513529082
128000 150 0.132727341751017
128512 150.6 0.132763637750594
129024 151.2 0.132801487450023
129536 151.8 0.132840951428498
130048 152.4 0.132881950315281
130560 153 0.13292434697976
131072 153.6 0.132968115553122
131584 154.2 0.133013361681214
132096 154.8 0.133060159625385
132608 155.4 0.133108430593504
133120 156 0.133158036740281
133632 156.6 0.133208963026321
134144 157.2 0.133261329476851
134656 157.8 0.133315214964424
135168 158.4 0.133370543974483
135680 159 0.133427193211195
136192 159.6 0.133485152844611
136704 160.2 0.133544507698929
137216 160.8 0.133605282594622
137728 161.4 0.133667389636437
138240 162 0.133730738524298
138752 162.6 0.133795322124333
139264 163.2 0.133861154480959
139776 163.8 0.133928182349219
140288 164.4 0.133996314155952
140800 165 0.134065504005059
141312 165.6 0.134135748337397
141824 166.2 0.134207009410379
142336 166.8 0.134279192550561
142848 167.4 0.134352203894945
143360 168 0.134425995074767
143872 168.6 0.134500544786665
144384 169.2 0.134575822699142
