# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:53:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
7680 9 1957.48121435715 2326.26094640797 25.417769908905 16.551882982254 16.0016968250275 0 9.41871190071106 45 142272.634631647 142272.634631647 2354880 2354880 61624.4086001324 61624.4086001324 1020000 1020000 138.274202887116 146907.7382554 3602.13856645561 143305.599688944 1306 1383486 34110 1349376 0 0 0 0 25.2564580440521 1752346435.15103 9851
8192 9.6 2021.57540917737 2316.21832366928 25.961464881897 17.095577955246 16.4619727134705 0 9.55852937698364 48 146931.095665543 146931.095665543 2511872 2511872 63642.1888074357 63642.1888074357 1088000 1088000 148.007911904294 155303.775595866 3716.72499687404 151587.050598992 1488 1710131 35507 1674624 0 0 0 0 25.7907867431641 1752346435.69472 10490
8704 10.2 2064.26461622204 2306.00078067106 26.6543040275574 17.7884171009064 17.0888974666595 0 9.5674934387207 51 150033.810476819 150033.810476819 2668864 2668864 64986.1082884715 64986.1082884715 1156000 1156000 157.860514384479 178913.043486922 3842.1785593764 175070.864927545 1514 1711581 36957 1674624 0 0 0 0 26.4740695953369 1752346436.38756 11129
9216 10.8 1936.73203245301 2268.03419430454 28.9409408569336 20.0750539302826 19.3322432041168 0 9.65202665328979 54 140764.553351325 140764.553351325 2825856 2825856 60971.1936142614 60971.1936142614 1224000 1224000 163.601775890947 178739.72749018 3978.06252013713 174761.664970043 1612 1725149 38429 1686720 0 0 0 0 28.7477023601532 1752346438.6742 11768
9728 11.4 1724.58952222782 2186.47974983381 32.6628539562225 23.7969670295715 23.0004987716675 0 9.66436123847961 57 125345.721422958 125345.721422958 2982848 2982848 54292.6331071722 54292.6331071722 1292000 1292000 169.109908380505 178674.346680985 4108.21163596336 174566.135045021 1638 1726619 39899 1686720 0 0 0 0 32.4601373672485 1752346442.39611 12407
10240 12 1761.69466856786 2173.70709403556 33.387729883194 24.521842956543 23.6563408374786 0 9.80267572402954 60 128042.578429539 128042.578429539 3139840 3139840 55460.7580845436 55460.7580845436 1360000 1360000 178.597319646287 186870.85589294 4230.53685415305 182640.319038786 1820 2053337 41369 2011968 0 0 0 0 33.1726861000061 1752346443.12099 13046
10752 12.6 1764.82960521853 2155.15803791209 34.5680849552155 25.7021980285645 24.7576498985291 0 9.81500434875488 63 128270.430269661 128270.430269661 3296832 3296832 55559.4505346576 55559.4505346576 1428000 1428000 187.759257296603 209428.02109471 4343.53825837289 205084.482836337 1846 2054789 42821 2011968 0 0 0 0 34.340877532959 1752346444.30134 13685
11264 13.2 1788.12273607442 2142.83540403462 35.4412438869476 26.5753569602966 25.5853271484375 0 9.88890719413757 66 129963.409528609 129963.409528609 3453824 3453824 56292.7528023429 56292.7528023429 1496000 1496000 193.183450156441 209080.905883495 4475.28131276275 204605.624570732 1944 2068380 44316 2024064 0 0 0 0 35.2054703235626 1752346445.1745 14324
11776 13.8 1674.98449731371 2098.08676920184 38.5258629322052 29.6599760055542 28.6280472278595 0 9.89986491203308 69 121740.354723275 121740.354723275 3610816 3610816 52730.9934339502 52730.9934339502 1564000 1564000 198.62968342973 209103.711548327 4607.68328712934 204496.028261197 1970 2069878 45814 2024064 0 0 0 0 38.279171705246 1752346448.25912 14963
12288 14.4 1575.36580488528 2048.67953613533 41.7725298404694 32.9066429138184 31.7948195934296 0 10.0574913024902 72 114499.920574329 114499.920574329 3767808 3767808 49594.8494130552 49594.8494130552 1632000 1632000 207.462428628265 216662.034322089 4720.82259694549 211941.211725144 2152 2396624 47312 2349312 0 0 0 0 41.5141994953156 1752346451.50579 15602
