# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:53:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.6 -0.00497024564188487 -0.00497024564188487 -0.00497024564188487
1024 1.2 -0.00980619398241874 -0.00980619398241874 -0.00980619398241874
1536 1.8 -0.0144554550811033 -0.0144554550811033 -0.0144554550811033
2048 2.4 -0.0191477559686205 -0.0191477559686205 -0.0191477559686205
2560 3 -0.0239575616029786 -0.0239575616029786 -0.0239575616029786
3072 3.6 -0.0287372823545788 -0.0287372823545788 -0.0287372823545787
3584 4.2 -0.0334551569736517 -0.0334551569736517 -0.0334551569736515
4096 4.8 -0.0380887549020894 -0.0380887549020894 -0.0380887549020893
4608 5.4 -0.0426141721555245 -0.0426141721555245 -0.0426141721555245
5120 6 -0.0470120526107179 -0.0470120526107178 -0.0470120526107177
5632 6.6 -0.0512705656072586 -0.0512705656072584 -0.0512705656072582
6144 7.2 -0.0553849884467044 -0.0553849884467042 -0.0553849884467043
6656 7.8 -0.0593518500251206 -0.0593518500251206 -0.0593518500251206
7168 8.4 -0.0636642330238287 -0.0636642330238288 -0.0636642330238283
7680 9 -0.0680323054574719 -0.0680323054574722 -0.0680323054574718
8192 9.6 -0.0722939933661437 -0.0722939933661441 -0.0722939933661436
8704 10.2 -0.0764424082009532 -0.0764424082009537 -0.0764424082009532
9216 10.8 -0.080472387348645 -0.080472387348645 -0.0804723873486451
9728 11.4 -0.0843863004850927 -0.0843863004850925 -0.0843863004850925
10240 12 -0.0881905963337793 -0.0881905963337793 -0.0881905963337789
10752 12.6 -0.091541017636063 -0.0915410176360628 -0.0915410176360629
11264 13.2 -0.0945003335967844 -0.0945003335967843 -0.0945003335967847
11776 13.8 -0.097303633368168 -0.0973036333681681 -0.0973036333681683
12288 14.4 -0.099953300104174 -0.099953300104174 -0.099953300104174
12800 15 -0.104283352784192 -0.104283352784192 -0.104283352784192
13312 15.6 -0.108673323018825 -0.108673323018826 -0.108673323018826
13824 16.2 -0.112980383954786 -0.112980383954785 -0.112980383954785
14336 16.8 -0.117199907939812 -0.117199907939812 -0.117199907939811
14848 17.4 -0.121323189138485 -0.121323189138485 -0.121323189138484
15360 18 -0.125349522814901 -0.125349522814901 -0.125349522814901
15872 18.6 -0.129280145779289 -0.129280145779289 -0.129280145779289
16384 19.2 -0.133117664016725 -0.133117664016725 -0.133117664016725
16896 19.8 -0.137041364068474 -0.137041364068474 -0.137041364068474
17408 20.4 -0.140907245247164 -0.140907245247164 -0.140907245247165
17920 21 -0.144685471640411 -0.144685471640411 -0.144685471640411
18432 21.6 -0.148381153421813 -0.148381153421814 -0.148381153421814
18944 22.2 -0.151997927325334 -0.151997927325335 -0.151997927325334
19456 22.8 -0.155537916010702 -0.155537916010701 -0.155537916010701
19968 23.4 -0.159004142705966 -0.159004142705966 -0.159004142705966
20480 24 -0.162400016430448 -0.162400016430448 -0.162400016430448
20992 24.6 -0.165727761877973 -0.165727761877973 -0.165727761877973
21504 25.2 -0.168989181200683 -0.168989181200683 -0.168989181200683
22016 25.8 -0.172186280692189 -0.17218628069219 -0.172186280692189
22528 26.4 -0.175319180558162 -0.175319180558163 -0.175319180558163
23040 27 -0.178385541078823 -0.178385541078823 -0.178385541078823
23552 27.6 -0.181381974839461 -0.181381974839461 -0.181381974839462
24064 28.2 -0.184308268598076 -0.184308268598075 -0.184308268598076
24576 28.8 -0.187164701171937 -0.187164701171937 -0.187164701171937
25088 29.4 -0.189948897410614 -0.189948897410614 -0.189948897410614
25600 30 -0.1926554416839 -0.1926554416839 -0.192655441683902
26112 30.6 -0.195278852457369 -0.195278852457369 -0.19527885245737
26624 31.2 -0.19781648476941 -0.19781648476941 -0.197816484769411
27136 31.8 -0.200266064456055 -0.200266064456055 -0.200266064456054
27648 32.4 -0.202626520633983 -0.202626520633983 -0.202626520633983
28160 33 -0.204899991861239 -0.204899991861238 -0.204899991861238
28672 33.6 -0.207087435126981 -0.20708743512698 -0.207087435126982
29184 34.2 -0.209196583217582 -0.209196583217581 -0.209196583217582
29696 34.8 -0.21215725320245 -0.212157253202449 -0.212157253202451
30208 35.4 -0.21542170567027 -0.21542170567027 -0.215421705670272
30720 36 -0.218613649882204 -0.218613649882203 -0.218613649882205
31232 36.6 -0.221727253157847 -0.221727253157845 -0.221727253157848
31744 37.2 -0.224766358168142 -0.224766358168141 -0.224766358168144
32256 37.8 -0.227738737005939 -0.227738737005938 -0.227738737005941
32768 38.4 -0.230646066705984 -0.230646066705983 -0.230646066705985
33280 39 -0.233499662486068 -0.233499662486065 -0.23349966248607
33792 39.6 -0.237083143092757 -0.237083143092755 -0.237083143092758
34304 40.2 -0.240599620803583 -0.240599620803582 -0.240599620803584
34816 40.8 -0.244053761282972 -0.244053761282972 -0.244053761282973
35328 41.4 -0.247449254979918 -0.247449254979916 -0.247449254979918
35840 42 -0.25078361817844 -0.250783618178438 -0.250783618178439
36352 42.6 -0.254051670411553 -0.254051670411552 -0.254051670411553
36864 43.2 -0.257254423865081 -0.257254423865081 -0.257254423865082
37376 43.8 -0.26039822338778 -0.260398223387779 -0.260398223387781
37888 44.4 -0.263484695434256 -0.263484695434254 -0.263484695434256
38400 45 -0.266508299282635 -0.266508299282633 -0.266508299282636
38912 45.6 -0.269460725194588 -0.269460725194589 -0.26946072519459
39424 46.2 -0.272338927344155 -0.272338927344156 -0.272338927344157
39936 46.8 -0.2751466529032 -0.275146652903199 -0.2751466529032
40448 47.4 -0.277888433847125 -0.277888433847123 -0.277888433847124
40960 48 -0.28056307842757 -0.28056307842757 -0.280563078427571
41472 48.6 -0.283164125979268 -0.283164125979268 -0.283164125979269
41984 49.2 -0.285686367836065 -0.285686367836066 -0.285686367836066
42496 49.8 -0.288129662901835 -0.288129662901834 -0.288129662901836
43008 50.4 -0.290494826573835 -0.290494826573833 -0.290494826573834
43520 51 -0.292780017063975 -0.292780017063973 -0.292780017063974
44032 51.6 -0.294980913034524 -0.294980913034523 -0.294980913034523
44544 52.2 -0.297093401648 -0.297093401648 -0.297093401648001
45056 52.8 -0.299114803308165 -0.299114803308165 -0.299114803308164
45568 53.4 -0.301043305190622 -0.301043305190623 -0.301043305190621
46080 54 -0.302879013575839 -0.302879013575839 -0.302879013575838
46592 54.6 -0.304637933700505 -0.304637933700506 -0.304637933700506
47104 55.2 -0.306337995989601 -0.306337995989602 -0.306337995989603
47616 55.8 -0.307982365017617 -0.307982365017614 -0.307982365017616
48128 56.4 -0.309569066960787 -0.309569066960783 -0.309569066960785
48640 57 -0.311094369112585 -0.311094369112585 -0.311094369112586
49152 57.6 -0.312557641123645 -0.312557641123646 -0.312557641123646
49664 58.2 -0.313962533581845 -0.313962533581845 -0.313962533581844
50176 58.8 -0.315313320477523 -0.315313320477521 -0.315313320477521
50688 59.4 -0.316607491474166 -0.316607491474165 -0.316607491474165
51200 60 -0.317839698531354 -0.317839698531352 -0.317839698531353
51712 60.6 -0.318999378366675 -0.318999378366674 -0.318999378366675
52224 61.2 -0.320074899780082 -0.320074899780083 -0.320074899780083
52736 61.8 -0.321064398548585 -0.321064398548585 -0.321064398548586
53248 62.4 -0.321972133352739 -0.321972133352737 -0.321972133352738
53760 63 -0.322811418697972 -0.32281141869797 -0.32281141869797
54272 63.6 -0.323595645481109 -0.323595645481109 -0.323595645481108
54784 64.2 -0.324332653877141 -0.32433265387714 -0.324332653877139
55296 64.8 -0.324983033612618 -0.324983033612616 -0.324983033612618
55808 65.4 -0.325552010871194 -0.325552010871193 -0.325552010871196
56320 66 -0.326057154747488 -0.326057154747487 -0.326057154747489
56832 66.6 -0.326515194674563 -0.326515194674562 -0.32651519467456
57344 67.2 -0.326944469080467 -0.326944469080467 -0.326944469080464
57856 67.8 -0.327356766730515 -0.327356766730517 -0.327356766730517
58368 68.4 -0.327784321267802 -0.327784321267804 -0.327784321267805
58880 69 -0.328476390378398 -0.328476390378398 -0.328476390378399
59392 69.6 -0.329156077144496 -0.329156077144495 -0.329156077144495
59904 70.2 -0.329826498065445 -0.329826498065443 -0.329826498065443
60416 70.8 -0.330488698188321 -0.330488698188318 -0.330488698188318
60928 71.4 -0.331142070568926 -0.331142070568925 -0.331142070568925
61440 72 -0.33178595728949 -0.331785957289492 -0.33178595728949
61952 72.6 -0.332418955279775 -0.332418955279776 -0.332418955279775
62464 73.2 -0.333039912784384 -0.333039912784385 -0.333039912784385
62976 73.8 -0.333646467107513 -0.333646467107513 -0.333646467107512
63488 74.4 -0.3342277928717 -0.3342277928717 -0.334227792871698
64000 75 -0.334764232398458 -0.334764232398458 -0.334764232398456
64512 75.6 -0.335253937227393 -0.335253937227393 -0.335253937227391
65024 76.2 -0.33569748445635 -0.33569748445635 -0.335697484456348
65536 76.8 -0.33609384963415 -0.336093849634149 -0.33609384963415
66048 77.4 -0.33643679988818 -0.336436799888179 -0.336436799888182
66560 78 -0.336719225216937 -0.336719225216936 -0.336719225216938
67072 78.6 -0.336937259981143 -0.336937259981141 -0.336937259981141
67584 79.2 -0.337089523276839 -0.337089523276838 -0.337089523276837
68096 79.8 -0.337174648030183 -0.337174648030183 -0.337174648030184
68608 80.4 -0.337191035512798 -0.337191035512799 -0.337191035512802
69120 81 -0.337136614265875 -0.337136614265876 -0.337136614265878
69632 81.6 -0.337009314150172 -0.337009314150174 -0.337009314150173
70144 82.2 -0.336807149133069 -0.336807149133071 -0.33680714913307
70656 82.8 -0.336527685252113 -0.336527685252113 -0.336527685252114
71168 83.4 -0.336169000414275 -0.336169000414274 -0.336169000414275
71680 84 -0.335718990479124 -0.335718990479123 -0.335718990479126
72192 84.6 -0.335149884641256 -0.335149884641256 -0.335149884641259
72704 85.2 -0.334464502547409 -0.334464502547409 -0.334464502547413
73216 85.8 -0.333667811627927 -0.333667811627929 -0.333667811627932
73728 86.4 -0.332766577863445 -0.332766577863446 -0.332766577863449
74240 87 -0.331772577430502 -0.331772577430501 -0.331772577430505
74752 87.6 -0.330701574788264 -0.330701574788263 -0.330701574788269
75264 88.2 -0.329569146012796 -0.329569146012797 -0.329569146012803
75776 88.8 -0.328390612606947 -0.328390612606949 -0.328390612606954
76288 89.4 -0.327180863834758 -0.32718086383476 -0.327180863834766
76800 90 -0.325956293087026 -0.325956293087027 -0.325956293087034
77312 90.6 -0.324786407066787 -0.324786407066786 -0.324786407066795
77824 91.2 -0.323690549199541 -0.323690549199541 -0.323690549199549
