# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
22016 25.8 -2.02631897342628e-05 -2.0263189734133e-05 -2.0263189734124e-05
22528 26.4 -1.92515848846083e-05 -1.92515848845229e-05 -1.92515848846088e-05
23040 27 -1.82803573066001e-05 -1.82803573065996e-05 -1.82803573066169e-05
23552 27.6 -1.74989700298262e-05 -1.74989700298152e-05 -1.74989700297517e-05
24064 28.2 -1.68980764432268e-05 -1.68980764432533e-05 -1.68980764432482e-05
24576 28.8 -1.63500299787594e-05 -1.63500299786407e-05 -1.63500299786204e-05
25088 29.4 -1.57775082130899e-05 -1.57775082131057e-05 -1.57775082130573e-05
25600 30 -1.50644916828906e-05 -1.50644916829019e-05 -1.50644916828355e-05
26112 30.6 -1.44574858441983e-05 -1.44574858442114e-05 -1.44574858442172e-05
26624 31.2 -1.37412194687969e-05 -1.37412194687551e-05 -1.37412194687126e-05
27136 31.8 -1.30544623958486e-05 -1.30544623960251e-05 -1.30544623958816e-05
27648 32.4 -1.26186953712491e-05 -1.26186953714205e-05 -1.26186953713461e-05
28160 33 -1.23495017120425e-05 -1.23495017122156e-05 -1.23495017120439e-05
28672 33.6 -1.19743616647926e-05 -1.19743616649594e-05 -1.19743616648423e-05
29184 34.2 -1.15507328835403e-05 -1.15507328837288e-05 -1.15507328836517e-05
29696 34.8 -1.09506434896311e-05 -1.09506434898058e-05 -1.09506434897573e-05
30208 35.4 -1.05303396433734e-05 -1.05303396435146e-05 -1.05303396434583e-05
30720 36 -1.0080239870503e-05 -1.00802398705311e-05 -1.00802398705152e-05
31232 36.6 -9.62462409800181e-06 -9.62462409804285e-06 -9.62462409802998e-06
31744 37.2 -8.75534370533075e-06 -8.75534370539975e-06 -8.75534370537658e-06
32256 37.8 -7.74096681956291e-06 -7.74096681964308e-06 -7.74096681959869e-06
32768 38.4 -6.74336980528396e-06 -6.74336980536245e-06 -6.74336980532369e-06
33280 39 -5.73726355800303e-06 -5.73726355809696e-06 -5.73726355806728e-06
33792 39.6 -4.74428977139342e-06 -4.74428977148157e-06 -4.7442897714314e-06
34304 40.2 -3.84395669023386e-06 -3.8439566902724e-06 -3.84395669020257e-06
34816 40.8 -3.05316066312104e-06 -3.05316066311383e-06 -3.05316066305975e-06
35328 41.4 -2.63803394733023e-06 -2.63803394717786e-06 -2.63803394735282e-06
35840 42 -3.24724384799876e-06 -3.24724384802884e-06 -3.24724384809761e-06
36352 42.6 -2.37049250389271e-06 -2.37049250407121e-06 -2.37049250402472e-06
36864 43.2 -2.27093886206039e-06 -2.27093886199089e-06 -2.27093886194896e-06
37376 43.8 -2.20725700086816e-06 -2.20725700086271e-06 -2.20725700080033e-06
37888 44.4 -2.13281268164603e-06 -2.13281268161869e-06 -2.13281268157395e-06
38400 45 -2.06430520734196e-06 -2.06430520738514e-06 -2.06430520740415e-06
38912 45.6 -1.97505556032729e-06 -1.97505556023941e-06 -1.97505556019576e-06
39424 46.2 -1.87486451739007e-06 -1.87486451758387e-06 -1.87486451739813e-06
39936 46.8 -1.86654702102803e-06 -1.86654702108454e-06 -1.86654702100081e-06
40448 47.4 -1.89196445529736e-06 -1.8919644551869e-06 -1.89196445523889e-06
40960 48 -1.78791277559599e-06 -1.78791277560237e-06 -1.78791277564445e-06
