# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 3.73227075296656e-06
512 0.6 1.23282228403482e-05
1024 1.2 1.73019213150253e-05
1536 1.8 1.96377719142937e-05
2048 2.4 1.98495763182435e-05
2560 3 1.96803094244519e-05
3072 3.6 2.03335039778912e-05
3584 4.2 2.13691902487236e-05
4096 4.8 2.17492442231629e-05
4608 5.4 2.16831590007144e-05
5120 6 2.18212188959637e-05
5632 6.6 2.25702044960196e-05
6144 7.2 2.3002862055737e-05
6656 7.8 2.3013961278707e-05
7168 8.4 2.29688985736883e-05
7680 9 2.33836044816478e-05
8192 9.6 2.37408539083563e-05
8704 10.2 2.37452127452428e-05
9216 10.8 2.37966193976813e-05
9728 11.4 2.39130570772641e-05
10240 12 2.43216503584088e-05
10752 12.6 2.44220954656059e-05
11264 13.2 2.45127970860804e-05
11776 13.8 2.47920698827075e-05
12288 14.4 2.51420702935613e-05
12800 15 2.54197453018179e-05
13312 15.6 2.56567166587512e-05
13824 16.2 2.60056918097974e-05
14336 16.8 2.64638975145266e-05
14848 17.4 2.67484186987455e-05
15360 18 2.70335976336496e-05
15872 18.6 2.73589320414369e-05
16384 19.2 2.78514663033535e-05
16896 19.8 2.82997151013382e-05
17408 20.4 2.85139297377883e-05
17920 21 2.88492444855931e-05
18432 21.6 2.91864142373776e-05
18944 22.2 2.9700083271873e-05
19456 22.8 3.00977968839178e-05
19968 23.4 3.04320132158189e-05
20480 24 3.07651257499851e-05
20992 24.6 3.11502314785755e-05
21504 25.2 3.15975975866309e-05
22016 25.8 3.195920853335e-05
22528 26.4 3.23264941010252e-05
