# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.966875255744351
512 0.6 0.966885790604286
1024 1.2 0.966895147730199
1536 1.8 0.966904058529175
2048 2.4 0.966913833244839
2560 3 0.966924055446764
3072 3.6 0.966934342314974
3584 4.2 0.966944801933855
4096 4.8 0.966955510520536
4608 5.4 0.966966445625493
5120 6 0.966977577952786
5632 6.6 0.966988916815356
6144 7.2 0.967000492074735
6656 7.8 0.967012299697021
7168 8.4 0.967024316770182
7680 9 0.967036546072574
8192 9.6 0.967049001178157
8704 10.2 0.967061677720507
9216 10.8 0.967074564218393
9728 11.4 0.967087659225082
10240 12 0.967100966723649
10752 12.6 0.967114483543225
11264 13.2 0.967128199517454
11776 13.8 0.967142108685673
12288 14.4 0.967156209873363
12800 15 0.96717049668348
13312 15.6 0.967184957192154
13824 16.2 0.967199581632902
14336 16.8 0.967214362552385
14848 17.4 0.967229289071347
15360 18 0.967244345971891
15872 18.6 0.967259517986122
16384 19.2 0.967274791215074
16896 19.8 0.967290149364469
17408 20.4 0.967305572135046
17920 21 0.96732103857735
18432 21.6 0.967336528413676
18944 22.2 0.967352019143888
19456 22.8 0.967367486341805
19968 23.4 0.967382910864966
20480 24 0.967398278978686
20992 24.6 0.967413546739651
21504 25.2 0.967428582418279
22016 25.8 0.967443208676411
22528 26.4 0.967457427415223
23040 27 0.967471568574544
23552 27.6 0.967486032005037
24064 28.2 0.967501079027357
24576 28.8 0.967517462075475
25088 29.4 0.967537066093552
25600 30 0.967561962844218
26112 30.6 0.967593259927027
26624 31.2 0.96763231768612
27136 31.8 0.967681787725031
27648 32.4 0.96774267720022
28160 33 0.967811806611186
28672 33.6 0.96788510470586
29184 34.2 0.96796133001128
29696 34.8 0.968040176267693
30208 35.4 0.968119404065615
30720 36 0.968194940573951
31232 36.6 0.96826183733658
31744 37.2 0.968316756935959
32256 37.8 0.968360462683284
32768 38.4 0.968394839175081
33280 39 0.968419446500983
33792 39.6 0.96843440052239
34304 40.2 0.968441942986884
34816 40.8 0.968443405447916
35328 41.4 0.968440134558878
35840 42 0.968435478240362
36352 42.6 0.968430970224698
36864 43.2 0.968425137698314
37376 43.8 0.968418340731827
37888 44.4 0.968413092370762
38400 45 0.968409606303618
38912 45.6 0.968405910698063
39424 46.2 0.968401634917423
39936 46.8 0.968398297524949
40448 47.4 0.968396160444429
40960 48 0.96839379565421
41472 48.6 0.968391109495647
41984 49.2 0.968389273153366
42496 49.8 0.968387753663876
43008 50.4 0.968385351321073
43520 51 0.968382675659663
44032 51.6 0.968380471970645
44544 52.2 0.968378229255628
45056 52.8 0.968375570046196
45568 53.4 0.968372399773511
46080 54 0.968368726569782
46592 54.6 0.968365331043365
47104 55.2 0.968362290983356
47616 55.8 0.96835815575274
48128 56.4 0.968352951952861
48640 57 0.968348778196527
49152 57.6 0.968345867782702
49664 58.2 0.968342162379072
50176 58.8 0.968337171300935
50688 59.4 0.968332126524016
51200 60 0.968326764087561
51712 60.6 0.968319431840573
52224 61.2 0.968309628049125
52736 61.8 0.968298183008275
53248 62.4 0.968285957068167
53760 63 0.96827351717109
54272 63.6 0.968260986502449
54784 64.2 0.968247780945857
55296 64.8 0.968233245640238
55808 65.4 0.968217301262845
56320 66 0.968200207351202
56832 66.6 0.968182541374132
57344 67.2 0.968165329214359
57856 67.8 0.968149137702157
58368 68.4 0.968133376854241
58880 69 0.968117305133582
59392 69.6 0.968101050463786
59904 70.2 0.96808520463646
60416 70.8 0.968070276270129
60928 71.4 0.96805658089595
61440 72 0.968043840990517
61952 72.6 0.968031256026825
62464 73.2 0.968018613986778
62976 73.8 0.968006625118546
63488 74.4 0.967995714970955
64000 75 0.967985424311892
64512 75.6 0.967975307983757
65024 76.2 0.967965490205123
65536 76.8 0.967956193874679
66048 77.4 0.967947470707204
66560 78 0.967939245101187
67072 78.6 0.967931109135737
67584 79.2 0.967922572322732
68096 79.8 0.967913836752805
68608 80.4 0.967905584814486
69120 81 0.967897867615527
69632 81.6 0.967890037322321
70144 82.2 0.967881772762141
70656 82.8 0.96787344768533
71168 83.4 0.967865578626018
71680 84 0.967858379731378
72192 84.6 0.967851746724111
72704 85.2 0.967845484817362
73216 85.8 0.967839575563836
73728 86.4 0.967834124678422
74240 87 0.967829100767832
74752 87.6 0.967824392383933
75264 88.2 0.967820041167718
75776 88.8 0.967816168325566
76288 89.4 0.967812788155531
76800 90 0.967809818032814
77312 90.6 0.967807119210316
77824 91.2 0.9678045743871
78336 91.8 0.967802311155163
78848 92.4 0.967800638755052
79360 93 0.967799557139144
79872 93.6 0.967798689687711
80384 94.2 0.967797966028428
80896 94.8 0.967797922237983
81408 95.4 0.967798928955152
81920 96 0.967800496095997
82432 96.6 0.967801858746669
82944 97.2 0.967803094685937
83456 97.8 0.967805113110754
83968 98.4 0.967808463425578
84480 99 0.967812682526311
84992 99.6 0.967817064017941
85504 100.2 0.967821571108842
86016 100.8 0.967826674517067
86528 101.4 0.967832825368722
87040 102 0.967840372111257
87552 102.6 0.967849203561715
88064 103.2 0.967858027218926
88576 103.8 0.96786500963124
89088 104.4 0.967869818206577
89600 105 0.967873876546673
90112 105.6 0.967877733338548
90624 106.2 0.967879640392322
91136 106.8 0.96787807352951
91648 107.4 0.967874260483142
92160 108 0.96787070000013
92672 108.6 0.96786850897158
93184 109.2 0.967867667761289
93696 109.8 0.967868447664092
94208 110.4 0.96787102499195
94720 111 0.967874663335942
95232 111.6 0.967878412374543
95744 112.2 0.967882079149139
96256 112.8 0.967886143419198
96768 113.4 0.967891111573605
97280 114 0.967896865789091
97792 114.6 0.967902603153501
98304 115.2 0.967907882333171
98816 115.8 0.967913352527157
99328 116.4 0.967919674396466
99840 117 0.96792641458168
100352 117.6 0.967932906881611
100864 118.2 0.967939300665007
101376 118.8 0.967945865734401
101888 119.4 0.967952266039325
102400 120 0.96795834145433
102912 120.6 0.967964610975258
103424 121.2 0.967971318593765
103936 121.8 0.967977968019964
104448 122.4 0.967984324127198
104960 123 0.967990836641626
105472 123.6 0.967997668886818
105984 124.2 0.9680043409786
106496 124.8 0.968010566220558
107008 125.4 0.968016509860171
107520 126 0.968022263746384
108032 126.6 0.968027848795796
108544 127.2 0.968033470176805
109056 127.8 0.968039239066476
109568 128.4 0.968045014055751
110080 129 0.968050708552262
110592 129.6 0.968056369281468
111104 130.2 0.968062023873034
111616 130.8 0.968067730172983
112128 131.4 0.968073575817246
112640 132 0.968079521140384
113152 132.6 0.9680854361122
113664 133.2 0.968091235818695
114176 133.8 0.968096857049379
114688 134.4 0.96810224866211
115200 135 0.968107442779177
115712 135.6 0.968112510140338
116224 136.2 0.968117461214438
116736 136.8 0.968122280022625
117248 137.4 0.968127026145185
117760 138 0.968131850341263
118272 138.6 0.968136874097808
118784 139.2 0.968142032894006
119296 139.8 0.968147123347555
119808 140.4 0.968152065391833
120320 141 0.968156978964045
120832 141.6 0.968161922991704
121344 142.2 0.968166753621159
121856 142.8 0.968171360053795
122368 143.4 0.968175843422003
122880 144 0.968180314477171
123392 144.6 0.968184688252014
123904 145.2 0.968188855576205
124416 145.8 0.968192921932066
124928 146.4 0.968197070206387
125440 147 0.96820126792942
125952 147.6 0.968205305639211
126464 148.2 0.968209064002485
126976 148.8 0.968212572015423
127488 149.4 0.968215863770483
128000 150 0.968218925258172
128512 150.6 0.968221758464784
129024 151.2 0.968224454772496
129536 151.8 0.968227221302617
130048 152.4 0.968230233154439
130560 153 0.968233386717395
131072 153.6 0.968236367158513
131584 154.2 0.968239022822085
132096 154.8 0.968241438646335
132608 155.4 0.968243639011177
133120 156 0.968245583132428
133632 156.6 0.96824747501496
134144 157.2 0.968249645561857
134656 157.8 0.968252057023173
135168 158.4 0.968254319840457
135680 159 0.968256225194387
136192 159.6 0.968257874977655
136704 160.2 0.968259359938954
137216 160.8 0.968260738556362
137728 161.4 0.968262167145843
138240 162 0.968263627371474
138752 162.6 0.968264829736747
139264 163.2 0.96826573777008
139776 163.8 0.968266707555508
140288 164.4 0.96826786657834
140800 165 0.968268933073728
141312 165.6 0.968269723162152
141824 166.2 0.968270294952914
142336 166.8 0.968270723479515
142848 167.4 0.96827110820856
143360 168 0.968271500896912
143872 168.6 0.968271714605599
144384 169.2 0.968271609644588
144896 169.8 0.968271418492434
145408 170.4 0.968271364054706
145920 171 0.96827128051966
146432 171.6 0.96827096825027
146944 172.2 0.968270516163063
147456 172.8 0.968270011712065
147968 173.4 0.968269344003151
148480 174 0.968268468227543
148992 174.6 0.968267508755794
149504 175.2 0.968266533997895
150016 175.8 0.968265535746813
150528 176.4 0.968264569334958
151040 177 0.968263615690343
151552 177.6 0.968262472198861
152064 178.2 0.96826105773671
152576 178.8 0.968259574008288
153088 179.4 0.968258150711343
153600 180 0.968256643001918
154112 180.6 0.968254912786176
154624 181.2 0.968253012806437
155136 181.8 0.968251062537126
155648 182.4 0.968249163539728
156160 183 0.968247372669099
156672 183.6 0.968245620344061
157184 184.2 0.96824374966501
157696 184.8 0.968241703931678
158208 185.4 0.968239597687528
158720 186 0.968237565647279
159232 186.6 0.968235605661985
159744 187.2 0.968233627808571
160256 187.8 0.968231586017596
160768 188.4 0.968229482203606
161280 189 0.96822733397262
161792 189.6 0.968225175973404
162304 190.2 0.968222999956857
162816 190.8 0.968220787162265
163328 191.4 0.96821863840698
163840 192 0.968216604968068
164352 192.6 0.968214477373709
164864 193.2 0.968212133579748
165376 193.8 0.968209823657193
165888 194.4 0.968207697746183
166400 195 0.968205521290797
166912 195.6 0.968203200051864
167424 196.2 0.968200998735135
167936 196.8 0.968199016017952
168448 197.4 0.968197014974108
168960 198 0.96819486016837
169472 198.6 0.96819267157725
169984 199.2 0.968190562949319
170496 199.8 0.968188508230218
171008 200.4 0.96818641398013
171520 201 0.968184232576472
172032 201.6 0.968182043803375
172544 202.2 0.968179945483939
173056 202.8 0.96817786399244
173568 203.4 0.968175685341198
174080 204 0.96817352182071
174592 204.6 0.968171547854614
175104 205.2 0.968169679114514
175616 205.8 0.968167755076498
176128 206.4 0.968165855976216
176640 207 0.96816407531479
177152 207.6 0.968162247142277
177664 208.2 0.968160279195572
178176 208.8 0.968158410105394
178688 209.4 0.96815678189525
179200 210 0.968155203189239
179712 210.6 0.968153608669216
180224 211.2 0.968152178174872
180736 211.8 0.96815085870352
181248 212.4 0.968149440771939
181760 213 0.968148043652247
182272 213.6 0.968146830229559
182784 214.2 0.968145578242795
183296 214.8 0.968144173369237
183808 215.4 0.968142944559826
184320 216 0.968142018711635
184832 216.6 0.968141067887531
185344 217.2 0.968139971623372
185856 217.8 0.968138986502538
186368 218.4 0.968138191002472
186880 219 0.968137406786256
187392 219.6 0.968136604414945
187904 220.2 0.968135917297517
188416 220.8 0.968135366019311
188928 221.4 0.968134857133856
189440 222 0.968134362796501
189952 222.6 0.968133938496311
190464 223.2 0.968133595554153
190976 223.8 0.968133262986696
191488 224.4 0.968132902187085
192000 225 0.968132567877274
192512 225.6 0.968132322690191
193024 226.2 0.968132194233779
193536 226.8 0.96813219840574
194048 227.4 0.96813227922653
194560 228 0.968132305411086
195072 228.6 0.968132246939253
195584 229.2 0.968132233376883
196096 229.8 0.968132373298503
196608 230.4 0.968132674821338
197120 231 0.968133154445324
197632 231.6 0.968133854562838
198144 232.2 0.968134766920658
198656 232.8 0.968135861617016
199168 233.4 0.968137130375266
199680 234 0.968138517317608
200192 234.6 0.968139928041816
200704 235.2 0.968141388737556
201216 235.8 0.968143043943951
201728 236.4 0.968144916080808
202240 237 0.968146815874324
202752 237.6 0.96814854737509
203264 238.2 0.968150092760859
203776 238.8 0.968151604264528
204288 239.4 0.96815330568139
204800 240 0.968155374514965
205312 240.6 0.968157850719645
205824 241.2 0.968160615952421
206336 241.8 0.968163436708292
206848 242.4 0.968166101795797
207360 243 0.968168576072055
207872 243.6 0.968170945080066
208384 244.2 0.968173249790822
208896 244.8 0.968175531780844
209408 245.4 0.96817794655432
209920 246 0.968180648491969
210432 246.6 0.968183649623943
210944 247.2 0.968186855767154
211456 247.8 0.968190092207212
211968 248.4 0.968193123352894
212480 249 0.968195853085392
212992 249.6 0.968198471396809
213504 250.2 0.968201250604309
214016 250.8 0.968204260598134
214528 251.4 0.968207397312586
215040 252 0.968210618269488
215552 252.6 0.968214021271413
216064 253.2 0.968217675929157
216576 253.8 0.968221464326925
217088 254.4 0.968225185245544
217600 255 0.968228811635568
218112 255.6 0.968232512552623
218624 256.2 0.968236349214473
219136 256.8 0.96824009534376
219648 257.4 0.968243471090598
220160 258 0.968246397972462
220672 258.6 0.968248945943537
221184 259.2 0.96825123931356
221696 259.8 0.968253421684161
222208 260.4 0.968255471091281
222720 261 0.968257135805189
223232 261.6 0.968258250849422
223744 262.2 0.968258968730314
224256 262.8 0.968259656757235
224768 263.4 0.968260704038151
225280 264 0.968262137199085
225792 264.6 0.968263370248616
226304 265.2 0.968263938959658
