# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.6 2.17190718466157e-05 2.1719071846616e-05 2.17190718466046e-05
1024 1.2 2.6330186060692e-05 2.6330186060692e-05 2.63301860606865e-05
1536 1.8 2.36163879435417e-05 2.36163879435444e-05 2.36163879435446e-05
2048 2.4 2.51085285316544e-05 2.5108528531667e-05 2.51085285316566e-05
2560 3 2.8605088092398e-05 2.86050880923977e-05 2.86050880923475e-05
3072 3.6 1.68066884698278e-05 1.68066884698393e-05 1.68066884698215e-05
3584 4.2 1.82262312696502e-05 1.8226231269641e-05 1.82262312694222e-05
4096 4.8 1.28679600833825e-05 1.28679600834491e-05 1.28679600837986e-05
4608 5.4 1.68186641651064e-05 1.68186641650778e-05 1.68186641650364e-05
5120 6 1.42965876060006e-05 1.42965876058808e-05 1.42965876056274e-05
5632 6.6 1.72795880731043e-05 1.72795880735937e-05 1.72795880738551e-05
6144 7.2 2.28961932040488e-05 2.28961932042638e-05 2.2896193204739e-05
6656 7.8 3.69232913966177e-05 3.692329139663e-05 3.69232913969312e-05
7168 8.4 4.85846009392335e-05 4.85846009392631e-05 4.85846009392273e-05
7680 9 5.03886637601086e-05 5.03886637601543e-05 5.0388663759872e-05
8192 9.6 5.07304712162787e-05 5.07304712163287e-05 5.07304712158608e-05
8704 10.2 5.90846811072876e-05 5.90846811071478e-05 5.90846811070414e-05
9216 10.8 7.37816190453813e-05 7.37816190450888e-05 7.37816190452802e-05
9728 11.4 8.28480726067124e-05 8.28480726067951e-05 8.28480726062122e-05
10240 12 7.63706347042236e-05 7.63706347045277e-05 7.63706347032903e-05
10752 12.6 6.40069434422065e-05 6.40069434417026e-05 6.40069434411387e-05
11264 13.2 6.02936967820949e-05 6.02936967823428e-05 6.02936967819884e-05
11776 13.8 5.58452453792577e-05 5.58452453805837e-05 5.5845245380653e-05
12288 14.4 4.72821041795324e-05 4.72821041812615e-05 4.72821041801453e-05
12800 15 3.8177879652097e-05 3.81778796526159e-05 3.81778796530467e-05
13312 15.6 3.87569713331872e-05 3.8756971333041e-05 3.87569713336205e-05
13824 16.2 3.92912748846165e-05 3.92912748847967e-05 3.92912748843816e-05
14336 16.8 4.46753319461198e-05 4.46753319468869e-05 4.46753319456461e-05
14848 17.4 5.30544716491923e-05 5.30544716504743e-05 5.30544716497654e-05
15360 18 5.53043973759114e-05 5.53043973767477e-05 5.53043973766443e-05
15872 18.6 5.33036366301316e-05 5.33036366307724e-05 5.33036366294956e-05
16384 19.2 7.44023752899852e-05 7.44023752904614e-05 7.44023752906112e-05
16896 19.8 8.64852349565376e-05 8.64852349573271e-05 8.64852349584835e-05
17408 20.4 8.14964841962891e-05 8.1496484197403e-05 8.14964841977498e-05
17920 21 6.39588667765528e-05 6.39588667775962e-05 6.39588667768381e-05
18432 21.6 6.22987646110502e-05 6.22987646118661e-05 6.22987646100501e-05
