# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.6 1.20762148653497e-06 1.20762148653497e-06 1.20762148653487e-06
1024 1.2 4.01409172043029e-06 4.01409172043031e-06 4.01409172042996e-06
1536 1.8 4.27331482215385e-06 4.27331482215388e-06 4.27331482215326e-06
2048 2.4 4.78065268185831e-06 4.78065268185831e-06 4.7806526818583e-06
2560 3 5.67739474104481e-06 5.6773947410448e-06 5.67739474104486e-06
3072 3.6 6.38416735303053e-06 6.38416735303053e-06 6.38416735301477e-06
3584 4.2 2.12066603878414e-05 2.12066603878413e-05 2.12066603878481e-05
4096 4.8 4.87478827788495e-05 4.87478827788494e-05 4.87478827788415e-05
4608 5.4 8.86589011466236e-05 8.86589011466235e-05 8.86589011465988e-05
5120 6 0.000140523621713423 0.000140523621713424 0.000140523621713387
5632 6.6 0.000201009177743324 0.000201009177743333 0.000201009177743282
6144 7.2 0.000265522915001358 0.000265522915001374 0.000265522915001333
6656 7.8 0.000331365051762371 0.000331365051762387 0.000331365051762392
7168 8.4 0.000403469691894869 0.000403469691894872 0.000403469691894858
7680 9 0.000477564647495469 0.000477564647495471 0.000477564647495472
8192 9.6 0.00054720488345407 0.000547204883454066 0.000547204883454163
8704 10.2 0.000614227566481087 0.000614227566481078 0.000614227566481191
9216 10.8 0.000680801737377204 0.000680801737377229 0.000680801737377224
9728 11.4 0.000747975794263334 0.000747975794263399 0.000747975794263353
10240 12 0.000815060486385523 0.000815060486385561 0.000815060486385534
10752 12.6 0.00088042379586708 0.000880423795867056 0.000880423795866988
11264 13.2 0.000943902790689145 0.000943902790689103 0.00094390279068906
11776 13.8 0.0010073035938549 0.00100730359385494 0.001007303593855
12288 14.4 0.00107207027652469 0.00107207027652482 0.00107207027652483
12800 15 0.00113801057006159 0.00113801057006172 0.00113801057006153
13312 15.6 0.00120441995091813 0.00120441995091815 0.001204419950918
13824 16.2 0.00127086969513183 0.00127086969513162 0.00127086969513181
14336 16.8 0.00133696608918957 0.00133696608918927 0.0013369660891896
14848 17.4 0.00140254480457921 0.00140254480457914 0.00140254480457913
15360 18 0.00146801866973042 0.00146801866973066 0.00146801866973026
15872 18.6 0.0015339564554001 0.00153395645540035 0.00153395645540003
16384 19.2 0.00160033434936661 0.00160033434936663 0.00160033434936671
16896 19.8 0.00166609365326972 0.00166609365326959 0.00166609365326987
17408 20.4 0.00172959638378582 0.00172959638378573 0.0017295963837858
17920 21 0.00179044944258615 0.00179044944258609 0.00179044944258587
18432 21.6 0.0018506796716695 0.00185067967166942 0.00185067967166922
18944 22.2 0.00191226454794678 0.00191226454794675 0.00191226454794677
19456 22.8 0.00197357584846459 0.00197357584846466 0.00197357584846469
19968 23.4 0.00203059775187309 0.00203059775187331 0.00203059775187318
20480 24 0.00208226666146304 0.0020822666614633 0.00208226666146324
20992 24.6 0.00213217641985333 0.00213217641985326 0.00213217641985349
21504 25.2 0.00218386809109271 0.00218386809109244 0.00218386809109252
