# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.6 1.0005569151877
1024 1.2 1.00041261741761
1536 1.8 1.00029051909303
2048 2.4 1.0003492590488
2560 3 1.00054168702669
3072 3.6 1.0007722445869
3584 4.2 1.00103741520156
4096 4.8 1.00133327512896
4608 5.4 1.00165541083047
5120 6 1.00199916678329
5632 6.6 1.00235972399989
6144 7.2 1.00273247260459
6656 7.8 1.00311310312406
7168 8.4 1.0034977702905
7680 9 1.00390395900168
8192 9.6 1.00435123734022
8704 10.2 1.00480664098174
9216 10.8 1.00542256816338
9728 11.4 1.00609477368696
10240 12 1.00679636316516
10752 12.6 1.00752509922845
11264 13.2 1.00827811448452
11776 13.8 1.00905226169783
12288 14.4 1.00983716569055
12800 15 1.01062252505667
13312 15.6 1.01154474382383
13824 16.2 1.01254684671176
14336 16.8 1.01357816323091
14848 17.4 1.01463254042863
15360 18 1.01570475804166
15872 18.6 1.01679032343789
16384 19.2 1.01788485534266
16896 19.8 1.01898378176518
17408 20.4 1.0200790674715
17920 21 1.02115573584661
18432 21.6 1.02219960112775
18944 22.2 1.02319303734192
19456 22.8 1.02412395662396
19968 23.4 1.02496719716554
20480 24 1.02568320687734
20992 24.6 1.02629293644434
21504 25.2 1.02744804489488
22016 25.8 1.02843570306809
22528 26.4 1.02930368119437
23040 27 1.0299629842803
23552 27.6 1.03053685632179
24064 28.2 1.03125199305206
24576 28.8 1.03265670208709
25088 29.4 1.03395162689043
25600 30 1.0352086652546
26112 30.6 1.0364352479316
26624 31.2 1.03762755068397
27136 31.8 1.03881480215751
27648 32.4 1.03998685549161
28160 33 1.04111651725793
28672 33.6 1.04218315449729
29184 34.2 1.04317346698812
29696 34.8 1.04406737753242
30208 35.4 1.04484992553608
30720 36 1.04552220108301
31232 36.6 1.0460642441231
31744 37.2 1.04673695113363
32256 37.8 1.04836172980769
32768 38.4 1.05002855104169
33280 39 1.05165949543068
33792 39.6 1.05325145080097
34304 40.2 1.054800905494
34816 40.8 1.05630033906618
35328 41.4 1.05772823678949
35840 42 1.05905308933839
36352 42.6 1.060252738916
36864 43.2 1.0613008155083
37376 43.8 1.06215889460888
37888 44.4 1.06282461658864
38400 45 1.06339457075368
38912 45.6 1.06495090882939
39424 46.2 1.06647020531475
39936 46.8 1.06792934694137
40448 47.4 1.06930277454232
40960 48 1.07057360431107
41472 48.6 1.07173447389641
41984 49.2 1.07276358073292
42496 49.8 1.07363923644961
43008 50.4 1.07436251470078
43520 51 1.0749521013581
44032 51.6 1.07542382625786
44544 52.2 1.07578986219724
45056 52.8 1.0760406800846
45568 53.4 1.07608928737299
46080 54 1.07598675267955
46592 54.6 1.07769729361922
47104 55.2 1.07923738935408
47616 55.8 1.08060834404299
48128 56.4 1.08181702594076
48640 57 1.08287318512017
49152 57.6 1.08459718154916
49664 58.2 1.08656404486405
50176 58.8 1.08845200348787
50688 59.4 1.09025513552254
51200 60 1.09196949747407
51712 60.6 1.09359142921277
52224 61.2 1.09511932485625
52736 61.8 1.09655582074159
53248 62.4 1.09790235569779
53760 63 1.09915530328745
54272 63.6 1.10031763222724
54784 64.2 1.10139295623457
55296 64.8 1.10238560242216
55808 65.4 1.10330054462876
56320 66 1.1041362321936
56832 66.6 1.10489173787092
57344 67.2 1.10556758124941
57856 67.8 1.10616555171497
58368 68.4 1.10668702006885
58880 69 1.10713336852796
59392 69.6 1.10750691710371
59904 70.2 1.1078128185543
60416 70.8 1.10806956672485
60928 71.4 1.10828018356667
61440 72 1.10844526131937
61952 72.6 1.10856613765918
62464 73.2 1.10864275727204
62976 73.8 1.10867206548423
63488 74.4 1.10865204087845
64000 75 1.10858234980619
64512 75.6 1.10845938227563
65024 76.2 1.10828596136382
65536 76.8 1.10806624199365
66048 77.4 1.10780210928664
66560 78 1.10749318804083
67072 78.6 1.1071365600336
67584 79.2 1.10672704147221
68096 79.8 1.10625909466755
68608 80.4 1.10572942829526
69120 81 1.10513657176559
69632 81.6 1.10447979850982
70144 82.2 1.10375998450667
70656 82.8 1.10297954783663
71168 83.4 1.10213999878015
71680 84 1.10124211912662
72192 84.6 1.10028762029689
72704 85.2 1.09925148796876
73216 85.8 1.09787383007843
73728 86.4 1.09645835918174
74240 87 1.09500731661494
74752 87.6 1.09352021393503
75264 88.2 1.09199733986489
75776 88.8 1.09044048749443
76288 89.4 1.08884806695134
76800 90 1.08720080824478
77312 90.6 1.08546796605242
77824 91.2 1.08362088089835
78336 91.8 1.08157219143996
78848 92.4 1.07927158940613
79360 93 1.07674127172966
79872 93.6 1.0739946278381
80384 94.2 1.07123017543988
80896 94.8 1.06859075040884
81408 95.4 1.06605648768442
81920 96 1.06357110906959
82432 96.6 1.06114216128037
82944 97.2 1.05878982723694
83456 97.8 1.05652684235253
83968 98.4 1.05435900562801
84480 99 1.05228514103608
84992 99.6 1.05029911827086
85504 100.2 1.04839531322513
86016 100.8 1.04656732452267
86528 101.4 1.04518673154519
87040 102 1.04460010853515
87552 102.6 1.04447796224066
88064 103.2 1.04467496596659
88576 103.8 1.04489171639299
89088 104.4 1.04515743762623
89600 105 1.04542839129477
90112 105.6 1.04564451967255
90624 106.2 1.04577149757031
91136 106.8 1.04579001392981
91648 107.4 1.04575423623634
92160 108 1.04560412064269
92672 108.6 1.04535678261709
93184 109.2 1.04500534299035
93696 109.8 1.04435531961891
94208 110.4 1.04372470209294
94720 111 1.04310386117982
95232 111.6 1.04248333163877
95744 112.2 1.04186189275132
96256 112.8 1.041241788396
96768 113.4 1.0407963566461
97280 114 1.04034964166241
97792 114.6 1.04188468156336
98304 115.2 1.04334762877261
98816 115.8 1.04416610633631
99328 116.4 1.04732462959325
99840 117 1.04950950938355
100352 117.6 1.05075431696565
100864 118.2 1.05146559452527
101376 118.8 1.05159991236922
101888 119.4 1.0509222166138
102400 120 1.04633556782331
102912 120.6 1.04589737214074
103424 121.2 1.04574553271328
103936 121.8 1.04559456767024
104448 122.4 1.04544764250849
104960 123 1.0453083760664
105472 123.6 1.04518021018265
105984 124.2 1.04506570961276
106496 124.8 1.04497043925058
107008 125.4 1.04489362358382
107520 126 1.04484715803656
108032 126.6 1.04484774806859
108544 127.2 1.04489772440789
109056 127.8 1.04499940012924
109568 128.4 1.04515388741426
110080 129 1.04536187629186
110592 129.6 1.04562271361759
111104 130.2 1.04593127083055
111616 130.8 1.04628082604301
112128 131.4 1.04666501412906
112640 132 1.0470889619401
113152 132.6 1.04754915336493
113664 133.2 1.04803579091038
114176 133.8 1.04852509751947
114688 134.4 1.04897566863665
115200 135 1.04939718467552
115712 135.6 1.04982192637714
116224 136.2 1.05026812091812
116736 136.8 1.05073505817403
117248 137.4 1.05121873196544
117760 138 1.05171386370126
118272 138.6 1.05221524239579
118784 139.2 1.05272417122379
119296 139.8 1.05322547028335
119808 140.4 1.05371560870889
120320 141 1.05419120346818
120832 141.6 1.05465069751344
121344 142.2 1.05509280580504
121856 142.8 1.05551562008816
122368 143.4 1.05591790980288
122880 144 1.05629831251621
123392 144.6 1.05665721154972
123904 145.2 1.05699602844668
124416 145.8 1.05731663465885
124928 146.4 1.05761205879491
125440 147 1.05787200723764
125952 147.6 1.05809464042897
126464 148.2 1.05830118138074
126976 148.8 1.05849610032432
127488 149.4 1.05866878631287
128000 150 1.05874982423749
128512 150.6 1.05802224033797
129024 151.2 1.0571966872632
129536 151.8 1.05628232633989
130048 152.4 1.05529443388236
130560 153 1.05425127104914
131072 153.6 1.05319720898348
131584 154.2 1.05217302428503
132096 154.8 1.0511521814304
132608 155.4 1.05013137748803
133120 156 1.04910221334313
133632 156.6 1.0498487569503
134144 157.2 1.05087592505022
134656 157.8 1.05186825520713
135168 158.4 1.05282354863684
135680 159 1.05373804319388
136192 159.6 1.05461096834691
136704 160.2 1.05544479919122
137216 160.8 1.05624903712238
137728 161.4 1.05702880212211
138240 162 1.05778576398049
138752 162.6 1.0585227432469
139264 163.2 1.05923436000097
139776 163.8 1.05991931006505
140288 164.4 1.06057848093513
140800 165 1.06121740386153
141312 165.6 1.06185327531876
141824 166.2 1.06251207490037
142336 166.8 1.06315794970986
142848 167.4 1.06371949371237
143360 168 1.06429086514398
143872 168.6 1.06487110778328
144384 169.2 1.06545514326269
144896 169.8 1.06604439535353
145408 170.4 1.066638226071
145920 171 1.06723593309691
146432 171.6 1.06781436479739
146944 172.2 1.06836498657973
147456 172.8 1.06888396357291
147968 173.4 1.06937409959525
148480 174 1.07059638370517
148992 174.6 1.07028384999934
149504 175.2 1.0706951078812
150016 175.8 1.071933317259
150528 176.4 1.07313942330154
151040 177 1.07429738383173
151552 177.6 1.07540771787893
152064 178.2 1.07646961222608
152576 178.8 1.07748258469443
153088 179.4 1.07844903267959
153600 180 1.07937047850411
154112 180.6 1.08024986485609
154624 181.2 1.08108807389311
155136 181.8 1.08188644501148
